record_type,operator,kind,supports_representative,source_file,source_line
operator,Exchange10,node,True,build/python_envs/pyvrp-hgs-0.12.2/lib/python3.13/site-packages/pyvrp/search/_search.pyi,38
operator,Exchange20,node,True,build/python_envs/pyvrp-hgs-0.12.2/lib/python3.13/site-packages/pyvrp/search/_search.pyi,40
operator,Exchange11,node,True,build/python_envs/pyvrp-hgs-0.12.2/lib/python3.13/site-packages/pyvrp/search/_search.pyi,39
operator,Exchange21,node,True,build/python_envs/pyvrp-hgs-0.12.2/lib/python3.13/site-packages/pyvrp/search/_search.pyi,41
operator,Exchange22,node,True,build/python_envs/pyvrp-hgs-0.12.2/lib/python3.13/site-packages/pyvrp/search/_search.pyi,42
operator,SwapTails,node,True,build/python_envs/pyvrp-hgs-0.12.2/lib/python3.13/site-packages/pyvrp/search/_search.pyi,48
operator,RelocateWithDepot,node,False,build/python_envs/pyvrp-hgs-0.12.2/lib/python3.13/site-packages/pyvrp/search/_search.pyi,47
operator,SwapRoutes,route,True,build/python_envs/pyvrp-hgs-0.12.2/lib/python3.13/site-packages/pyvrp/search/_search.pyi,49
operator,SwapStar,route,True,build/python_envs/pyvrp-hgs-0.12.2/lib/python3.13/site-packages/pyvrp/search/_search.pyi,51
problem_fact,instance_id,,cn-prd-50c-01-V2-LOCATIONS,,
problem_fact,num_clients,,50,,
problem_fact,num_depots,,2,,
problem_fact,num_vehicles,,200,,
problem_fact,neighbourhood,,"{'weight_wait_time': 0.2, 'weight_time_warp': 1.0, 'num_neighbours': 40, 'symmetric_proximity': True, 'symmetric_neighbours': False}",,
