arm,stream_seed,stage,trigger_second,trigger_reason,event_ids,event_types,applied_event_ids,ignored_locked_event_ids,event_count,next_trigger_second,available_compute_seconds,committed_route_count,future_route_count,future_cost,running_total_cost,cross_site_customer_count,dynamic_added_customer_count,dynamic_added_cross_site_customer_count,dynamic_added_cross_site_customer_ids,active_customer_count,committed_customer_count,future_customer_count,asset_state_count,asset_states_sha256,locked_routes_sha256,locked_charging_actions_sha256,active_customer_ids_sha256,committed_customer_ids_sha256,future_customer_ids_sha256,stage_solution_sha256,stage_certificate_sha256,stage_certificate_status,initial_continuation_feasible,initial_type_trial_count,changed_candidate_count,search_exact_check_count,executable_candidate_count,accepted_candidate_count,search_rejection_counts_json,evaluations,stage_search_seed,operator_pairs,elapsed_seconds,completed_before_next_trigger,customer_accounting_pass
cooperative,1,1,10800.0,delta_t,1;2;3;4;5;6;7,cancel;add;add;demand_change;demand_change;add;demand_change,1;2;3;4;5;6;7,,7,17463.155806373295,6663.1558063732955,9,27,5065.2996872456215,6632.182352118544,2,3,1,N_S1_002,223,50,173,20,d08320d012b3e3afcd12cc9e265ceecba890cb63338dc48644ed5a8eb32f3daa,337b52e0fe0839d841e446f953ec365bd30023362eb726b0479cc984cc0d4805,5f113f8455ccf0d545ddfff8f2b7292d988f7684ba2b53e363d0f46e9c32d425,c6c521c820c2f12ceee1416ae0c1203ebb64392e94adfb8de4bbee0e3407cd24,9dde89658431f7b3a209571e9ca2b1e70f8a532c89fdaa84b7742b2f1e251351,e6fa9f95a9bc9b108a4c0ff5b25a67b06453e51305223afcb88b573ea052da85,9d6365e3fed69591263ba3fc2f71cd941cd79722293efe8c606fb5acafed55ff,c0010c75f15baedad1f6ed5b08a51aec1930fd8ee5230ad3ac8a675870f0b9ae,PASS,True,1,50,50,7,4,"{""E7_DYNAMIC_MULTITRIP_V1: no inherited asset can serve open route DYN_EVENT_C026"": 7, ""E7_DYNAMIC_MULTITRIP_V1: no inherited asset can serve open route DYN_OPEN_003"": 2, ""E7_DYNAMIC_MULTITRIP_V1: no inherited asset can serve open route DYN_OPEN_020"": 2, ""E7_DYNAMIC_MULTITRIP_V1: no inherited asset can serve open route DYN_OPEN_022"": 3, ""E7_DYNAMIC_MULTITRIP_V1: no inherited asset can serve open route DYN_OPEN_023"": 3, ""E7_DYNAMIC_MULTITRIP_V1: no inherited asset can serve open route DYN_OPEN_024"": 2, ""E7_DYNAMIC_MULTITRIP_V1: no inherited asset can serve open route DYN_OPEN_025"": 4, ""E7_DYNAMIC_MULTITRIP_V1: no inherited asset can serve open route DYN_OPEN_026"": 3, ""E7_DYNAMIC_MULTITRIP_V1: no inherited asset can serve open route DYN_OPEN_027"": 12, ""E7_DYNAMIC_MULTITRIP_V1: no inherited asset can serve open route DYN_OPEN_028"": 3, ""E7_DYNAMIC_MULTITRIP_V1: no inherited asset can serve open route DYN_OPEN_029"": 2}",50,1001,random_customer_removal+greedy_insert_repair;random_customer_removal+regret2_insert_repair;random_customer_removal+regret3_insert_repair;worst_customer_removal+greedy_insert_repair;worst_customer_removal+regret2_insert_repair;worst_customer_removal+regret3_insert_repair;shaw_related_removal+greedy_insert_repair;shaw_related_removal+regret2_insert_repair;shaw_related_removal+regret3_insert_repair;whole_route_removal+greedy_insert_repair;whole_route_removal+regret2_insert_repair;whole_route_removal+regret3_insert_repair;route_segment_removal+greedy_insert_repair;route_segment_removal+regret2_insert_repair;route_segment_removal+regret3_insert_repair;vehicle_type_swap+greedy_insert_repair;vehicle_type_swap+regret2_insert_repair;vehicle_type_swap+regret3_insert_repair,1.893794582982082,True,True
independent,1,1,10800.0,delta_t,1;2;3;4;5;6;7,cancel;add;add;demand_change;demand_change;add;demand_change,1;2;3;4;5;6;7,,7,17463.155806373295,6663.1558063732955,9,28,4935.201067172589,6502.083732045512,0,3,0,,223,50,173,20,d08320d012b3e3afcd12cc9e265ceecba890cb63338dc48644ed5a8eb32f3daa,337b52e0fe0839d841e446f953ec365bd30023362eb726b0479cc984cc0d4805,5f113f8455ccf0d545ddfff8f2b7292d988f7684ba2b53e363d0f46e9c32d425,c6c521c820c2f12ceee1416ae0c1203ebb64392e94adfb8de4bbee0e3407cd24,9dde89658431f7b3a209571e9ca2b1e70f8a532c89fdaa84b7742b2f1e251351,e6fa9f95a9bc9b108a4c0ff5b25a67b06453e51305223afcb88b573ea052da85,58f66926b2cbf9cd05a826b28361764373064b223f72cb956a24aea5f60580e0,b6d51522940d393dddb0c965093a43891c41b092e94b24d0bc085cf0e8ac4f1a,PASS,True,1,50,50,3,2,"{""E7_DYNAMIC_MULTITRIP_V1: no inherited asset can serve open route DYN_EVENT_C026"": 8, ""E7_DYNAMIC_MULTITRIP_V1: no inherited asset can serve open route DYN_OPEN_017"": 2, ""E7_DYNAMIC_MULTITRIP_V1: no inherited asset can serve open route DYN_OPEN_018"": 1, ""E7_DYNAMIC_MULTITRIP_V1: no inherited asset can serve open route DYN_OPEN_020"": 7, ""E7_DYNAMIC_MULTITRIP_V1: no inherited asset can serve open route DYN_OPEN_021"": 6, ""E7_DYNAMIC_MULTITRIP_V1: no inherited asset can serve open route DYN_OPEN_022"": 3, ""E7_DYNAMIC_MULTITRIP_V1: no inherited asset can serve open route DYN_OPEN_023"": 1, ""E7_DYNAMIC_MULTITRIP_V1: no inherited asset can serve open route DYN_OPEN_024"": 8, ""E7_DYNAMIC_MULTITRIP_V1: no inherited asset can serve open route DYN_OPEN_026"": 5, ""E7_DYNAMIC_MULTITRIP_V1: no inherited asset can serve open route DYN_OPEN_027"": 2, ""E7_DYNAMIC_MULTITRIP_V1: no inherited asset can serve open route DYN_OPEN_028"": 1, ""E7_DYNAMIC_MULTITRIP_V1: no inherited asset can serve open route DYN_OPEN_029"": 2, ""E7_DYNAMIC_MULTITRIP_V1: no inherited asset can serve open route DYN_OPEN_030"": 1}",50,1001,random_customer_removal+greedy_insert_repair;random_customer_removal+regret2_insert_repair;random_customer_removal+regret3_insert_repair;worst_customer_removal+greedy_insert_repair;worst_customer_removal+regret2_insert_repair;worst_customer_removal+regret3_insert_repair;shaw_related_removal+greedy_insert_repair;shaw_related_removal+regret2_insert_repair;shaw_related_removal+regret3_insert_repair;whole_route_removal+greedy_insert_repair;whole_route_removal+regret2_insert_repair;whole_route_removal+regret3_insert_repair;route_segment_removal+greedy_insert_repair;route_segment_removal+regret2_insert_repair;route_segment_removal+regret3_insert_repair;vehicle_type_swap+greedy_insert_repair;vehicle_type_swap+regret2_insert_repair;vehicle_type_swap+regret3_insert_repair,1.304275417001918,True,True
