episode_index,bundle,seed,policy_version,accepted_for_update,block_steps,reward_sum,best_obj,actual_evals,candidate_scores,repair_delta_count,violation_count,feasible,wall_time_seconds,worker_python_executable,worker_python_version,worker_numpy_version,pid
0,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,1,0,1,125,49.57625418908307,3527.2516371147904,16000,16000,5412441,0,1,1547.019262832997,/opt/anaconda3/bin/python3.13,"3.13.9 | packaged by Anaconda, Inc. | (main, Oct 21 2025, 19:11:29) [Clang 20.1.8 ]",2.3.5,95646
1,models/data_bundle/generated_instances/E-UK24h-三班-150,2,0,1,125,47.98881585484243,5312.742616489435,16000,16000,9814090,0,1,3195.3796817909897,/opt/anaconda3/bin/python3.13,"3.13.9 | packaged by Anaconda, Inc. | (main, Oct 21 2025, 19:11:29) [Clang 20.1.8 ]",2.3.5,95643
2,models/data_bundle/generated_instances/E-UK24h-三班-200,3,0,1,125,42.301969295910396,7116.722566375447,16000,16000,18853269,0,1,6762.426589250012,/opt/anaconda3/bin/python3.13,"3.13.9 | packaged by Anaconda, Inc. | (main, Oct 21 2025, 19:11:29) [Clang 20.1.8 ]",2.3.5,95644
3,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,4,0,1,125,50.87028736001159,3594.7538894517593,16000,16000,6749643,0,1,1616.845868999997,/opt/anaconda3/bin/python3.13,"3.13.9 | packaged by Anaconda, Inc. | (main, Oct 21 2025, 19:11:29) [Clang 20.1.8 ]",2.3.5,95645
4,models/data_bundle/generated_instances/E-UK24h-三班-150,5,0,1,125,49.49847216129249,5353.593305849211,16000,16000,11000664,0,1,3324.015226000003,/opt/anaconda3/bin/python3.13,"3.13.9 | packaged by Anaconda, Inc. | (main, Oct 21 2025, 19:11:29) [Clang 20.1.8 ]",2.3.5,95647
5,models/data_bundle/generated_instances/E-UK24h-三班-200,6,0,1,125,43.93427222668245,6947.796361901469,16000,16000,18764831,0,1,6289.727887541987,/opt/anaconda3/bin/python3.13,"3.13.9 | packaged by Anaconda, Inc. | (main, Oct 21 2025, 19:11:29) [Clang 20.1.8 ]",2.3.5,95676
