PREFLIGHT_PASS python=3.13.9 pyvrp=0.12.2 max_workers=4
PROGRESS phase=pilot budget=240 completed=3/30 unit=cn-prd-50c-01-V2-LOCATIONS__seed-01__L100_control
PROGRESS phase=pilot budget=240 completed=4/30 unit=cn-prd-50c-01-V2-LOCATIONS__seed-01__NL90_mild
PROGRESS phase=pilot budget=240 completed=5/30 unit=cn-prd-50c-01-V2-LOCATIONS__seed-03__L100_control
PROGRESS phase=pilot budget=240 completed=6/30 unit=cn-prd-50c-01-V2-LOCATIONS__seed-03__NL90_mild
PROGRESS phase=pilot budget=240 completed=7/30 unit=cn-prd-50c-01-V2-LOCATIONS__seed-04__L100_control
PROGRESS phase=pilot budget=240 completed=8/30 unit=cn-prd-50c-01-V2-LOCATIONS__seed-04__NL90_mild
PROGRESS phase=pilot budget=240 completed=9/30 unit=cn-prd-50c-01-V2-LOCATIONS__seed-05__L100_control
PROGRESS phase=pilot budget=240 completed=10/30 unit=cn-prd-50c-01-V2-LOCATIONS__seed-05__NL90_mild
PROGRESS phase=pilot budget=240 completed=11/30 unit=cn-prd-50c-01-V2-LOCATIONS__seed-06__L100_control
PROGRESS phase=pilot budget=240 completed=12/30 unit=cn-prd-50c-01-V2-LOCATIONS__seed-06__NL90_mild
PROGRESS phase=pilot budget=240 completed=13/30 unit=cn-prd-50c-01-V2-LOCATIONS__seed-07__L100_control
PROGRESS phase=pilot budget=240 completed=14/30 unit=cn-prd-50c-01-V2-LOCATIONS__seed-07__NL90_mild
PROGRESS phase=pilot budget=240 completed=15/30 unit=cn-prd-50c-01-V2-LOCATIONS__seed-08__L100_control
PROGRESS phase=pilot budget=240 completed=16/30 unit=cn-prd-50c-01-V2-LOCATIONS__seed-08__NL90_mild
PROGRESS phase=pilot budget=240 completed=17/30 unit=cn-prd-50c-01-V2-LOCATIONS__seed-09__L100_control
PROGRESS phase=pilot budget=240 completed=18/30 unit=cn-prd-50c-01-V2-LOCATIONS__seed-10__L100_control
PROGRESS phase=pilot budget=240 completed=19/30 unit=cn-prd-50c-01-V2-LOCATIONS__seed-09__NL90_mild
PROGRESS phase=pilot budget=240 completed=20/30 unit=cn-prd-50c-01-V2-LOCATIONS__seed-10__NL90_mild
PROGRESS phase=pilot budget=240 completed=21/30 unit=cn-prd-100c-02-V2-LOCATIONS__seed-01__L100_control
PROGRESS phase=pilot budget=240 completed=22/30 unit=cn-prd-100c-02-V2-LOCATIONS__seed-01__NL90_mild
PROGRESS phase=pilot budget=240 completed=23/30 unit=cn-prd-100c-02-V2-LOCATIONS__seed-02__L100_control
PROGRESS phase=pilot budget=240 completed=24/30 unit=cn-prd-100c-02-V2-LOCATIONS__seed-02__NL90_mild
PROGRESS phase=pilot budget=240 completed=25/30 unit=cn-prd-100c-02-V2-LOCATIONS__seed-03__L100_control
PROGRESS phase=pilot budget=240 completed=26/30 unit=cn-prd-100c-02-V2-LOCATIONS__seed-03__NL90_mild
PROGRESS phase=pilot budget=240 completed=27/30 unit=cn-prd-100c-02-V2-LOCATIONS__seed-04__L100_control
PROGRESS phase=pilot budget=240 completed=28/30 unit=cn-prd-100c-02-V2-LOCATIONS__seed-04__NL90_mild
PROGRESS phase=pilot budget=240 completed=29/30 unit=cn-prd-100c-02-V2-LOCATIONS__seed-05__L100_control
PROGRESS phase=pilot budget=240 completed=30/30 unit=cn-prd-100c-02-V2-LOCATIONS__seed-05__NL90_mild
/opt/anaconda3/lib/python3.13/multiprocessing/resource_tracker.py:324: UserWarning: resource_tracker: There appear to be 5 leaked semaphore objects to clean up at shutdown: {'/mp-o2cwyubl', '/mp-76ywthnr', '/mp-notyc11p', '/mp-a8o5sy65', '/mp-2qznt0b3'}
  warnings.warn(
