package_path,solution_total,prefilter_pass_count,unable_count,overlap_solution_count,overlap_action_count,overlap_energy_kwh,total_charging_kwh,overlap_energy_ratio,overlap_midday_12_15_kwh,skipped_no_multitrip_count,solution_status_counts,unable_reason_counts
baselines/algorithm_prototypes/unified_mechanism_alns_20260719/contextual_expert_behavior_gate,7,7,2,0,0,0.000000000000,661.041644659759,0.000000000000,0.000000000000,0,"{""CERTIFICATE_PASS"": 5, ""UNABLE_TO_JUDGE"": 2}","{""ValueError: E3_STRICT_MULTITRIP_V2: route EV1#T1 exceeds one full battery"": 2}"
baselines/algorithm_prototypes/unified_mechanism_alns_20260719/contextual_expert_p1_training_gate,9,9,9,0,0,0.000000000000,2543.266857589109,0.000000000000,0.000000000000,0,"{""UNABLE_TO_JUDGE"": 9}","{""ValueError: INSTANCE_OR_BUNDLE_UNRESOLVED: no instance id in archive"": 9}"
baselines/algorithm_prototypes/unified_mechanism_alns_20260719/electrification_relocate_resize_behavior_gate_execution_recovery_v2,2,2,2,0,0,0.000000000000,715.403662625905,0.000000000000,0.000000000000,0,"{""UNABLE_TO_JUDGE"": 2}","{""ValueError: INSTANCE_OR_BUNDLE_UNRESOLVED: no instance id in archive"": 2}"
baselines/algorithm_prototypes/unified_mechanism_alns_20260719/fresh_d2_gate,14,14,14,0,0,0.000000000000,4296.582624846058,0.000000000000,0.000000000000,0,"{""UNABLE_TO_JUDGE"": 14}","{""ValueError: INSTANCE_OR_BUNDLE_UNRESOLVED: no generated bundle for DEV-DUAL-D2-GROUP456-SRC10-N21-DEP2"": 7, ""ValueError: INSTANCE_OR_BUNDLE_UNRESOLVED: no generated bundle for DEV-DUAL-D2-GROUP789-SRC15-N34-DEP2"": 7}"
baselines/algorithm_prototypes/unified_mechanism_alns_20260719/fuel_route_retirement_ev_repack_behavior_gate,10,10,10,0,0,0.000000000000,2659.208806524081,0.000000000000,0.000000000000,0,"{""UNABLE_TO_JUDGE"": 10}","{""ValueError: INSTANCE_OR_BUNDLE_UNRESOLVED: no instance id in archive"": 10}"
baselines/algorithm_prototypes/unified_mechanism_alns_20260719/initial_pool_gate_d1,8,8,8,0,0,0.000000000000,4046.525968165803,0.000000000000,0.000000000000,0,"{""UNABLE_TO_JUDGE"": 8}","{""ValueError: INSTANCE_OR_BUNDLE_UNRESOLVED: no instance id in archive"": 8}"
baselines/algorithm_prototypes/unified_mechanism_alns_20260719/mechanism_priced_pair_resplit_behavior_gate,9,0,0,0,0,0.000000000000,20.000000000000,0.000000000000,0.000000000000,9,"{""SKIPPED_NO_MULTITRIP"": 9}",{}
baselines/algorithm_prototypes/unified_mechanism_alns_20260719/mechanism_regret_training_d1,8,8,8,0,0,0.000000000000,8092.083937260471,0.000000000000,0.000000000000,0,"{""UNABLE_TO_JUDGE"": 8}","{""ValueError: INSTANCE_OR_BUNDLE_UNRESOLVED: no instance id in archive"": 8}"
baselines/algorithm_prototypes/unified_mechanism_alns_20260719/mechanism_segment_generation_behavior_gate,5,5,5,0,0,0.000000000000,3841.385299790703,0.000000000000,0.000000000000,0,"{""UNABLE_TO_JUDGE"": 5}","{""ValueError: INSTANCE_OR_BUNDLE_UNRESOLVED: no instance id in archive"": 5}"
baselines/algorithm_prototypes/unified_mechanism_alns_20260719/segment_generation_fresh_warning_gate,8,8,8,0,0,0.000000000000,6346.992941046933,0.000000000000,0.000000000000,0,"{""UNABLE_TO_JUDGE"": 8}","{""ValueError: INSTANCE_OR_BUNDLE_UNRESOLVED: no instance id in archive"": 8}"
baselines/algorithm_prototypes/unified_mechanism_alns_20260719/segmented_pathology_gate,14,14,14,0,0,0.000000000000,7704.076806161125,0.000000000000,0.000000000000,0,"{""UNABLE_TO_JUDGE"": 14}","{""ValueError: INSTANCE_OR_BUNDLE_UNRESOLVED: no instance id in archive"": 14}"
baselines/algorithm_prototypes/unified_mechanism_alns_20260719/softmax_training_confirmation,16,16,16,0,0,0.000000000000,8265.628012691137,0.000000000000,0.000000000000,0,"{""UNABLE_TO_JUDGE"": 16}","{""ValueError: INSTANCE_OR_BUNDLE_UNRESOLVED: no instance id in archive"": 16}"
baselines/e2_final_campaign_20260720/corrected_china81_rerun_20260723/full_gate/tasks/D6-E2__cn-cy-100c-01-V2-LOCATIONS__seed1,4,0,0,0,0,0.000000000000,417.433423384702,0.000000000000,0.000000000000,4,"{""SKIPPED_NO_MULTITRIP"": 4}",{}
baselines/e2_final_campaign_20260720/corrected_china81_rerun_20260723/full_gate/tasks/D6-E2__cn-cy-100c-01-V2-LOCATIONS__seed2,4,0,0,0,0,0.000000000000,405.655570242631,0.000000000000,0.000000000000,4,"{""SKIPPED_NO_MULTITRIP"": 4}",{}
baselines/e2_final_campaign_20260720/corrected_china81_rerun_20260723/full_gate/tasks/D6-E2__cn-cy-100c-01-V2-LOCATIONS__seed3,4,0,0,0,0,0.000000000000,425.330746412394,0.000000000000,0.000000000000,4,"{""SKIPPED_NO_MULTITRIP"": 4}",{}
baselines/e2_final_campaign_20260720/corrected_china81_rerun_20260723/full_gate/tasks/D6-E2__cn-cy-100c-01-V2-LOCATIONS__seed4,4,0,0,0,0,0.000000000000,408.819611084100,0.000000000000,0.000000000000,4,"{""SKIPPED_NO_MULTITRIP"": 4}",{}
baselines/e2_final_campaign_20260720/corrected_china81_rerun_20260723/full_gate/tasks/D6-E2__cn-cy-100c-01-V2-LOCATIONS__seed5,4,0,0,0,0,0.000000000000,410.411324405825,0.000000000000,0.000000000000,4,"{""SKIPPED_NO_MULTITRIP"": 4}",{}
baselines/e2_final_campaign_20260720/corrected_china81_rerun_20260723/full_gate/tasks/D6-E2__cn-cy-100c-02-V2-LOCATIONS__seed1,4,0,0,0,0,0.000000000000,68.166763522650,0.000000000000,0.000000000000,4,"{""SKIPPED_NO_MULTITRIP"": 4}",{}
baselines/e2_final_campaign_20260720/corrected_china81_rerun_20260723/full_gate/tasks/D6-E2__cn-cy-100c-02-V2-LOCATIONS__seed2,4,0,0,0,0,0.000000000000,66.069834784653,0.000000000000,0.000000000000,4,"{""SKIPPED_NO_MULTITRIP"": 4}",{}
baselines/e2_final_campaign_20260720/corrected_china81_rerun_20260723/full_gate/tasks/D6-E2__cn-cy-100c-02-V2-LOCATIONS__seed3,4,0,0,0,0,0.000000000000,94.831107580406,0.000000000000,0.000000000000,4,"{""SKIPPED_NO_MULTITRIP"": 4}",{}
baselines/e2_final_campaign_20260720/corrected_china81_rerun_20260723/full_gate/tasks/D6-E2__cn-cy-100c-02-V2-LOCATIONS__seed4,4,0,0,0,0,0.000000000000,66.362706393821,0.000000000000,0.000000000000,4,"{""SKIPPED_NO_MULTITRIP"": 4}",{}
