accepted_addition_count,addition_count,appearance_second,asset_available_at_trigger,asset_future_release,asset_never_started,asset_total,batch_index,count20_trigger_cause,count20_trigger_second,customer_id,depot_id,due_second,event_ids,failure_reason,failure_stage,fixed_trigger_cause,fixed_trigger_second,information_wait_seconds,latest_departure_second,operationally_identical,policy,preferred_departure_second,reachable_at_trigger,ready_second,record_type,replay_matches_original,seconds_trigger_after_latest,seconds_trigger_after_shenzhen_cv_latest,service_second,shenzhen_cv_latest_departure_second,stage_evaluation_budget,status,trigger_second,vehicle_type
29,,,,,,,,,,,,,,"NoExecutableContinuation: stage search found no executable continuation (initial_feasible=False, changed=3, executable=0, accepted=0, top_rejections=[('E7_DYNAMIC_MULTITRIP_V1: no inherited asset can serve open route REPACK_001', 2), ('E7_DYNAMIC_MULTITRIP_V1: no inherited asset can serve open route DYN_EVENT_C135', 1)])",18,,,,,,fixed_30_minutes,,,,POLICY_REPLAY,True,,,,,8,HALT_STAGE_FAILURE,,
29,,,,,,,,,,,,,,"NoExecutableContinuation: stage search found no executable continuation (initial_feasible=False, changed=3, executable=0, accepted=0, top_rejections=[('E7_DYNAMIC_MULTITRIP_V1: no inherited asset can serve open route REPACK_001', 2), ('E7_DYNAMIC_MULTITRIP_V1: no inherited asset can serve open route DYN_EVENT_C135', 1)])",18,,,,,,hybrid_count_20_percent_or_30_minutes,,,,POLICY_REPLAY,True,,,,,8,HALT_STAGE_FAILURE,,
,3,,,,,,1,maximum_wait,23400.0,,,,ADD_008_C051|ADD_024_C120|ADD_019_C099,,,fixed_interval,23400.0,,,True,,,,,BATCH_PAIR,,,,,,,,,
,1,,,,,,2,maximum_wait,25200.0,,,,ADD_013_C077,,,fixed_interval,25200.0,,,True,,,,,BATCH_PAIR,,,,,,,,,
,2,,,,,,3,maximum_wait,27000.0,,,,ADD_010_C058|ADD_012_C064,,,fixed_interval,27000.0,,,True,,,,,BATCH_PAIR,,,,,,,,,
,1,,,,,,4,maximum_wait,28800.0,,,,ADD_025_C121,,,fixed_interval,28800.0,,,True,,,,,BATCH_PAIR,,,,,,,,,
,1,,,,,,5,maximum_wait,30600.0,,,,ADD_007_C039,,,fixed_interval,30600.0,,,True,,,,,BATCH_PAIR,,,,,,,,,
,3,,,,,,6,maximum_wait,32400.0,,,,ADD_029_C147|ADD_021_C111|ADD_003_C013,,,fixed_interval,32400.0,,,True,,,,,BATCH_PAIR,,,,,,,,,
,1,,,,,,7,maximum_wait,34200.0,,,,ADD_023_C115,,,fixed_interval,34200.0,,,True,,,,,BATCH_PAIR,,,,,,,,,
,3,,,,,,8,maximum_wait,36000.0,,,,ADD_022_C112|ADD_004_C030|ADD_006_C033,,,fixed_interval,36000.0,,,True,,,,,BATCH_PAIR,,,,,,,,,
,2,,,,,,9,maximum_wait,37800.0,,,,ADD_030_C150|ADD_020_C106,,,fixed_interval,37800.0,,,True,,,,,BATCH_PAIR,,,,,,,,,
,2,,,,,,10,maximum_wait,39600.0,,,,ADD_011_C063|ADD_028_C139,,,fixed_interval,39600.0,,,True,,,,,BATCH_PAIR,,,,,,,,,
,2,,,,,,11,maximum_wait,41400.0,,,,ADD_016_C091|ADD_002_C011,,,fixed_interval,41400.0,,,True,,,,,BATCH_PAIR,,,,,,,,,
,1,,,,,,12,maximum_wait,43200.0,,,,ADD_015_C088,,,fixed_interval,43200.0,,,True,,,,,BATCH_PAIR,,,,,,,,,
,1,,,,,,13,maximum_wait,45000.0,,,,ADD_001_C003,,,fixed_interval,45000.0,,,True,,,,,BATCH_PAIR,,,,,,,,,
,3,,,,,,14,maximum_wait,46800.0,,,,ADD_005_C032|ADD_017_C093|ADD_026_C133,,,fixed_interval,46800.0,,,True,,,,,BATCH_PAIR,,,,,,,,,
,1,,,,,,15,maximum_wait,48600.0,,,,ADD_009_C056,,,fixed_interval,48600.0,,,True,,,,,BATCH_PAIR,,,,,,,,,
,1,,,,,,16,maximum_wait,52200.0,,,,ADD_014_C084,,,fixed_interval,52200.0,,,True,,,,,BATCH_PAIR,,,,,,,,,
,1,,,,,,17,maximum_wait,54000.0,,,,ADD_018_C094,,,fixed_interval,54000.0,,,True,,,,,BATCH_PAIR,,,,,,,,,
,1,,,,,,18,maximum_wait,57600.0,,,,ADD_027_C135,,,fixed_interval,57600.0,,,True,,,,,BATCH_PAIR,,,,,,,,,
,,,2,2,2,4,,,,,D_dongguan,,,,,,,,,,,,,,ASSET_CLASS,,,,,,,,,cv
,,,1,0,0,1,,,,,D_dongguan,,,,,,,,,,,,,,ASSET_CLASS,,,,,,,,,ev
,,,2,2,1,4,,,,,D_foshan,,,,,,,,,,,,,,ASSET_CLASS,,,,,,,,,cv
,,,0,1,0,1,,,,,D_foshan,,,,,,,,,,,,,,ASSET_CLASS,,,,,,,,,ev
,,,5,4,2,9,,,,,D_guangzhou,,,,,,,,,,,,,,ASSET_CLASS,,,,,,,,,cv
,,,2,1,1,3,,,,,D_guangzhou,,,,,,,,,,,,,,ASSET_CLASS,,,,,,,,,ev
,,,6,4,5,10,,,,,D_shenzhen,,,,,,,,,,,,,,ASSET_CLASS,,,,,,,,,cv
,,,1,2,0,3,,,,,D_shenzhen,,,,,,,,,,,,,,ASSET_CLASS,,,,,,,,,ev
,,,,,,,,,,C135,D_dongguan,,,,,,,,55090.73306,,,52740.976520000004,False,,DEPOT_TYPE_CLOCK,,2509.2669400000013,,,,,,57600.0,cv
