instance,customers,depots,stations,total_demand_kg,window_width_h,deleted_customers,isolated,gamma_slots,anchor_day,bundle_hash,b2_safe
L-main,219,2,3,95145.3,5.55,0,0.0639269406392694,48,2025-11-13,ed91e08011fe706262e363c6243aba75a45d7e60a4c62e2e0210c04a11aba7c0,True
100-01-24h,100,2,3,46949.0,5.57,0,0.35,48,2025-11-13,edca272c231d90a910d20e3d992baa77fa2ec29c071a54240964b534289e1310,True
