variant,seed,status,feasible,violation_count,total_cost,total_carbon_kg,charging_carbon_kg,charging_share_pct,ev_routes,cv_routes,route_count,actual_evals,elapsed_seconds
cv_only,1,completed,是,0,9050.328,2984.487,0.0,0.0,0,64,64,16000,349.2162552080117
cv_only,2,completed,是,0,8876.725,2852.971,0.0,0.0,0,64,64,16000,245.13291983300587
cv_only,3,completed,是,0,8777.507,2777.957,0.0,0.0,0,64,64,16000,246.22870350000449
cv_only,4,completed,是,0,8182.371,2330.666,0.0,0.0,0,64,64,16000,827.8088829170156
cv_only,5,completed,是,0,8802.689,2797.549,0.0,0.0,0,64,64,16000,224.46690029202728
cv_only,6,completed,是,0,8901.463,2871.622,0.0,0.0,0,64,64,16000,226.38160108300508
cv_only,7,completed,是,0,8806.126,2798.36,0.0,0.0,0,64,64,16000,223.5150503749901
cv_only,8,completed,是,0,8652.188,2621.704,0.0,0.0,0,65,65,16000,268.26868995898985
cv_only,9,completed,是,0,9143.956,3054.207,0.0,0.0,0,64,64,16000,230.02374499998405
cv_only,10,completed,是,0,8980.83,2932.063,0.0,0.0,0,64,64,16000,249.57523983399733
ev_only,1,completed,是,0,8194.36,638.828,284.67,44.561,60,7,67,16000,1276.2938169589906
ev_only,2,completed,是,0,7754.622,362.379,227.576,62.801,65,2,67,16000,845.0406505409919
ev_only,3,completed,是,0,8112.84,563.444,235.388,41.777,62,6,68,16000,920.7103497500066
ev_only,4,completed,是,0,7849.14,383.686,248.355,64.729,64,2,66,16000,793.8290227920224
ev_only,5,completed,是,0,8258.305,590.667,258.075,43.692,62,6,68,16000,803.7949767499813
ev_only,6,completed,是,0,7732.068,385.029,256.648,66.657,64,2,66,16000,789.0899645000172
ev_only,7,completed,是,0,8247.384,448.895,300.027,66.837,66,2,68,16000,830.518430666998
ev_only,8,completed,是,0,7897.011,374.002,241.461,64.561,66,2,68,16000,798.3279022499919
ev_only,9,completed,是,0,8201.629,488.116,281.987,57.77,65,3,68,16000,827.2431431669975
ev_only,10,completed,是,0,8157.925,449.613,314.81,70.018,65,2,67,16000,952.0149819999933
mixed,1,completed,是,0,8411.354,961.718,280.68,29.185,55,9,64,16000,987.1828101249994
mixed,2,completed,是,0,8292.301,875.431,288.639,32.971,56,8,64,16000,714.2748164160002
mixed,3,completed,是,0,8430.184,1032.877,273.378,26.468,54,10,64,16000,739.4057052499847
mixed,4,completed,是,0,8218.752,764.23,314.545,41.158,58,6,64,16000,698.189990083978
mixed,5,completed,是,0,8474.393,980.82,303.761,30.97,55,9,64,16000,658.4614861250157
mixed,6,completed,是,0,8224.922,741.895,307.991,41.514,58,6,64,16000,677.0648491249885
mixed,7,completed,是,0,8267.294,887.331,279.943,31.549,56,8,64,16000,682.5586661249981
mixed,8,completed,是,0,8379.439,965.201,285.282,29.557,55,9,64,16000,640.0258965840039
mixed,9,completed,是,0,8110.921,730.878,280.608,38.393,58,6,64,16000,678.4606303749897
mixed,10,completed,是,0,8388.74,970.923,292.533,30.129,55,9,64,16000,647.1505783339962
