theta,pi_ratio_by_depot,min_ratio,total_cost,total_carbon_kg,cross_site_customers,feasible
0.80,D0:1.062; D1:1.037,1.0398,8189.024,885.315,,是
0.85,D0:1.062; D1:1.037,1.0398,8189.024,885.315,,是
0.90,D0:1.062; D1:1.037,1.0398,8189.024,885.315,,是
0.95,D0:1.062; D1:1.037,1.0398,8189.024,885.315,,是
1.00,D0:1.062; D1:1.037,1.0398,8189.024,885.315,,是
1.05,,,,,,否
1.10,,,,,,否
