metric,value,share_pct
e2_best total_cost,7990.859,
e2_best total_carbon_kg,610.741,
e2_best charging_stake,263.117,43.082
e2_best EV/CV,60/5,
e2_best source,E2 ALNS-Wouda seed=6,
