cumulative_carbon_kg,cumulative_cost,event_counts,feasible,frozen_routes,min_fairness_ratio,stage,stage_cost,trigger_reason,trigger_time
0.0,0.0,0/0/0,True,0,off,s1:0,0.0,initial,00:00
560.120719002124,6217.704578038874,4/1/3,True,55,off,s1:1,6217.704578038874,q_bar,02:27
642.8759877169227,6954.812090412442,3/2/3,True,62,off,s1:2,737.1075123735673,q_bar,03:54
642.8759877169227,6954.812090412442,3/2/3,True,62,off,s1:3,0.0,q_bar,04:51
642.8759877169227,6954.812090412442,3/2/3,True,62,off,s1:4,0.0,q_bar,07:04
644.0719409687867,7052.994763729752,2/2/4,True,63,off,s1:5,98.18267331731022,q_bar,08:38
989.8453985387222,10317.951482431105,3/1/4,True,91,off,s1:6,3264.9567187013527,q_bar,10:03
1488.0997887049107,13786.743434358044,4/1/2,True,118,off,s1:7,3468.79195192694,delta_t,13:03
1573.8742218267198,14736.968930003884,22/11/22,True,125,off,s1:summary,5317.476000183155,summary,
0.0,0.0,0/0/0,True,0,off,s2:0,0.0,initial,00:00
434.64757842069594,5587.138561327637,4/2/2,True,52,off,s2:1,5587.138561327637,q_bar,01:54
670.7208281843823,7606.6748558056515,6/1/1,True,70,off,s2:2,2019.5362944780145,q_bar,03:40
670.7208281843823,7606.6748558056515,2/1/5,True,70,off,s2:3,0.0,q_bar,05:06
670.7208281843823,7606.6748558056515,2/2/4,True,70,off,s2:4,0.0,q_bar,06:07
670.7208281843823,7606.6748558056515,4/2/2,True,70,off,s2:5,0.0,q_bar,07:31
1104.0929982241314,9786.305383320954,3/1/4,True,87,off,s2:6,2179.6305275153027,q_bar,09:14
1789.055551166984,14415.536783690095,1/2/4,True,123,off,s2:7,4629.231400369141,delta_t,12:14
1928.0600980116592,15240.787721141925,22/11/22,True,129,off,s2:summary,5811.685607768719,summary,
0.0,0.0,0/0/0,True,0,off,s3:0,0.0,initial,00:00
491.750886673531,6193.4238080560135,5/0/3,True,55,off,s3:1,6193.4238080560135,q_bar,02:39
493.98023721794544,6387.455635368766,3/2/3,True,57,off,s3:2,194.03182731275228,q_bar,03:45
493.98023721794544,6387.455635368766,5/0/3,True,57,off,s3:3,0.0,q_bar,05:08
493.98023721794544,6387.455635368766,2/3/3,True,57,off,s3:4,0.0,q_bar,07:45
702.9070943675179,7913.513983839444,2/1/5,True,70,off,s3:5,1526.0583484706785,q_bar,09:18
1197.3552730590682,10844.665678643669,3/2/3,True,94,off,s3:6,2931.1516948042245,q_bar,10:06
2262.89644082638,14869.49877130043,2/3/2,True,120,off,s3:7,4024.8330926567614,delta_t,13:06
2444.2494405274356,15877.862205628542,22/11/22,True,127,off,s3:summary,6624.736458604633,summary,
0.0,0.0,0/0/0,True,0,off,s4:0,0.0,initial,00:00
574.3969913250794,6370.15865317939,2/2/4,True,56,off,s4:1,6370.15865317939,q_bar,02:49
575.3226151385322,6464.364368785728,4/2/2,True,57,off,s4:2,94.20571560633834,q_bar,04:20
575.3226151385322,6464.364368785728,4/2/2,True,57,off,s4:3,0.0,q_bar,05:20
575.3226151385322,6464.364368785728,3/2/3,True,57,off,s4:4,0.0,q_bar,07:10
575.3226151385322,6464.364368785728,4/0/4,True,57,off,s4:5,0.0,q_bar,08:16
1156.4381537624402,10029.23262801885,2/2/4,True,86,off,s4:6,3564.8682592331215,q_bar,09:50
1933.6096194353352,14112.070351595316,3/1/3,True,116,off,s4:7,4082.8377235764656,delta_t,12:50
2136.6292891530934,15027.759304027424,22/11/22,True,122,off,s4:summary,4984.363319533046,summary,
0.0,0.0,0/0/0,True,0,off,s5:0,0.0,initial,00:00
564.2561067064352,6356.798772147069,2/1/5,True,56,off,s5:1,6356.798772147069,q_bar,02:41
566.4854572508495,6550.830599459821,3/0/5,True,58,off,s5:2,194.03182731275228,q_bar,04:38
566.4854572508495,6550.830599459821,3/2/3,True,58,off,s5:3,0.0,q_bar,06:19
566.4854572508495,6550.830599459821,2/1/5,True,58,off,s5:4,0.0,q_bar,07:20
566.4854572508495,6550.830599459821,4/2/2,True,58,off,s5:5,0.0,q_bar,08:04
680.4798956993865,8429.48392910939,3/3/2,True,75,off,s5:6,1878.653329649569,q_bar,09:26
1361.980856444236,12796.340225209704,5/2/0,True,108,off,s5:7,4366.856296100314,delta_t,12:26
1665.776053837217,14057.27734431219,22/11/22,True,116,off,s5:summary,4603.506534468934,summary,
0.0,0.0,0/0/0,True,0,off,s6:0,0.0,initial,00:00
403.0274718422151,4909.963498873042,2/3/3,True,46,off,s6:1,4909.963498873042,q_bar,01:31
619.0969925666576,7535.709590729184,2/0/6,True,70,off,s6:2,2625.746091856142,q_bar,03:11
647.9635874130163,7752.769532290636,1/2/5,True,72,off,s6:3,217.05994156145152,q_bar,04:53
647.9635874130163,7752.769532290636,4/1/3,True,72,off,s6:4,0.0,q_bar,07:29
747.5022209313119,9405.23680759889,6/0/2,True,87,off,s6:5,1652.467275308255,q_bar,09:14
1081.446517106692,12655.17471923433,5/2/1,True,115,off,s6:6,3249.9379116354394,q_bar,10:26
1882.2562241060605,15739.750403769907,2/3/2,True,135,off,s6:7,3084.5756845355772,delta_t,13:26
2066.9799357592015,16615.498373485207,22/11/22,True,141,off,s6:summary,6953.07801417972,summary,
0.0,0.0,0/0/0,True,0,off,s7:0,0.0,initial,00:00
340.3388727932625,5969.752636213567,5/0/3,True,55,off,s7:1,5969.752636213567,q_bar,02:10
440.604430751416,7249.487126847353,2/1/5,True,67,off,s7:2,1279.7344906337858,q_bar,03:23
440.604430751416,7249.487126847353,4/1/3,True,67,off,s7:3,0.0,q_bar,04:56
440.604430751416,7249.487126847353,5/1/2,True,67,off,s7:4,0.0,q_bar,07:39
728.2468526809109,9158.874488884549,1/5/2,True,83,off,s7:5,1909.387362037196,q_bar,09:21
1243.52374120709,13180.03305903533,2/2/4,True,116,off,s7:6,4021.158570150781,q_bar,10:43
1704.2109905705793,15623.466964340158,3/1/3,True,133,off,s7:7,2443.433905304828,delta_t,13:43
1844.7872814882453,16564.826472958408,22/11/22,True,140,off,s7:summary,6739.113532542633,summary,
0.0,0.0,0/0/0,True,0,off,s8:0,0.0,initial,00:00
421.3144688548624,5344.617001495107,2/1/5,True,50,off,s8:1,5344.617001495107,q_bar,01:46
590.1248297151155,7646.6855670989535,3/1/4,True,71,off,s8:2,2302.0685656038468,q_bar,03:48
590.1248297151155,7646.6855670989535,6/2/0,True,71,off,s8:3,0.0,q_bar,04:44
590.1248297151155,7646.6855670989535,4/2/2,True,71,off,s8:4,0.0,q_bar,06:12
590.1248297151155,7646.6855670989535,1/3/4,True,71,off,s8:5,0.0,q_bar,07:54
755.1595840997693,9470.46615808922,4/0/4,True,88,off,s8:6,1823.7805909902672,q_bar,09:34
1970.9949087628106,14594.868811311328,2/2/3,True,122,off,s8:7,5124.402653222107,delta_t,12:34
2143.5383169826355,15578.996959119824,22/11/22,True,129,off,s8:summary,5777.157193625713,summary,
0.0,0.0,0/0/0,True,0,off,s9:0,0.0,initial,00:00
399.9118040408046,4788.329410524601,2/2/4,True,45,off,s9:1,4788.329410524601,q_bar,01:24
557.1086785295313,6995.217406421349,2/0/6,True,66,off,s9:2,2206.8879958967473,q_bar,01:59
722.6918204075315,8163.172934477092,4/1/3,True,76,off,s9:3,1167.9555280557433,q_bar,04:04
723.1638465270647,8250.730176337338,1/3/4,True,77,off,s9:4,87.557241860246,q_bar,05:57
723.1638465270647,8250.730176337338,6/1/1,True,77,off,s9:5,0.0,q_bar,06:57
723.1638465270647,8250.730176337338,4/1/3,True,77,off,s9:6,0.0,q_bar,07:55
1818.0671201634632,13533.292126888096,3/2/1,True,115,off,s9:7,5282.561950550758,delta_t,10:55
2145.2615117463747,15767.247193793924,0/1/0,True,132,off,s9:8,2233.955066905828,delta_t,13:55
2227.151300117716,16558.676973816422,22/11/22,True,138,off,s9:summary,6656.028365820124,summary,
0.0,0.0,0/0/0,True,0,off,s10:0,0.0,initial,00:00
564.2561067064352,6356.798772147069,2/1/5,True,56,off,s10:1,6356.798772147069,q_bar,02:39
585.2971716019873,6558.170588482729,5/1/2,True,58,off,s10:2,201.3718163356598,q_bar,04:21
585.2971716019873,6558.170588482729,4/2/2,True,58,off,s10:3,0.0,q_bar,05:10
585.2971716019873,6558.170588482729,3/2/3,True,58,off,s10:4,0.0,q_bar,06:41
585.2971716019873,6558.170588482729,1/2/5,True,58,off,s10:5,0.0,q_bar,07:42
966.7647515324729,8877.363716960961,7/0/1,True,77,off,s10:6,2319.193128478232,q_bar,09:29
1731.8286600980387,13635.273325085791,0/3/4,True,112,off,s10:7,4757.90960812483,delta_t,12:29
1817.1280232356698,14415.51570301758,22/11/22,True,118,off,s10:summary,4662.045605508896,summary,
