seed,carbon_price,quota,total_cost,total_carbon_kg,actual_evals,elapsed_seconds,feasible
1,2,0.8,8418.56,961.718,16000,744.861725833005,是
2,2,0.8,8295.164,875.431,16000,710.4367052089947,是
3,2,0.8,8440.973,1032.877,16000,649.9261532909877,是
4,2,0.8,8276.164,820.227,16000,721.1080172079965,是
5,2,0.8,8482.561,980.82,16000,667.7056464159978,是
6,2,0.8,8151.673,730.727,16000,660.2159177919966,是
7,2,0.8,8270.756,887.331,16000,697.5669333749975,是
8,2,0.8,8386.821,965.201,16000,708.1548905830132,是
9,2,0.8,8093.063,653.021,16000,725.1267802079965,是
10,2,0.8,8396.41,970.923,16000,478.95507341698976,是
1,2,1,8397.957,961.718,16000,754.5494309169881,是
2,2,1,8274.56,875.431,16000,812.8835811250028,是
3,2,1,8420.37,1032.877,16000,646.0960612499912,是
4,2,1,8255.561,820.227,16000,723.1812314589915,是
5,2,1,8461.957,980.82,16000,668.7310415419925,是
6,2,1,8119.409,723.189,16000,656.2170772920072,是
7,2,1,8250.153,887.331,16000,702.5673552499793,是
8,2,1,8366.217,965.201,16000,662.6989884169889,是
9,2,1,8084.8,660.832,16000,704.6301380829827,是
10,2,1,8375.807,970.923,16000,465.10455224997713,是
1,2,1.2,8377.354,961.718,16000,753.1739110829949,是
2,2,1.2,8253.957,875.431,16000,735.4248787910037,是
3,2,1.2,8399.766,1032.877,16000,641.1838466250047,是
4,2,1.2,8234.958,820.227,16000,713.5010386669892,是
5,2,1.2,8441.354,980.82,16000,666.0970298750035,是
6,2,1.2,8098.806,723.189,16000,648.055315125006,是
7,2,1.2,8229.55,887.331,16000,699.0792414169991,是
8,2,1.2,8345.614,965.201,16000,646.524089249986,是
9,2,1.2,8064.197,660.832,16000,709.3923557920207,是
10,2,1.2,8355.203,970.923,16000,463.2480258750147,是
1,4,0.5,8494.783,961.718,16000,784.2835334170086,是
2,4,0.5,8366.078,873.185,16000,681.7209246249986,是
3,4,0.5,8524.36,1032.877,16000,646.3981354169955,是
4,4,0.5,8318.874,759.48,16000,730.6318731670035,是
5,4,0.5,8560.618,979.834,16000,669.0355652079743,是
6,4,0.5,8275.153,741.895,16000,679.9293677920068,是
7,4,0.5,8345.399,889.528,16000,689.2764163750107,是
8,4,0.5,8473.821,968.166,16000,668.8622008750099,是
9,4,0.5,8366.121,814.366,16000,708.0949210000108,是
10,4,0.5,8473.559,970.923,16000,446.4852982079901,是
1,4,0.8,8432.973,961.718,16000,750.7390155839967,是
2,4,0.8,8304.268,873.185,16000,699.6482568750216,是
3,4,0.8,8462.55,1032.877,16000,647.989946125017,是
4,4,0.8,8257.064,759.48,16000,730.4305850829987,是
5,4,0.8,8498.808,979.834,16000,668.5294580829795,是
6,4,0.8,8213.344,741.895,16000,684.914864041988,是
7,4,0.8,8283.589,889.528,16000,694.6054676249914,是
8,4,0.8,8412.011,968.166,16000,697.195932749979,是
9,4,0.8,8304.311,814.366,16000,670.6076701659767,是
10,4,0.8,8411.75,970.923,16000,449.3612091249961,是
1,4,1,8391.767,961.718,16000,807.8754187500163,是
2,4,1,8263.062,873.185,16000,672.7861012079811,是
3,4,1,8321.457,895.492,16000,665.9618990829913,是
4,4,1,8215.857,759.48,16000,731.4120311670122,是
5,4,1,8457.602,979.834,16000,701.0120935830055,是
6,4,1,8172.137,741.895,16000,685.4844742079731,是
7,4,1,8242.382,889.528,16000,695.0549044579966,是
8,4,1,8370.805,968.166,16000,752.44349091599,是
9,4,1,8263.105,814.366,16000,653.5822687090258,是
10,4,1,8370.543,970.923,16000,446.86002087499946,是
1,4,1.2,8350.56,961.718,16000,857.7342793330026,是
2,4,1.2,8221.855,873.185,16000,665.7572112499911,是
3,4,1.2,8380.137,1032.877,16000,648.3432785419864,是
4,4,1.2,8174.651,759.48,16000,731.3520194999874,是
5,4,1.2,8416.395,979.834,16000,677.3647631669883,是
6,4,1.2,8130.931,741.895,16000,719.7977482920105,是
7,4,1.2,8201.176,889.528,16000,709.2767912079871,是
8,4,1.2,8329.598,968.166,16000,710.6062782499939,是
9,4,1.2,8221.898,814.366,16000,666.9025978329882,是
10,4,1.2,8329.337,970.923,16000,446.1733338329941,是
