step,best,mean,std,E_total_kg,delta_vs_full_pct,ev_count,cross_site_customers,min_profit_ratio,mechanism_note
M0 无多场协同,7840.473,8090.477,138.294,167.092,0.663,63.8,0.0,1.0,无多场协同
M1 无碳感知,7840.473,8094.319,129.322,157.061,0.711,64.1,0.1,,无碳感知
M2 均值碳强度,7840.473,8094.319,129.322,524.859,0.711,64.1,0.1,,均值碳强度
M3 无碳交易,7837.114,8084.817,144.229,468.119,0.592,63.7,0.2,,无碳交易
M4 无收益公平,7815.304,8063.529,154.881,452.16,0.328,63.9,0.4,,无收益公平
M5 完整模型,7815.304,8037.2,122.041,461.689,0.0,63.8,0.0,1.0003,完整模型
