instance_id,source_family,source_replicate,mapping_rule,owner_counts,initial_route_counts,mapping_sha256,initial_sha256,status
cn-prd-150c-01-V2-LOCATIONS,Uniform_Balanced,01,sorted customers + sorted depots; 150c uses first 150 labels,"{""D_dongguan"": 35, ""D_foshan"": 33, ""D_guangzhou"": 44, ""D_shenzhen"": 38}","{""D_dongguan"": 7, ""D_foshan"": 6, ""D_guangzhou"": 8, ""D_shenzhen"": 8}",91e7473f404e440ee0b4b32a8a918fb2dde31b2a4b19f0a770045a3cf177fcf5,ddfd2726366746c44c6f0a5f2f4950a4378533fe0584ef907f7a9177110f9bee,PASS_INPUT_CONSTRUCTED
cn-prd-150c-01-V2-LOCATIONS,Uniform_Unbalanced,01,sorted customers + sorted depots; 150c uses first 150 labels,"{""D_dongguan"": 60, ""D_foshan"": 59, ""D_guangzhou"": 17, ""D_shenzhen"": 14}","{""D_dongguan"": 11, ""D_foshan"": 11, ""D_guangzhou"": 4, ""D_shenzhen"": 3}",136317534bd1df0c743d94fc004edd6e58ad2477a8858cd440ce4d90e120381a,2a488a0a0ba82e252d44905c540321ebb605fa00fe91f46e888ad318575b138b,PASS_INPUT_CONSTRUCTED
cn-prd-150c-02-V2-LOCATIONS,Uniform_Balanced,02,sorted customers + sorted depots; 150c uses first 150 labels,"{""D_dongguan"": 27, ""D_foshan"": 37, ""D_guangzhou"": 54, ""D_shenzhen"": 32}","{""D_dongguan"": 7, ""D_foshan"": 7, ""D_guangzhou"": 10, ""D_shenzhen"": 7}",327a35f37b967a9f15925d77b66eebf93f4820b2730531eecbe223b5244310c3,a72f154e0529501e619dafe0d734dcfc7ccf195f59ffa043deb0699bc021d6fe,PASS_INPUT_CONSTRUCTED
cn-prd-150c-02-V2-LOCATIONS,Uniform_Unbalanced,02,sorted customers + sorted depots; 150c uses first 150 labels,"{""D_dongguan"": 57, ""D_foshan"": 63, ""D_guangzhou"": 16, ""D_shenzhen"": 14}","{""D_dongguan"": 11, ""D_foshan"": 12, ""D_guangzhou"": 3, ""D_shenzhen"": 4}",62810081c322d40393a454d524fad8c0cc59f49c7d71010bb1ce8beee28a6408,0e87cc657d8ca31aaefd81b37420156049530f991d1e2a333c09ff22daa8a265,PASS_INPUT_CONSTRUCTED
cn-prd-150c-03-V2-LOCATIONS,Uniform_Balanced,03,sorted customers + sorted depots; 150c uses first 150 labels,"{""D_dongguan"": 38, ""D_foshan"": 38, ""D_guangzhou"": 32, ""D_shenzhen"": 42}","{""D_dongguan"": 6, ""D_foshan"": 7, ""D_guangzhou"": 7, ""D_shenzhen"": 8}",e3a8d28d52b87ea0faf2cc393aab418fa79a3265aeccdee513ce199488ac5981,3e4fd6cfd5e1066fc6720ec02e81f7f029a6f9a1d3f37287f0ad5eae6c211903,PASS_INPUT_CONSTRUCTED
cn-prd-150c-03-V2-LOCATIONS,Uniform_Unbalanced,03,sorted customers + sorted depots; 150c uses first 150 labels,"{""D_dongguan"": 56, ""D_foshan"": 61, ""D_guangzhou"": 16, ""D_shenzhen"": 17}","{""D_dongguan"": 11, ""D_foshan"": 11, ""D_guangzhou"": 3, ""D_shenzhen"": 3}",f9e64c454db1a91aa0047ff94536075a1feb8b0e50e89ce3e151bcf6324ac488,930f5b2f445be52fa9793d302eabd63ea267451c7bf023e05e4c21c7eaf20659,PASS_INPUT_CONSTRUCTED
cn-prd-200c-01-V2-LOCATIONS,Uniform_Balanced,01,sorted customers + sorted depots; 150c uses first 150 labels,"{""D_dongguan"": 53, ""D_foshan"": 51, ""D_guangzhou"": 53, ""D_shenzhen"": 43}","{""D_dongguan"": 10, ""D_foshan"": 10, ""D_guangzhou"": 10, ""D_shenzhen"": 8}",0274b995d7e326dc14058b2aabc4968bf066cb3f9ef72ba6a8b0fec0adff2f5c,ca6571cfdecb22d0ada938eee4b8eacdef5d8054bbcccb84d63c8ccb7830bb68,PASS_INPUT_CONSTRUCTED
cn-prd-200c-01-V2-LOCATIONS,Uniform_Unbalanced,01,sorted customers + sorted depots; 150c uses first 150 labels,"{""D_dongguan"": 80, ""D_foshan"": 80, ""D_guangzhou"": 20, ""D_shenzhen"": 20}","{""D_dongguan"": 15, ""D_foshan"": 15, ""D_guangzhou"": 4, ""D_shenzhen"": 5}",1bab95b7437a8482f04a20087f29a09962f7a31f4bf37aa46ec003376d33ef07,752b8f7215fb3c8a60e9b8de124d76cf6184574c0b7edce6b8ce87ce8c547dfa,PASS_INPUT_CONSTRUCTED
cn-prd-200c-02-V2-LOCATIONS,Uniform_Balanced,02,sorted customers + sorted depots; 150c uses first 150 labels,"{""D_dongguan"": 42, ""D_foshan"": 47, ""D_guangzhou"": 64, ""D_shenzhen"": 47}","{""D_dongguan"": 9, ""D_foshan"": 9, ""D_guangzhou"": 12, ""D_shenzhen"": 10}",2ab75a31a6cd54bd69285aa55764f9f8ea3a74eb4f97811038b09e0d67c9f79e,8ebcc577bde65b9213e6d1e9691e838478634570dffc3543b6becd708bb1e79c,PASS_INPUT_CONSTRUCTED
cn-prd-200c-02-V2-LOCATIONS,Uniform_Unbalanced,02,sorted customers + sorted depots; 150c uses first 150 labels,"{""D_dongguan"": 80, ""D_foshan"": 80, ""D_guangzhou"": 20, ""D_shenzhen"": 20}","{""D_dongguan"": 15, ""D_foshan"": 16, ""D_guangzhou"": 5, ""D_shenzhen"": 5}",59ec4e8308566ddc7a5886e3b0ebfa39b720a1d9bb734a2b9f723111df01ebf1,8f3120c4d9ed3fa3c9129d6002e1cab3656c4e11d98ed066eeb98198aa0cad3d,PASS_INPUT_CONSTRUCTED
