scale,bundle_id,seed,best_obj,actual_evals,feasible,violation_count,elapsed_seconds,wall_clock_capped,harvested_solution_count,worker_python_executable,worker_numpy_version
50,e2-threeshift-50c-03,1,1770.782166933431,20,1,0,2.0544296000152826,0,6,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,2.3.5
50,e2-threeshift-50c-03,2,1770.782166933431,20,1,0,2.2443435998866335,0,6,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,2.3.5
50,e2-threeshift-50c-03,3,1770.782166933431,20,1,0,1.9303265999769792,0,6,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,2.3.5
50,e2-threeshift-50c-03,4,1770.782166933431,20,1,0,2.1354401001008227,0,6,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,2.3.5
50,e2-threeshift-50c-03,5,1770.782166933431,20,1,0,1.9763032000046223,0,6,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,2.3.5
50,e2-threeshift-50c-03,6,1770.782166933431,20,1,0,1.8730266999918967,0,6,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,2.3.5
50,e2-threeshift-50c-03,7,1770.782166933431,20,1,0,1.956654299981892,0,6,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,2.3.5
50,e2-threeshift-50c-03,8,1770.782166933431,20,1,0,2.0670289000263438,0,6,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,2.3.5
50,e2-threeshift-50c-03,9,1770.782166933431,20,1,0,1.877574099926278,0,6,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,2.3.5
50,e2-threeshift-50c-03,10,1770.782166933431,20,1,0,1.8007345999358222,0,6,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,2.3.5
50,e2-threeshift-50c-03,11,1770.782166933431,20,1,0,2.2810774999670684,0,6,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,2.3.5
50,e2-threeshift-50c-03,12,1770.782166933431,20,1,0,1.767620800063014,0,6,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,2.3.5
75,e2-threeshift-75c-03,1,2478.309599401725,20,1,0,3.7485789000056684,0,6,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,2.3.5
75,e2-threeshift-75c-03,2,2478.309599401725,20,1,0,3.6814289999892935,0,6,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,2.3.5
