scale,bundle_id,raw_entry_count,dedup_entry_count,alternate_entry_count,duplicate_signature_count,skipped_empty_route_count,fallback_added_count,extra_harvest_solution_count,fallback_failed_customer_count,fallback_failed_customers
50,e2-threeshift-50c-03,8306,58,0,8248,0,50,960,0,
75,e2-threeshift-75c-03,10395,85,0,10310,0,75,960,0,
100,e2-threeshift-100c-03,14548,114,0,14434,0,100,960,0,
150,e2-threeshift-150c-03,15217,169,0,15048,0,150,721,0,
200,e2-threeshift-200c-03,2776,228,0,2548,0,200,20,0,
