scale,bundle,bundle_id,seed_count,best_single,best_single_seed,mean_single,sp_cost,headroom_sp_pct,verdict,sp_feasible,sp_violation_count,milp_status,milp_success,milp_gap,milp_runtime_seconds,milp_fallback_used,selected_route_count,pool_entry_count,pool_raw_entry_count,pool_fallback_added_count,pool_fallback_failed_customers,extra_harvest_solution_count,station_capacity_constraint_count,cover_constraint_count,runtime_seconds,worker_python,worker_numpy
50,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-50c-03,e2-threeshift-50c-03,12,1770.782166933431,1,1770.782166933431,1770.782166933431,0.0,NO_ROOM_SP,1,0,0,1,0.0,0.0021182000637054443,0,8,58,8306,50,,960,0,50,61.13276659999974,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,2.3.5
75,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-75c-03,e2-threeshift-75c-03,12,2478.309599401725,1,2478.309599401725,2478.309599401725,0.0,NO_ROOM_SP,1,0,0,1,0.0,0.0015224999515339732,0,10,85,10395,75,,960,0,75,122.71630450000521,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,2.3.5
100,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-100c-03,e2-threeshift-100c-03,12,3335.9368875298255,1,3335.9368875298255,3335.9368875298255,0.0,NO_ROOM_SP,1,0,0,1,0.0,0.0016029999824240804,0,14,114,14548,100,,960,0,100,267.32464829995297,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,2.3.5
150,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-150c-03,e2-threeshift-150c-03,12,5017.380490168896,1,5017.380490168896,5017.380490168896,0.0,NO_ROOM_SP,1,0,0,1,0.0,0.0024353000335395336,0,19,169,15217,150,,721,0,150,555.9878707999596,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,2.3.5
200,models/data_bundle/generated_instances/e2_benchmark/threeshift/e2-threeshift-200c-03,e2-threeshift-200c-03,12,6568.75535772939,1,6568.75535772939,6568.75535772939,0.0,NO_ROOM_SP,1,0,0,1,0.0,0.0037591999862343073,0,28,228,2776,200,,20,0,200,849.3991544999881,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,2.3.5
