task_id,instance_id,region,arm,charge_timing_policy,seed,solver,mip_invoked,initial_time_limit_seconds,final_time_limit_seconds,actual_elapsed_seconds,time_limit_reached,finished_before_time_limit,incumbent_available,status,status_class,optimality_proven,extended,extension_count,extension_supported,incumbent_trace_supported,extension_unavailable_reason
T26__CY__ASAP__S2026080201,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080201,scipy.optimize.milp/HiGHS,True,300.0,300.0,300.0728200839985,True,False,True,1,REJECTED_COMPLETE_MODEL_VIOLATIONS,False,False,0,False,False,scipy.optimize.milp exposes neither an incumbent callback nor a resumable solver handle
T26__CY__ASAP__S2026080202,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080202,scipy.optimize.milp/HiGHS,True,300.0,300.0,300.0403240830019,True,False,True,1,REJECTED_COMPLETE_MODEL_VIOLATIONS,False,False,0,False,False,scipy.optimize.milp exposes neither an incumbent callback nor a resumable solver handle
T26__CY__ASAP__S2026080203,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080203,scipy.optimize.milp/HiGHS,True,300.0,300.0,300.07321341699935,True,False,True,1,REJECTED_COMPLETE_MODEL_VIOLATIONS,False,False,0,False,False,scipy.optimize.milp exposes neither an incumbent callback nor a resumable solver handle
T26__CY__ASAP__S2026080204,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080204,scipy.optimize.milp/HiGHS,True,300.0,300.0,300.03851395899983,True,False,True,1,REJECTED_COMPLETE_MODEL_VIOLATIONS,False,False,0,False,False,scipy.optimize.milp exposes neither an incumbent callback nor a resumable solver handle
T26__CY__ASAP__S2026080205,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080205,scipy.optimize.milp/HiGHS,True,300.0,300.0,300.077262625,True,False,True,1,REJECTED_COMPLETE_MODEL_VIOLATIONS,False,False,0,False,False,scipy.optimize.milp exposes neither an incumbent callback nor a resumable solver handle
T26__CY__ASAP__S2026080206,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080206,scipy.optimize.milp/HiGHS,True,300.0,300.0,300.044119582999,True,False,True,1,REJECTED_COMPLETE_MODEL_VIOLATIONS,False,False,0,False,False,scipy.optimize.milp exposes neither an incumbent callback nor a resumable solver handle
T26__CY__ASAP__S2026080207,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080207,scipy.optimize.milp/HiGHS,True,10.0,10.0,10.017455874999996,True,False,True,1,REJECTED_COMPLETE_MODEL_VIOLATIONS,False,False,0,False,False,scipy.optimize.milp exposes neither an incumbent callback nor a resumable solver handle
T26__CY__ASAP__S2026080208,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080208,scipy.optimize.milp/HiGHS,True,300.0,300.0,300.2459710410003,True,False,True,1,REJECTED_COMPLETE_MODEL_VIOLATIONS,False,False,0,False,False,scipy.optimize.milp exposes neither an incumbent callback nor a resumable solver handle
T26__CY__ASAP__S2026080209,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080209,scipy.optimize.milp/HiGHS,True,300.0,300.0,300.1264196669981,True,False,True,1,REJECTED_COMPLETE_MODEL_VIOLATIONS,False,False,0,False,False,scipy.optimize.milp exposes neither an incumbent callback nor a resumable solver handle
T26__CY__ASAP__S2026080210,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080210,scipy.optimize.milp/HiGHS,True,10.0,10.0,10.021277707999616,True,False,True,1,REJECTED_COMPLETE_MODEL_VIOLATIONS,False,False,0,False,False,scipy.optimize.milp exposes neither an incumbent callback nor a resumable solver handle
