task_id,instance_id,region,arm,charge_timing_policy,seed,view,improvement_sequence,iteration,global_iteration,elapsed_seconds,global_elapsed_seconds,objective_before,objective_after,improvement_absolute,improvement_relative,timer_reset,timer_reset_threshold_relative,objective_type
T26__CY__ASAP__S2026080201,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080201,cv_only,1,1,1,0.010560082999290898,0.01056049899852951,9223372036854775807,3351702,9223372036851424105,0.9999999999996366,,,PyVRP integer proxy objective
T26__CY__ASAP__S2026080201,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080201,cv_only,2,4,4,0.045900999997684266,0.04590141599692288,3351702,2528651,823051,0.24556210546164306,,,PyVRP integer proxy objective
T26__CY__ASAP__S2026080201,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080201,cv_only,3,12,12,0.15127845799725037,0.15127887399648898,2528651,2474691,53960,0.021339441465034123,,,PyVRP integer proxy objective
T26__CY__ASAP__S2026080201,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080201,cv_only,4,83,83,0.8550378749969241,0.8550382909961627,2474691,2471448,3243,0.0013104666400774886,,,PyVRP integer proxy objective
T26__CY__ASAP__S2026080201,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080201,cv_only,5,97,97,0.9735369999980321,0.9735374159972707,2471448,2430912,40536,0.016401720772599708,,,PyVRP integer proxy objective
T26__CY__ASAP__S2026080201,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080201,cv_only,6,102,102,1.3702725829971314,1.37027299899637,2430912,2425007,5905,0.002429129478977437,,,PyVRP integer proxy objective
T26__CY__ASAP__S2026080201,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080201,cv_only,7,154,154,1.9556008330000623,1.9556012489993009,2425007,2415449,9558,0.0039414319216398135,,,PyVRP integer proxy objective
T26__CY__ASAP__S2026080201,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080201,cv_only,8,324,324,4.136461499998404,4.136461915997643,2415449,2406923,8526,0.0035297785215088373,,,PyVRP integer proxy objective
T26__CY__ASAP__S2026080201,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080201,cv_only,9,1214,1214,14.466994250000425,14.466994665999664,2406923,2402992,3931,0.0016332055491596533,,,PyVRP integer proxy objective
T26__CY__ASAP__S2026080201,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080201,cv_only,10,1268,1268,14.90751170799922,14.907512123998458,2402992,2401917,1075,0.0004473589591642419,,,PyVRP integer proxy objective
T26__CY__ASAP__S2026080201,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080201,cv_only,11,1343,1343,15.725175749998016,15.725176165997254,2401917,2392419,9498,0.003954341469751037,,,PyVRP integer proxy objective
T26__CY__ASAP__S2026080201,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080201,cv_only,12,1552,1552,17.83310154100036,17.8331019569996,2392419,2387142,5277,0.002205717309551546,,,PyVRP integer proxy objective
T26__CY__ASAP__S2026080201,cn-cy-100c-01-V2-LOCATIONS,CY,ASAP,asap,2026080201,cv_only,13,1801,1801,20.5900218329989,20.59002224899814,2387142,2385298,1844,0.0007724718512765475,,,PyVRP integer proxy objective
