mode,seed,budget,distance,routes,complete,feasible,independent_valid,independent_validation_calls_runner,island_calls,exchange_calls,destroy_repair_calls,local_search_calls,route_pool_calls,route_pool_sources_selected,best_source,signature_sha256
mother,1,0,8189361,38,true,true,true,1,0,0,0,0,0,0,mother,3419ea45c44d0843c3dd84467bf780611b532ddf9f7c0566c4cfd81029aaeaf1
budget_0,1,0,8189361,38,true,true,true,1,0,0,0,0,0,0,mother,3419ea45c44d0843c3dd84467bf780611b532ddf9f7c0566c4cfd81029aaeaf1
budget_1,1,1,7927880,36,true,true,true,1,3,1,1,1,1,1,island_2,b44bf2b95eda8c729ea363284830ab0b2abe094d6603a9d953c98b02b50a4ca9
budget_2,1,2,7927880,36,true,true,true,1,3,2,2,2,1,1,island_2,b44bf2b95eda8c729ea363284830ab0b2abe094d6603a9d953c98b02b50a4ca9
budget_5,1,5,7695892,37,true,true,true,1,3,5,5,5,1,6,route_pool,bec0d3e5c1028b0c042dd4191f8bcad87a65919fffb037dbd88e8615adacbec3
