actual_charging_saving_kg,arm,aware_actual_charging_emissions_kg,aware_predicted_charging_emissions_kg,baseline_output_sha256,certificate_sha256,charge_actions_at_earliest,charging_strategy,cross_site_customer_count,customer_accounting_pass,elapsed_seconds,eligible_charge_actions,energy_sha256,feasible_cross_candidate_count,future_cost,immediate_actual_charging_emissions_kg,immediate_predicted_charging_emissions_kg,main_evaluations,main_search_seed,minimum_profit_margin,minimum_profit_ratio,moved_charge_actions,moved_charge_kwh,participation_gate_rejections,predicted_charging_saving_kg,profit_margins_json,profit_ratios_json,responsibility_condition,route_sha256,running_actual_charging_emissions_kg,running_depot_profit_json,running_predicted_charging_emissions_kg,running_total_actual_emissions_kg,running_total_cost,running_total_profit,same_state_baseline_cost,same_state_baseline_profit_json,same_state_cost_saving_pct,second_start_sha256,selected_future_profit_json,shadow_evaluations,shadow_search_seed,solution_sha256,stage,stream_seed,trigger_second
0.0,full,137.19663405557571,127.67638163772176,5d783e34ad3c5480ad2b6c37034c01e86820839077d2fb9f13bc275c80792095,cdfbcbbbe98d967826900499306d9d81cdeedaf7c69e95765cb102b3bfb19ce2,16,aware,0,True,302.15232054100034,16,da93277bf7b4652ee1101e6cab909d05233d1bd0cf5dcb25159f4e15ca0ae5ca,0,6968.8242146607445,137.19663405557571,127.67638163772176,50,10012,0.0,1.0,5,462.5277950244258,0,0.0,"{""D0"": 0.0, ""D1"": 0.0}","{""D0"": 1.0, ""D1"": 1.0}",geographic,e345e3988f1a9d5ccd4e040f6541ae3595248efe31e9f6c53597d929e1bd1eaa,225.16894043248814,"{""D0"": 4557.068637828373, ""D1"": 5546.333023431795}",208.57028888585552,2258.3604223811344,8535.706879533669,10103.401661260166,6968.8242146607445,"{""D0"": 3537.327622763384, ""D1"": 3609.3356633697113}",0.0,5d783e34ad3c5480ad2b6c37034c01e86820839077d2fb9f13bc275c80792095,"{""D0"": 3537.327622763384, ""D1"": 3609.3356633697113}",50,10011,0a10c8f0cc215eb63fd5f792c454fbf2cc54b5713c1df504412d592b06666678,1,1,10800.0
0.0,full,100.77892482635663,93.80224512550821,d56c34d0233d86ee7544c90d90b540bcea9c5be95f5a36c3fd07d668ed022694,6bf87cda509c6efec9ee84692588044578e9acc79864acd43ce2767db99437c6,10,aware,0,True,90.68656787500004,10,839d0cdd5e5e0a960a42c918e341f39ae6a86b57c4058ed509d62dc9a00b14cf,0,4713.20020017211,100.77892482635663,93.80224512550821,50,10022,0.0,1.0,7,553.8738260385712,0,0.0,"{""D0"": 0.0, ""D1"": 0.0}","{""D0"": 1.0, ""D1"": 1.0}",geographic,02a25d2b6b8a5f253694746bb66b60b038e2e952241694e2889ed83a6cbf933b,221.0206683810109,"{""D0"": 5011.27414950978, ""D1"": 4900.697218165755}",203.78945367302936,2389.061702746474,8904.996670920951,9911.971367675535,4713.20020017211,"{""D0"": 2987.9371341243145, ""D1"": 2231.5317031973022}",0.0,d56c34d0233d86ee7544c90d90b540bcea9c5be95f5a36c3fd07d668ed022694,"{""D0"": 2987.9371341243145, ""D1"": 2231.5317031973022}",50,10021,ae9d31e159ec7c8ed67f0e49a3b978b6cf6b46568e757844e0e13fcfc974f26e,2,1,17463.155806373295
0.0,no_cooperation,137.19663405557571,127.67638163772176,5d783e34ad3c5480ad2b6c37034c01e86820839077d2fb9f13bc275c80792095,cdfbcbbbe98d967826900499306d9d81cdeedaf7c69e95765cb102b3bfb19ce2,16,aware,0,True,304.2463135829994,16,da93277bf7b4652ee1101e6cab909d05233d1bd0cf5dcb25159f4e15ca0ae5ca,0,6968.8242146607445,137.19663405557571,127.67638163772176,50,10012,0.0,1.0,5,462.5277950244258,0,0.0,"{""D0"": 0.0, ""D1"": 0.0}","{""D0"": 1.0, ""D1"": 1.0}",geographic,e345e3988f1a9d5ccd4e040f6541ae3595248efe31e9f6c53597d929e1bd1eaa,225.16894043248814,"{""D0"": 4557.068637828373, ""D1"": 5546.333023431795}",208.57028888585552,2258.3604223811344,8535.706879533669,10103.401661260166,6968.8242146607445,"{""D0"": 3537.327622763384, ""D1"": 3609.3356633697113}",0.0,5d783e34ad3c5480ad2b6c37034c01e86820839077d2fb9f13bc275c80792095,"{""D0"": 3537.327622763384, ""D1"": 3609.3356633697113}",50,10011,0a10c8f0cc215eb63fd5f792c454fbf2cc54b5713c1df504412d592b06666678,1,1,10800.0
0.0,no_cooperation,100.77892482635663,93.80224512550821,d56c34d0233d86ee7544c90d90b540bcea9c5be95f5a36c3fd07d668ed022694,6bf87cda509c6efec9ee84692588044578e9acc79864acd43ce2767db99437c6,10,aware,0,True,91.2306141250001,10,839d0cdd5e5e0a960a42c918e341f39ae6a86b57c4058ed509d62dc9a00b14cf,0,4713.20020017211,100.77892482635663,93.80224512550821,50,10022,0.0,1.0,7,553.8738260385712,0,0.0,"{""D0"": 0.0, ""D1"": 0.0}","{""D0"": 1.0, ""D1"": 1.0}",geographic,02a25d2b6b8a5f253694746bb66b60b038e2e952241694e2889ed83a6cbf933b,221.0206683810109,"{""D0"": 5011.27414950978, ""D1"": 4900.697218165755}",203.78945367302936,2389.061702746474,8904.996670920951,9911.971367675535,4713.20020017211,"{""D0"": 2987.9371341243145, ""D1"": 2231.5317031973022}",0.0,d56c34d0233d86ee7544c90d90b540bcea9c5be95f5a36c3fd07d668ed022694,"{""D0"": 2987.9371341243145, ""D1"": 2231.5317031973022}",50,10021,ae9d31e159ec7c8ed67f0e49a3b978b6cf6b46568e757844e0e13fcfc974f26e,2,1,17463.155806373295
0.0,carbon_blind,137.19663405557571,127.67638163772176,5d783e34ad3c5480ad2b6c37034c01e86820839077d2fb9f13bc275c80792095,cdfbcbbbe98d967826900499306d9d81cdeedaf7c69e95765cb102b3bfb19ce2,16,naive,0,True,300.88445150000007,16,da93277bf7b4652ee1101e6cab909d05233d1bd0cf5dcb25159f4e15ca0ae5ca,0,6968.8242146607445,137.19663405557571,127.67638163772176,50,10012,0.0,1.0,5,462.5277950244258,0,0.0,"{""D0"": 0.0, ""D1"": 0.0}","{""D0"": 1.0, ""D1"": 1.0}",geographic,e345e3988f1a9d5ccd4e040f6541ae3595248efe31e9f6c53597d929e1bd1eaa,225.1665489737769,"{""D0"": 4557.068637828373, ""D1"": 5546.333023431795}",208.57268034456675,2258.358030922423,8535.706879533669,10103.401661260166,6968.8242146607445,"{""D0"": 3537.327622763384, ""D1"": 3609.3356633697113}",0.0,5d783e34ad3c5480ad2b6c37034c01e86820839077d2fb9f13bc275c80792095,"{""D0"": 3537.327622763384, ""D1"": 3609.3356633697113}",50,10011,0a10c8f0cc215eb63fd5f792c454fbf2cc54b5713c1df504412d592b06666678,1,1,10800.0
0.0,carbon_blind,100.77892482635663,93.80224512550821,d56c34d0233d86ee7544c90d90b540bcea9c5be95f5a36c3fd07d668ed022694,6bf87cda509c6efec9ee84692588044578e9acc79864acd43ce2767db99437c6,10,naive,0,True,90.44452245800039,10,839d0cdd5e5e0a960a42c918e341f39ae6a86b57c4058ed509d62dc9a00b14cf,0,4713.20020017211,100.77892482635663,93.80224512550821,50,10022,0.0,1.0,7,553.8738260385712,0,0.0,"{""D0"": 0.0, ""D1"": 0.0}","{""D0"": 1.0, ""D1"": 1.0}",geographic,02a25d2b6b8a5f253694746bb66b60b038e2e952241694e2889ed83a6cbf933b,221.01827692229963,"{""D0"": 5011.27414950978, ""D1"": 4900.697218165755}",203.79184513174062,2389.0593112877627,8904.996670920951,9911.971367675535,4713.20020017211,"{""D0"": 2987.9371341243145, ""D1"": 2231.5317031973022}",0.0,d56c34d0233d86ee7544c90d90b540bcea9c5be95f5a36c3fd07d668ed022694,"{""D0"": 2987.9371341243145, ""D1"": 2231.5317031973022}",50,10021,ae9d31e159ec7c8ed67f0e49a3b978b6cf6b46568e757844e0e13fcfc974f26e,2,1,17463.155806373295
0.0,no_participation,137.19663405557571,127.67638163772176,5d783e34ad3c5480ad2b6c37034c01e86820839077d2fb9f13bc275c80792095,cdfbcbbbe98d967826900499306d9d81cdeedaf7c69e95765cb102b3bfb19ce2,16,aware,0,True,305.4395164999996,16,da93277bf7b4652ee1101e6cab909d05233d1bd0cf5dcb25159f4e15ca0ae5ca,0,6968.8242146607445,137.19663405557571,127.67638163772176,50,10012,0.0,1.0,5,462.5277950244258,0,0.0,"{""D0"": 0.0, ""D1"": 0.0}","{""D0"": 1.0, ""D1"": 1.0}",geographic,e345e3988f1a9d5ccd4e040f6541ae3595248efe31e9f6c53597d929e1bd1eaa,225.16894043248814,"{""D0"": 4557.068637828373, ""D1"": 5546.333023431795}",208.57028888585552,2258.3604223811344,8535.706879533669,10103.401661260166,6968.8242146607445,"{""D0"": 3537.327622763384, ""D1"": 3609.3356633697113}",0.0,5d783e34ad3c5480ad2b6c37034c01e86820839077d2fb9f13bc275c80792095,"{""D0"": 3537.327622763384, ""D1"": 3609.3356633697113}",50,10011,0a10c8f0cc215eb63fd5f792c454fbf2cc54b5713c1df504412d592b06666678,1,1,10800.0
0.0,no_participation,100.77892482635663,93.80224512550821,d56c34d0233d86ee7544c90d90b540bcea9c5be95f5a36c3fd07d668ed022694,6bf87cda509c6efec9ee84692588044578e9acc79864acd43ce2767db99437c6,10,aware,0,True,91.8109268750004,10,839d0cdd5e5e0a960a42c918e341f39ae6a86b57c4058ed509d62dc9a00b14cf,0,4713.20020017211,100.77892482635663,93.80224512550821,50,10022,0.0,1.0,7,553.8738260385712,0,0.0,"{""D0"": 0.0, ""D1"": 0.0}","{""D0"": 1.0, ""D1"": 1.0}",geographic,02a25d2b6b8a5f253694746bb66b60b038e2e952241694e2889ed83a6cbf933b,221.0206683810109,"{""D0"": 5011.27414950978, ""D1"": 4900.697218165755}",203.78945367302936,2389.061702746474,8904.996670920951,9911.971367675535,4713.20020017211,"{""D0"": 2987.9371341243145, ""D1"": 2231.5317031973022}",0.0,d56c34d0233d86ee7544c90d90b540bcea9c5be95f5a36c3fd07d668ed022694,"{""D0"": 2987.9371341243145, ""D1"": 2231.5317031973022}",50,10021,ae9d31e159ec7c8ed67f0e49a3b978b6cf6b46568e757844e0e13fcfc974f26e,2,1,17463.155806373295
0.0,full,128.3459881028635,119.65467104411182,d1995b9cec843cc5ee2f2e401a57e731222aabaec8b54eb1050a741ad60f990f,be66302be4fa2d1d5d4e3b90c36ff1f8fb4086124a571378a4c0384f034ed62c,14,aware,0,True,132.73186841700044,14,df8b4b75ffdafe4335af0dab2faacd12386ce4bea9b0959b9ec98c56b5c3a14b,0,6788.733047201798,128.3459881028635,119.65467104411182,50,10012,0.0,1.0,12,1008.1874806651892,0,0.0,"{""D0"": 0.0, ""D1"": 0.0}","{""D0"": 1.0, ""D1"": 1.0}",historical_mixed,574b5fff1cb4b68bbae29180f3967fbe91a3d66fb331e5dcc501ee07133f069c,288.9738041759303,"{""D0"": 4620.620913931633, ""D1"": 3896.0348360707976}",264.71121217487945,3288.611575718637,10128.41642968864,8516.655750002432,6788.733047201798,"{""D0"": 2433.662718878087, ""D1"": 2403.669293611198}",0.0,d1995b9cec843cc5ee2f2e401a57e731222aabaec8b54eb1050a741ad60f990f,"{""D0"": 2433.662718878087, ""D1"": 2403.669293611198}",50,10011,d59c154b4add2f06bc66205419555d9e3c685f75d38bc495e37f35674c790560,1,1,10800.0
0.0,full,91.69686934694599,84.40946114418585,aa1005f8ae980667f777b921513f4a67b341489e2442675ed603d7726e1befdb,3c929cb8d0a8c76893588a4db1c188680a317bee6adff8ba71fd7f491b3054a0,13,aware,0,True,28.702074666000044,13,88f9442ce54e1898e4f4a1df8d193c6aa86237d2a58373e9dfabfc5de8ade6e6,0,5753.8540024719305,91.69686934694599,84.40946114418585,50,10022,0.0,1.0,7,449.3188396672934,0,0.0,"{""D0"": 0.0, ""D1"": 0.0}","{""D0"": 1.0, ""D1"": 1.0}",historical_mixed,6520b48f16b6c83ce0cbc736bc179a7cbe52e5dc61c917387f8610faa68f563a,279.1648285252974,"{""D0"": 4647.531022376658, ""D1"": 3622.561497346368}",253.7647299466169,3311.082291117685,10552.839157770703,8270.092519723026,5753.8540024719305,"{""D0"": 2460.9705728064087, ""D1"": 1629.98142221539}",0.0,aa1005f8ae980667f777b921513f4a67b341489e2442675ed603d7726e1befdb,"{""D0"": 2460.9705728064087, ""D1"": 1629.98142221539}",50,10021,695e6f9121f74e29b47235b43a4e5dfd53017e4fb2dc82349e4e6cb20bf23616,2,1,17463.155806373295
