run_id,phase,category,instance,profile,algorithm,seed,status,failure_reason,eval_budget,actual_evals,best_cost,best_signature,feasible,violation_count,route_count
BALANCED_SELECTOR_PROBE__multidepot__e2-multidepot-10c-01__A4_BALANCED_SELECTOR_LOCAL_SEARCH__seed3,BALANCED_SELECTOR_PROBE,multidepot,e2-multidepot-10c-01,A4_BALANCED_SELECTOR_LOCAL_SEARCH,alns_e2_throughput,3,OK,,4000,4000,371.9993673208387,af2703e54ec342829fe77a826735a17f481316c42fe3c058bfcf010a64da731d,True,0,2
BALANCED_SELECTOR_PROBE__multidepot__e2-multidepot-10c-01__LNS_TRACE_REFERENCE__seed3,BALANCED_SELECTOR_PROBE,multidepot,e2-multidepot-10c-01,LNS_TRACE_REFERENCE,LNS,3,OK,,4000,4000,371.9993673208387,1e7f223e3c6ca3e4297c0ae06ab336fc14dfd3e823cf75d6613f8262a1352f52,True,0,2
BALANCED_SELECTOR_PROBE__multidepot__e2-multidepot-150c-01__A0_MAIN_LOCAL_SEARCH__seed1,BALANCED_SELECTOR_PROBE,multidepot,e2-multidepot-150c-01,A0_MAIN_LOCAL_SEARCH,alns_e2_throughput,1,OK,,4000,4000,3503.0090119384577,1e7621ad2accb67a8272edfc9f356566cd0687bf35b09f516c35712209d7648f,True,0,22
BALANCED_SELECTOR_PROBE__multidepot__e2-multidepot-150c-01__A4_BALANCED_SELECTOR_LOCAL_SEARCH__seed1,BALANCED_SELECTOR_PROBE,multidepot,e2-multidepot-150c-01,A4_BALANCED_SELECTOR_LOCAL_SEARCH,alns_e2_throughput,1,OK,,4000,4000,3469.760675120864,955eb309073315a099cc379e3f13b56470ec035ce543c2c4a88d5c58d71feac0,True,0,22
BALANCED_SELECTOR_PROBE__multidepot__e2-multidepot-150c-01__LNS_TRACE_REFERENCE__seed1,BALANCED_SELECTOR_PROBE,multidepot,e2-multidepot-150c-01,LNS_TRACE_REFERENCE,LNS,1,OK,,4000,4000,3685.5317025257395,071abea62d0c53c5261d014c5883fddd27ab9991f0bf48826444868e04ae7ae7,True,0,22
BALANCED_SELECTOR_PROBE__multidepot__e2-multidepot-150c-01__A0_MAIN_LOCAL_SEARCH__seed2,BALANCED_SELECTOR_PROBE,multidepot,e2-multidepot-150c-01,A0_MAIN_LOCAL_SEARCH,alns_e2_throughput,2,OK,,4000,4000,3318.4378948483127,40b40045bec9d8443fa317f4a946562c28fa8242dc990f1503a12bc76d1aef73,True,0,21
BALANCED_SELECTOR_PROBE__multidepot__e2-multidepot-150c-01__A4_BALANCED_SELECTOR_LOCAL_SEARCH__seed2,BALANCED_SELECTOR_PROBE,multidepot,e2-multidepot-150c-01,A4_BALANCED_SELECTOR_LOCAL_SEARCH,alns_e2_throughput,2,OK,,4000,4000,3467.0063304517944,12c92f435bf7b4370cbffb7b3377cf70db4f321b58ad7508cfb60bf5af98ce9c,True,0,22
BALANCED_SELECTOR_PROBE__multidepot__e2-multidepot-150c-01__LNS_TRACE_REFERENCE__seed2,BALANCED_SELECTOR_PROBE,multidepot,e2-multidepot-150c-01,LNS_TRACE_REFERENCE,LNS,2,OK,,4000,4000,3581.7494699726385,98d2fad329de44e6976443388a2da6497153c2f633704fbe1b0ff13faf3b6e3d,True,0,22
BALANCED_SELECTOR_PROBE__multidepot__e2-multidepot-150c-01__A0_MAIN_LOCAL_SEARCH__seed3,BALANCED_SELECTOR_PROBE,multidepot,e2-multidepot-150c-01,A0_MAIN_LOCAL_SEARCH,alns_e2_throughput,3,OK,,4000,4000,3437.4426574987574,41b24222b09898ff022478a1dd470085116696988052fa5fe9af7a003f62bc0f,True,0,21
BALANCED_SELECTOR_PROBE__multidepot__e2-multidepot-150c-01__A4_BALANCED_SELECTOR_LOCAL_SEARCH__seed3,BALANCED_SELECTOR_PROBE,multidepot,e2-multidepot-150c-01,A4_BALANCED_SELECTOR_LOCAL_SEARCH,alns_e2_throughput,3,OK,,4000,4000,3337.0520483605496,683cdc118ef1eaeb7223cfa8c4083134db7a1950c6f0059682a45f72fae0632b,True,0,20
BALANCED_SELECTOR_PROBE__multidepot__e2-multidepot-150c-01__LNS_TRACE_REFERENCE__seed3,BALANCED_SELECTOR_PROBE,multidepot,e2-multidepot-150c-01,LNS_TRACE_REFERENCE,LNS,3,OK,,4000,4000,3600.3620326505716,e913b583c601c40ce2b4ad1e4a3bec3f55c720ce80bd244785bce1357f848112,True,0,21
