scope,category,instance,seed,wins_vs_a0,losses_vs_a0,ties_vs_a0,a0_mean_gap_vs_lns,a4_mean_gap_vs_lns,a0_best_improved_rate,a4_best_improved_rate,a0_best_cost,a4_best_cost,lns_best_cost,a0_gap_vs_lns,a4_gap_vs_lns,outcome_vs_a0
ALL,ALL,ALL,ALL,23,18,7,-0.004385253026182812,0.00048527397136235187,0.011338200531347405,0.009241341798897525,,,,,,
run,multidepot,e2-multidepot-100c-01,1,,,,,,,,2465.4295205798335,2489.748811099388,2524.1709481815974,0.023271572650054074,0.013637007076326117,A4_WORSE
run,multidepot,e2-multidepot-100c-01,2,,,,,,,,2523.2246807715674,2494.2776959099506,2515.691011919639,-0.0029946717686046747,0.00851190225994755,A4_BETTER
run,multidepot,e2-multidepot-100c-01,3,,,,,,,,2576.7140100177817,2577.1342135486134,2551.814954251537,-0.009757390803263651,-0.009922059299359584,A4_WORSE
run,multidepot,e2-multidepot-10c-01,1,,,,,,,,371.9993673208387,387.9007343319535,373.5325844458525,0.00410464090378716,-0.038465586362208926,A4_WORSE
run,multidepot,e2-multidepot-10c-01,2,,,,,,,,387.9007343319535,387.9007343319535,371.9993673208387,-0.0427456829446711,-0.0427456829446711,TIE
run,multidepot,e2-multidepot-10c-01,3,,,,,,,,387.9007343319535,371.9993673208387,371.9993673208387,-0.0427456829446711,0.0,A4_BETTER
run,multidepot,e2-multidepot-150c-01,1,,,,,,,,3503.0090119384577,3469.760675120864,3685.5317025257395,0.04952411356608244,0.0585454270429976,A4_BETTER
run,multidepot,e2-multidepot-150c-01,2,,,,,,,,3318.4378948483127,3467.0063304517944,3581.7494699726385,0.07351479418976149,0.03203550122161969,A4_WORSE
run,multidepot,e2-multidepot-150c-01,3,,,,,,,,3437.4426574987574,3337.0520483605496,3600.3620326505716,0.045250831353721835,0.07313430757855599,A4_BETTER
run,multidepot,e2-multidepot-15c-01,1,,,,,,,,649.8601526479185,621.371321439464,621.371321439464,-0.04584832003906694,0.0,A4_BETTER
run,multidepot,e2-multidepot-15c-01,2,,,,,,,,649.8601526479185,649.8601526479185,622.2834651918408,-0.04431531448063821,-0.04431531448063821,TIE
run,multidepot,e2-multidepot-15c-01,3,,,,,,,,649.8601526479185,649.8601526479185,649.8601526479185,0.0,0.0,TIE
run,multidepot,e2-multidepot-20c-01,1,,,,,,,,708.8657846310797,707.0076075763136,700.4933751651098,-0.01195216080951012,-0.009299491818417797,A4_BETTER
run,multidepot,e2-multidepot-20c-01,2,,,,,,,,705.750850756463,706.0398944665973,705.750850756463,0.0,-0.000409554887286977,A4_WORSE
run,multidepot,e2-multidepot-20c-01,3,,,,,,,,705.750850756463,707.2366001999801,707.2366001999801,0.0021007813270650373,0.0,A4_WORSE
run,multidepot,e2-multidepot-50c-01,1,,,,,,,,1192.7479646155844,1231.3448018430404,1288.1390712046432,0.07405342227516698,0.044090169012954386,A4_WORSE
run,multidepot,e2-multidepot-50c-01,2,,,,,,,,1227.4789826420586,1195.1262109990166,1192.7479646155844,-0.029118488613533545,-0.001993921980155099,A4_BETTER
run,multidepot,e2-multidepot-50c-01,3,,,,,,,,1192.938027839612,1193.2792568119037,1219.7934346230413,0.02201635622979769,0.0217366129858958,A4_WORSE
run,multidepot,e2-multidepot-75c-01,1,,,,,,,,2048.558721815465,2012.078494053403,2031.5906719071968,-0.008352100717384774,0.009604384447914623,A4_BETTER
run,multidepot,e2-multidepot-75c-01,2,,,,,,,,2105.681103176144,2038.3584256008262,2019.5553444161362,-0.042645901731852356,-0.009310505521266632,A4_BETTER
run,multidepot,e2-multidepot-75c-01,3,,,,,,,,2085.5026899963696,2038.1444125766943,2062.1369385235994,-0.011330843765157049,0.011634787922514336,A4_BETTER
run,threeshift,e2-threeshift-100c-01,1,,,,,,,,2787.3343603866006,2678.214304447217,2702.079682384095,-0.03155150403532277,0.008832225819418263,A4_BETTER
run,threeshift,e2-threeshift-100c-01,2,,,,,,,,2831.401041853692,2802.2526204599462,2768.271074957225,-0.022804835649067382,-0.012275367759368036,A4_BETTER
run,threeshift,e2-threeshift-100c-01,3,,,,,,,,2664.9289531046097,2732.8883306385223,2763.9022002300962,0.03580924358222478,0.011221044503308393,A4_WORSE
run,threeshift,e2-threeshift-150c-01,1,,,,,,,,4157.1529100310045,3856.35495842752,3908.7527003956066,-0.06354973790238948,0.013405233327445656,A4_BETTER
run,threeshift,e2-threeshift-150c-01,2,,,,,,,,4211.625119011526,3874.350634587023,4002.850420277527,-0.05215650769171744,0.03210207032457513,A4_BETTER
run,threeshift,e2-threeshift-150c-01,3,,,,,,,,3660.334756006946,4076.5552908086793,4059.0358393620645,0.09822556368898189,-0.004316160817483247,A4_WORSE
run,threeshift,e2-threeshift-50c-01,1,,,,,,,,1359.0922800453534,1349.663986178752,1352.8899307919728,-0.004584518749245014,0.0023844841622350193,A4_BETTER
run,threeshift,e2-threeshift-50c-01,2,,,,,,,,1429.947926684468,1397.5128491445298,1334.4596675803778,-0.07155574756127936,-0.047249971727117944,A4_BETTER
run,threeshift,e2-threeshift-50c-01,3,,,,,,,,1345.795527227774,1393.808240762299,1352.8899307919728,0.005243888214945699,-0.030245113840394137,A4_WORSE
run,threeshift,e2-threeshift-75c-01,1,,,,,,,,2108.669689511453,1981.956755430539,1987.6252716039037,-0.06089901332854003,0.002851903854487859,A4_BETTER
run,threeshift,e2-threeshift-75c-01,2,,,,,,,,1906.9469657885513,1909.96806721901,1928.0455806021268,0.010943006236909837,0.009376081958327601,A4_WORSE
run,threeshift,e2-threeshift-75c-01,3,,,,,,,,1892.9914385612506,1912.6791256659765,1945.4259507481493,0.02695271550517461,0.016832727593450367,A4_WORSE
run,vanilla,e2-vanilla-100c-01,1,,,,,,,,2893.876794962954,2876.5663178262575,2897.948426411168,0.001405004799638936,0.007378360632659733,A4_BETTER
run,vanilla,e2-vanilla-100c-01,2,,,,,,,,2862.359094995675,2893.792754588819,2872.139491877431,0.003405265276778924,-0.00753907070761187,A4_WORSE
run,vanilla,e2-vanilla-100c-01,3,,,,,,,,2932.8242204250596,2845.027103677426,2898.297619306196,-0.011912717620466045,0.018379932852279623,A4_BETTER
run,vanilla,e2-vanilla-150c-01,1,,,,,,,,3461.458728224892,3639.796296772023,3757.471175284482,0.07877969869913329,0.03131757318232772,A4_WORSE
run,vanilla,e2-vanilla-150c-01,2,,,,,,,,3485.403086501675,3446.470061219239,3435.1201224295414,-0.014637905598646136,-0.0033040878878117072,A4_BETTER
run,vanilla,e2-vanilla-150c-01,3,,,,,,,,3462.9186728658005,3521.42239045114,3659.1719704558836,0.05363325341761201,0.03764501398593242,A4_WORSE
run,vanilla,e2-vanilla-15c-01,1,,,,,,,,642.185285005708,642.185285005708,647.3784356649101,0.008021815947372824,0.008021815947372824,TIE
run,vanilla,e2-vanilla-15c-01,2,,,,,,,,728.6687678158102,728.6687678158102,642.185285005708,-0.1346706080462953,-0.1346706080462953,TIE
run,vanilla,e2-vanilla-15c-01,3,,,,,,,,642.185285005708,642.185285005708,644.386285554954,0.0034156539308568636,0.0034156539308568636,TIE
run,vanilla,e2-vanilla-25c-01,1,,,,,,,,640.1754851140676,640.1754851140676,640.1754851140676,0.0,0.0,TIE
run,vanilla,e2-vanilla-25c-01,2,,,,,,,,651.626936659881,640.1754851140676,640.1754851140676,-0.017887988234621396,0.0,A4_BETTER
run,vanilla,e2-vanilla-25c-01,3,,,,,,,,651.626936659881,640.1754851140676,640.1754851140676,-0.017887988234621396,0.0,A4_BETTER
run,vanilla,e2-vanilla-50c-01,1,,,,,,,,1435.0045621197335,1439.606889264409,1391.5523237466293,-0.03122573088456559,-0.0345330640449056,A4_WORSE
