alns_charging_action_count,alns_cost,alns_evals,alns_status,battery_kwh,category,comparison_mode,gap_pct_alns_minus_lns,instance,lns_charging_action_count,lns_cost,lns_evals,lns_status,paired_winner,replicate,scenario,seed,size,winner_algorithm_for_composition,winner_all_cv,winner_all_ev,winner_charging_action_count,winner_cv_physical,winner_ev_physical,winner_ev_route_share,winner_max_trips_per_vehicle
1,3960.9142264324673,1795,OK,80.0,multidepot,wallclock,0.0,e2-multidepot-100c-01,1,3960.9142264324673,1678,OK,tie,1,wc80,1,100,alns_e2_throughput,False,False,1,7,1,0.06666666666666667,2
1,6633.4344963179965,419,OK,80.0,threeshift,wallclock,0.0,e2-threeshift-200c-01,1,6633.4344963179965,719,OK,tie,1,wc80,1,200,alns_e2_throughput,False,False,1,14,1,0.037037037037037035,2
2,408.6283967549251,16000,OK,80.0,vanilla,wallclock,-28.78478518398367,e2-vanilla-10c-01,1,573.7936728978657,16000,OK,alns,1,wc80,1,10,alns_e2_throughput,False,False,2,1,1,0.5,1
