comparison,left_wins,mean_E_total_delta_left_minus_right,mean_gap_pct_left_minus_right,pairs,right_wins,ties,wilcoxon_method,wilcoxon_p_less_left_minus_right
carbon_vs_ablation,0,0.0,0.0,3,0,3,all_zero,1.0
carbon_vs_lns,1,-36.40417052223132,-9.594928394661222,3,0,2,scipy_wilcoxon_less,0.5
carbon_vs_throughput,0,0.0,0.0,3,0,3,all_zero,1.0
