instance,source_scale,condition,ownership_map_sha256,source_num_cv,source_num_ev,common_cap_cv,common_cap_ev,witness_cv,witness_ev,trip_count,depot_counts_json,violation_count,status
L-main-threeshift-10c-01,10,geographic,6a763f89d6874d377eb90928a7823f670854bc600dfe7849598c1393c267594f,1,1,2,2,2,2,5,"{""D0"": {""cv"": 1, ""ev"": 1}, ""D1"": {""cv"": 1, ""ev"": 1}}",0,PASS
L-main-threeshift-10c-01,10,mixed,6839a2a879e610b4a958140bb8753bdee40d4c3c42463f25b07800e633b8d733,1,1,2,2,2,2,5,"{""D0"": {""cv"": 1, ""ev"": 1}, ""D1"": {""cv"": 1, ""ev"": 1}}",0,PASS
L-main-threeshift-15c-01,15,geographic,f631b4140833e25b0b9773523e222f8b56a4d3fae14a474bcf66b002c59a7872,2,0,2,2,2,2,7,"{""D0"": {""cv"": 1, ""ev"": 1}, ""D1"": {""cv"": 1, ""ev"": 1}}",0,PASS
L-main-threeshift-15c-01,15,mixed,5c07418916a5d06b5a19c0bf477a598895b4da207fb31eaacc2c2d26c5a4142e,2,0,2,2,2,2,8,"{""D0"": {""cv"": 1, ""ev"": 1}, ""D1"": {""cv"": 1, ""ev"": 1}}",0,PASS
L-main-threeshift-20c-01,20,geographic,682338b8a92b374546814fd252cab06a724d706b49a2d4e463dedcfe35e5ea59,2,1,3,2,3,2,9,"{""D0"": {""cv"": 2, ""ev"": 1}, ""D1"": {""cv"": 1, ""ev"": 1}}",0,PASS
L-main-threeshift-20c-01,20,mixed,f3c0716178ff26c267f521c2ebc2624539d1fd058454e7f218b1127bffc07002,2,1,3,2,3,2,9,"{""D0"": {""cv"": 2, ""ev"": 1}, ""D1"": {""cv"": 1, ""ev"": 1}}",0,PASS
L-main-threeshift-25c-01,25,geographic,0e591a32964515bf03077d198c09e47378502a971e083a5215b7cbcf84725033,2,1,4,2,4,2,10,"{""D0"": {""cv"": 2, ""ev"": 1}, ""D1"": {""cv"": 2, ""ev"": 1}}",0,PASS
L-main-threeshift-25c-01,25,mixed,fd6a1430820f0959fd1f7f5d3652187960fcda116aa3ab7d01fcd5be8701d280,2,1,4,2,4,2,10,"{""D0"": {""cv"": 2, ""ev"": 1}, ""D1"": {""cv"": 2, ""ev"": 1}}",0,PASS
L-main-threeshift-50c-01,50,geographic,e790d640c56a748775f5991974780b786885d89638b7e244f40d0825b022f883,4,3,5,5,4,4,18,"{""D0"": {""cv"": 2, ""ev"": 2}, ""D1"": {""cv"": 2, ""ev"": 2}}",0,PASS
L-main-threeshift-50c-01,50,mixed,d15449a19f1a46ac21c97ce70fd04ee8d7eef61a1a991d4e34ee722829eb7b02,4,3,5,5,5,5,18,"{""D0"": {""cv"": 3, ""ev"": 3}, ""D1"": {""cv"": 2, ""ev"": 2}}",0,PASS
L-main-threeshift-75c-01,75,geographic,78e60955353d9bbbf746fd3844a4b8efe8ff566b1748fdd74fdae0e6f96d042a,6,5,8,9,8,7,25,"{""D0"": {""cv"": 4, ""ev"": 4}, ""D1"": {""cv"": 4, ""ev"": 3}}",0,PASS
L-main-threeshift-75c-01,75,mixed,85fc0ecea0cf52193c70864683578c54a2f2b66bc39f0bf3dc9fed924c899509,6,5,8,9,8,9,24,"{""D0"": {""cv"": 4, ""ev"": 5}, ""D1"": {""cv"": 4, ""ev"": 4}}",0,PASS
L-main-threeshift-100c-01,100,geographic,224661a81d2e79b34a649b124596af0764894bea836f05327e1ce99dd66d2202,7,7,10,10,10,9,31,"{""D0"": {""cv"": 5, ""ev"": 4}, ""D1"": {""cv"": 5, ""ev"": 5}}",0,PASS
L-main-threeshift-100c-01,100,mixed,c2028d75bb370121c2616e70ead87c1b7765b278bc6b5b723b07196682177edc,7,7,10,10,9,10,31,"{""D0"": {""cv"": 4, ""ev"": 5}, ""D1"": {""cv"": 5, ""ev"": 5}}",0,PASS
L-main-threeshift-150c-01,150,geographic,e4ce0243614129af51b1d94139fe673f33aab3aa2a8f02d30e0b35f16dd0b2a5,10,10,14,16,14,14,45,"{""D0"": {""cv"": 8, ""ev"": 9}, ""D1"": {""cv"": 6, ""ev"": 5}}",0,PASS
L-main-threeshift-150c-01,150,mixed,55dccbeaddf6f18ff4d50d774e7839393b7c22361155e0769905e441abfb7543,10,10,14,16,12,15,46,"{""D0"": {""cv"": 6, ""ev"": 8}, ""D1"": {""cv"": 6, ""ev"": 7}}",0,PASS
L-main-threeshift-200c-01,200,geographic,724f8b09ee458f161d7c5860ada72c7096c46ecdb9c1560d418494709c201c74,14,14,18,22,17,20,59,"{""D0"": {""cv"": 10, ""ev"": 11}, ""D1"": {""cv"": 7, ""ev"": 9}}",0,PASS
L-main-threeshift-200c-01,200,mixed,c41bf36015fb401da6ea90e8ea808b2b2fb3d155e6024f8f699928bc562e2ba7,14,14,18,22,16,22,60,"{""D0"": {""cv"": 8, ""ev"": 12}, ""D1"": {""cv"": 8, ""ev"": 10}}",0,PASS
