abs_delta,charging_actions,cost_carbon,cost_elec,cost_fix,cost_fuel,cost_km,cost_occ,cost_transship,cv_routes,ev_routes,expected_total_cost,feasible,recomputed_total_cost,route_count,seed,solution_path,violation_count
0.0,20,66.87074680006636,181.40301707580966,2640.0,711.5688761662385,1452.869518569961,2.3388619171010916,0.0,14,19,5055.051020529177,True,5055.051020529177,33,1,/Volumes/移动硬盘（512G）/ReSETP/solver/reports/alns_crush_v2/task3/solutions/100-01-24h_winner_kernel_only_ALNS-Wouda_seed1.json,0
0.0,22,55.019106081777416,212.1801983605649,2560.0,574.6457916335678,1376.731188347333,0.47715957969112566,0.0,11,21,4779.053444002934,True,4779.053444002934,32,2,/Volumes/移动硬盘（512G）/ReSETP/solver/reports/alns_crush_v2/task3/solutions/100-01-24h_winner_kernel_only_ALNS-Wouda_seed2.json,0
0.0,23,56.11855084152036,212.19721662830588,2560.0,588.4421257615974,1366.8058136484044,7.472952260323681,0.0,11,21,4791.036659140152,True,4791.036659140152,32,3,/Volumes/移动硬盘（512G）/ReSETP/solver/reports/alns_crush_v2/task3/solutions/100-01-24h_winner_kernel_only_ALNS-Wouda_seed3.json,0
0.0,20,59.43499918852639,205.53604469243206,2560.0,624.4571284160281,1422.9175212609587,0.0,0.0,12,20,4872.345693557946,True,4872.345693557946,32,4,/Volumes/移动硬盘（512G）/ReSETP/solver/reports/alns_crush_v2/task3/solutions/100-01-24h_winner_kernel_only_ALNS-Wouda_seed4.json,0
0.0,16,73.92612600386025,118.39403428759489,2560.0,799.9911517305559,1384.6040755095507,1.6142882712292277,0.0,17,15,4938.529675802791,True,4938.529675802791,32,5,/Volumes/移动硬盘（512G）/ReSETP/solver/reports/alns_crush_v2/task3/solutions/100-01-24h_winner_kernel_only_ALNS-Wouda_seed5.json,0
0.0,19,64.36521425404165,168.49471408142352,2560.0,686.6297262710565,1372.2350471553727,5.5743278855007725,0.0,14,18,4857.299029647395,True,4857.299029647395,32,6,/Volumes/移动硬盘（512G）/ReSETP/solver/reports/alns_crush_v2/task3/solutions/100-01-24h_winner_kernel_only_ALNS-Wouda_seed6.json,0
0.0,21,59.010825809522004,200.24765331132986,2560.0,620.7602863968335,1399.4447408776832,0.47715957969112566,0.0,12,20,4839.940665975059,True,4839.940665975059,32,7,/Volumes/移动硬盘（512G）/ReSETP/solver/reports/alns_crush_v2/task3/solutions/100-01-24h_winner_kernel_only_ALNS-Wouda_seed7.json,0
0.0,22,59.359281026505776,202.6373978437285,2560.0,625.94600179607,1383.619654974502,7.661722811763753,0.0,12,20,4839.22405845257,True,4839.22405845257,32,8,/Volumes/移动硬盘（512G）/ReSETP/solver/reports/alns_crush_v2/task3/solutions/100-01-24h_winner_kernel_only_ALNS-Wouda_seed8.json,0
0.0,20,59.153152074947435,185.9819093727694,2560.0,624.7227073552724,1365.0515651108649,0.0,0.0,12,20,4794.909333913854,True,4794.909333913854,32,9,/Volumes/移动硬盘（512G）/ReSETP/solver/reports/alns_crush_v2/task3/solutions/100-01-24h_winner_kernel_only_ALNS-Wouda_seed9.json,0
0.0,12,70.87641863573161,116.58249671731754,2720.0,765.7725354501388,1342.6969300501744,0.0,0.0,22,12,5015.928380853362,True,5015.928380853362,34,10,/Volumes/移动硬盘（512G）/ReSETP/solver/reports/alns_crush_v2/task3/solutions/100-01-24h_winner_kernel_only_ALNS-Wouda_seed10.json,0
