education_round,candidate_count,accepted,accepted_action_id,accepted_channel,before_cost_cny,after_cost_cny,before_emissions_kg,after_emissions_kg,minimum_participation_margin_before,minimum_participation_margin_after
1,3958,True,2opt:CV_D_chongqing_1#T2@1:3,route_order,2483.638626607911,2445.4206888683043,232.69377213970412,225.2015150024414,0.0,0.0
2,3958,True,swap:CV_D_chengdu_1#T2:C019<->CV_D_chengdu_2#T1:C002,relocate,2445.4206888683043,2420.7453895784606,225.2015150024414,220.36393240956235,0.0,24.693184431230293
3,3958,True,2opt:CV_D_chengdu_1#T2@3:5,route_order,2420.7453895784606,2397.644208656825,220.36393240956235,215.91276919792514,24.693184431230293,38.19023793797351
4,3958,True,swap:CV_D_chongqing_3#T1:C035<->EV_D_chongqing_1#T1:C044,mixed_fleet,2397.644208656825,2379.8171576398636,215.91276919792514,211.699944482491,38.19023793797351,47.81082185398918
5,3958,True,swap:CV_D_chengdu_1#T1:C017<->EV_D_chengdu_1#T1:C013,mixed_fleet,2379.8171576398636,2365.9417861506467,211.699944482491,209.97461084503715,47.81082185398918,56.00915671856092
6,3958,True,relocate:CV_D_chongqing_3#T1:C026->CV_D_chongqing_1#T2@1,relocate,2365.9417861506467,2353.352630482465,209.97461084503715,207.5004126384866,56.00915671856092,61.69137454520296
7,3965,True,swap:CV_D_chongqing_1#T1:C022<->CV_D_chongqing_3#T1:C028,relocate,2353.352630482465,2341.3297001091832,207.5004126384866,205.31308902322203,61.69137454520296,61.69137454520296
8,3965,True,2opt:CV_D_chongqing_3#T1@0:3,route_order,2341.3297001091832,2329.314097163517,205.31308902322203,202.90520271416338,61.69137454520296,61.69137454520296
9,3965,True,2opt:EV_D_chongqing_1#T1@3:5,route_order,2329.314097163517,2322.148651579102,202.90520271416338,202.1308466641275,61.69137454520296,61.69137454520296
10,3965,True,2opt:EV_D_chengdu_1#T1@0:2,route_order,2322.148651579102,2315.782432572176,202.1308466641275,202.06753091690146,61.69137454520296,68.05759355212922
11,3965,True,2opt:EV_D_chengdu_1#T1@4:6,route_order,2315.782432572176,2310.531305034368,202.06753091690146,202.0129590087762,68.05759355212922,73.30872108993663
12,3965,True,2opt:CV_D_chengdu_2#T1@0:2,route_order,2310.531305034368,2305.7854697573116,202.0129590087762,201.08904601166714,73.30872108993663,78.05797218765656
13,3965,True,swap:CV_D_chongqing_1#T1:C042<->CV_D_chongqing_3#T1:C044,relocate,2305.7854697573116,2301.895857565205,201.08904601166714,200.33035570360116,78.05797218765656,78.05797218765656
14,3965,True,2opt:CV_D_chengdu_1#T2@0:2,route_order,2301.895857565205,2300.7409961118137,200.33035570360116,200.28388009830888,78.05797218765656,79.21300546711063
15,3965,True,swap:CV_D_chengdu_1#T2:C011<->EV_D_chengdu_1#T1:C012,mixed_fleet,2300.7409961118137,2293.958582000079,200.28388009830888,199.01257413357965,79.21300546711063,86.00010858894711
16,3965,True,2opt:EV_D_chengdu_1#T1@2:4,route_order,2293.958582000079,2292.9964293139715,199.01257413357965,199.00116534166463,86.00010858894711,86.96226127505452
17,3965,True,2opt:CV_D_chengdu_1#T2@1:3,route_order,2292.9964293139715,2292.371707076433,199.00116534166463,198.88354043409566,86.96226127505452,87.58741838642982
18,3965,True,swap:CV_D_chongqing_1#T1:C028<->CV_D_chongqing_2#T1:C045,relocate,2292.371707076433,2292.1622243164356,198.88354043409566,198.85251280535755,87.58741838642982,87.58741838642982
19,3965,False,,,,,,,,
