status,channel,error_type,error,count
REJECTED_CHARGING,depot_collaboration,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_chongqing_1#T1 misses C011's time window,28
REJECTED_CHARGING,depot_collaboration,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_chongqing_1#T1 misses C012's time window,23
REJECTED_CHARGING,depot_collaboration,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_chongqing_1#T1 misses C013's time window,33
REJECTED_CHARGING,depot_collaboration,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_chongqing_1#T1 misses C014's time window,19
REJECTED_CHARGING,depot_collaboration,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_chongqing_1#T1 misses C015's time window,38
REJECTED_CHARGING,depot_collaboration,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_chongqing_1#T1 misses C016's time window,19
REJECTED_CHARGING,depot_collaboration,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_chongqing_1#T1 misses C017's time window,24
REJECTED_CHARGING,depot_collaboration,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_chongqing_1#T1 misses C018's time window,38
REJECTED_CHARGING,depot_collaboration,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_chongqing_1#T1 misses C019's time window,28
REJECTED_CHARGING,depot_collaboration,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_chongqing_1#T1 misses C020's time window,38
REJECTED_CHARGING,depot_collaboration,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_chongqing_1#T1 misses C021's time window,38
REJECTED_CHARGING,depot_collaboration,ValueError,No feasible charging insert between C035 and C004,15
REJECTED_CHARGING,depot_collaboration,ValueError,No feasible charging insert between C035 and C008,15
REJECTED_CHARGING,depot_collaboration,ValueError,No feasible charging insert between C038 and C004,19
REJECTED_CHARGING,depot_collaboration,ValueError,No feasible charging insert between C038 and C008,19
REJECTED_CHARGING,depot_collaboration,ValueError,No feasible charging insert between C038 and C011,6
REJECTED_CHARGING,depot_collaboration,ValueError,No feasible charging insert between C038 and C019,10
REJECTED_CHARGING,mixed_fleet,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_chengdu_1#T1 misses C001's time window,29
REJECTED_CHARGING,mixed_fleet,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_chengdu_1#T1 misses C002's time window,4
REJECTED_CHARGING,mixed_fleet,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_chengdu_1#T1 misses C003's time window,486
REJECTED_CHARGING,mixed_fleet,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_chengdu_1#T1 misses C005's time window,435
REJECTED_CHARGING,mixed_fleet,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_chengdu_1#T1 misses C006's time window,67
REJECTED_CHARGING,mixed_fleet,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_chengdu_1#T1 misses C007's time window,19
REJECTED_CHARGING,mixed_fleet,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_chengdu_1#T1 misses C009's time window,406
REJECTED_CHARGING,mixed_fleet,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_chengdu_1#T1 misses C010's time window,29
REJECTED_CHARGING,mixed_fleet,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_chengdu_1#T1 misses C012's time window,94
REJECTED_CHARGING,mixed_fleet,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_chengdu_1#T1 misses C013's time window,200
REJECTED_CHARGING,mixed_fleet,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_chengdu_1#T1 misses C014's time window,392
REJECTED_CHARGING,mixed_fleet,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_chengdu_1#T1 misses C015's time window,29
REJECTED_CHARGING,mixed_fleet,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_chengdu_1#T1 misses C016's time window,671
REJECTED_CHARGING,mixed_fleet,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_chengdu_1#T1 misses C017's time window,277
REJECTED_CHARGING,mixed_fleet,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_chengdu_1#T1 misses C020's time window,19
REJECTED_CHARGING,mixed_fleet,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_chengdu_1#T1 misses C021's time window,19
REJECTED_CHARGING,mixed_fleet,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_chongqing_1#T1 misses C022's time window,19
REJECTED_CHARGING,mixed_fleet,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_chongqing_1#T1 misses C023's time window,95
REJECTED_CHARGING,mixed_fleet,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_chongqing_1#T1 misses C024's time window,4
REJECTED_CHARGING,mixed_fleet,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_chongqing_1#T1 misses C025's time window,57
REJECTED_CHARGING,mixed_fleet,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_chongqing_1#T1 misses C027's time window,57
REJECTED_CHARGING,mixed_fleet,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_chongqing_1#T1 misses C028's time window,9
REJECTED_CHARGING,mixed_fleet,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_chongqing_1#T1 misses C034's time window,740
REJECTED_CHARGING,mixed_fleet,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_chongqing_1#T1 misses C035's time window,379
REJECTED_CHARGING,mixed_fleet,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_chongqing_1#T1 misses C036's time window,95
REJECTED_CHARGING,mixed_fleet,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_chongqing_1#T1 misses C038's time window,670
REJECTED_CHARGING,mixed_fleet,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_chongqing_1#T1 misses C042's time window,75
REJECTED_CHARGING,mixed_fleet,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_chongqing_1#T1 misses C043's time window,760
REJECTED_CHARGING,mixed_fleet,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_chongqing_1#T1 misses C044's time window,151
REJECTED_CHARGING,mixed_fleet,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_chongqing_1#T1 misses C048's time window,418
REJECTED_CHARGING,mixed_fleet,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_chongqing_1#T1 misses C049's time window,928
REJECTED_CHARGING,mixed_fleet,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_chongqing_1#T1 misses C050's time window,836
REJECTED_CHARGING,multi_trip,ValueError,no feasible depot charging window,518
REJECTED_CHARGING,route_order,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_chengdu_1#T1 misses C003's time window,87
REJECTED_CHARGING,route_order,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_chengdu_1#T1 misses C005's time window,66
REJECTED_CHARGING,route_order,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_chengdu_1#T1 misses C009's time window,40
REJECTED_CHARGING,route_order,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_chengdu_1#T1 misses C013's time window,20
