instance_id,region,customer_count,replicate,route_index,source_vehicle_id,route_energy_kwh,route_soc_pct,route_exceeds_85_pct,selected_as_ev_by_default_completion,just_enough_public_stops,just_enough_action_count,just_enough_route,max_coverage_public_stops,max_coverage_action_count,max_coverage_route,max_coverage_reduces_public_stop
cn-cy-100c-01-V2-LOCATIONS,cy,100,1,0,FLEET-CV-0001,21.39048976574759,27.67920518342079,False,False,0,1,D_chengdu|C030|C023|C003|C038|D_chengdu,0,1,D_chengdu|C030|C023|C003|C038|D_chengdu,False
cn-cy-100c-01-V2-LOCATIONS,cy,100,1,1,FLEET-CV-0002,19.405047956397603,25.110051703413045,False,False,0,1,D_chengdu|C029|C006|C041|C033|C031|D_chengdu,0,1,D_chengdu|C029|C006|C041|C033|C031|D_chengdu,False
cn-cy-100c-01-V2-LOCATIONS,cy,100,1,2,FLEET-CV-0003,20.551893492289917,26.594065078014903,False,False,0,1,D_chengdu|C037|C017|C021|C019|C004|C035|D_chengdu,0,1,D_chengdu|C037|C017|C021|C019|C004|C035|D_chengdu,False
cn-cy-100c-01-V2-LOCATIONS,cy,100,1,3,FLEET-CV-0004,24.53432905466891,31.747320205316914,False,True,0,1,D_chengdu|C015|C005|C012|C009|C008|C036|D_chengdu,0,1,D_chengdu|C015|C005|C012|C009|C008|C036|D_chengdu,False
cn-cy-100c-01-V2-LOCATIONS,cy,100,1,4,FLEET-CV-0005,24.32017295216999,31.470203095458064,False,True,0,1,D_chengdu|C040|C022|C024|C020|C028|C034|C027|C026|D_chengdu,0,1,D_chengdu|C040|C022|C024|C020|C028|C034|C027|C026|D_chengdu,False
cn-cy-100c-01-V2-LOCATIONS,cy,100,1,5,FLEET-CV-0006,22.55797374874674,29.189924623119488,False,False,0,1,D_chengdu|C032|C002|C010|C025|C014|D_chengdu,0,1,D_chengdu|C032|C002|C010|C025|C014|D_chengdu,False
cn-cy-100c-01-V2-LOCATIONS,cy,100,1,6,FLEET-CV-0007,22.321811960457286,28.884332246968537,False,False,0,1,D_chengdu|C001|C018|C042|C011|C007|C016|D_chengdu,0,1,D_chengdu|C001|C018|C042|C011|C007|C016|D_chengdu,False
cn-cy-100c-01-V2-LOCATIONS,cy,100,1,7,FLEET-CV-0008,17.202009837913366,22.259329500405492,False,False,0,1,D_chengdu|C013|C039|D_chengdu,0,1,D_chengdu|C013|C039|D_chengdu,False
cn-cy-100c-01-V2-LOCATIONS,cy,100,1,8,FLEET-CV-0009,49.090967685812515,63.523508910212875,False,True,0,1,D_chongqing|C061|C048|C080|C067|C064|C099|C095|D_chongqing,0,1,D_chongqing|C061|C048|C080|C067|C064|C099|C095|D_chongqing,False
cn-cy-100c-01-V2-LOCATIONS,cy,100,1,9,FLEET-CV-0010,39.668474536369985,51.33084179136903,False,True,0,1,D_chongqing|C047|C091|C078|C068|C094|C071|C049|C060|C100|D_chongqing,0,1,D_chongqing|C047|C091|C078|C068|C094|C071|C049|C060|C100|D_chongqing,False
cn-cy-100c-01-V2-LOCATIONS,cy,100,1,10,FLEET-CV-0011,37.45810035846393,48.4706267578467,False,False,0,1,D_chongqing|C051|C072|C090|C058|C097|D_chongqing,0,1,D_chongqing|C051|C072|C090|C058|C097|D_chongqing,False
