task_id,instance_id,seed,candidate_signature,action_type,source_route,target_route,source_pos,target_pos,aux,proxy_score,proxy_feasible,exact_status,exact_objective,exact_improvement,exact_violation_count,exact_completion_seconds,error
cn-cy-100c-01-V2-LOCATIONS__seed1,cn-cy-100c-01-V2-LOCATIONS,1,eb9b84fd1c0ef2715c128d3104f27baaeb49d62d27f1df6787d237a111779edd,relocate,4,16,3,2,0,6322105,False,NOT_RUN_ENGINEERING_ONLY,,,,,
cn-cy-100c-01-V2-LOCATIONS__seed1,cn-cy-100c-01-V2-LOCATIONS,1,4b2f1c508567bba548c8ee5658dfff121db8932a3f30caa1109a55b5f7f48273,relocate,6,2,1,5,0,5285588,False,NOT_RUN_ENGINEERING_ONLY,,,,,
cn-cy-100c-01-V2-LOCATIONS__seed1,cn-cy-100c-01-V2-LOCATIONS,1,9e39f18766c274e6290b1f5930bfeb21de6804880adcf528c7e8d744c3a8ab42,relocate,8,12,0,5,0,5627103,False,NOT_RUN_ENGINEERING_ONLY,,,,,
cn-cy-100c-01-V2-LOCATIONS__seed1,cn-cy-100c-01-V2-LOCATIONS,1,6175c81a535d3fcc3f4d51870a84a34702e60fe910c466c63ecd41a3bd50aeef,relocate,13,17,0,5,0,5270047,False,NOT_RUN_ENGINEERING_ONLY,,,,,
cn-cy-100c-01-V2-LOCATIONS__seed1,cn-cy-100c-01-V2-LOCATIONS,1,92ae035b68d3a0eb040d1c00f11b1473a1e724fd98ca194744517c54e6df42e2,relocate,12,9,2,5,0,5359618,False,NOT_RUN_ENGINEERING_ONLY,,,,,
cn-cy-100c-01-V2-LOCATIONS__seed1,cn-cy-100c-01-V2-LOCATIONS,1,c6b43b31d339d66746e510dd541f327076a9235e85062d1f5fa818975435b635,relocate,10,17,1,0,0,5271339,False,NOT_RUN_ENGINEERING_ONLY,,,,,
cn-cy-100c-01-V2-LOCATIONS__seed1,cn-cy-100c-01-V2-LOCATIONS,1,c01ad24a4df7eb466efda02d1514628230701efb91839b7ce52a6527142495a0,relocate,3,17,0,5,0,6007990,False,NOT_RUN_ENGINEERING_ONLY,,,,,
cn-cy-100c-01-V2-LOCATIONS__seed1,cn-cy-100c-01-V2-LOCATIONS,1,7989f28b3f4c1498b34d9a8f3c33f779d00f55e12fbc46bb6fea04ef08afa08c,relocate,2,14,0,4,0,6741611,False,NOT_RUN_ENGINEERING_ONLY,,,,,
cn-cy-100c-01-V2-LOCATIONS__seed1,cn-cy-100c-01-V2-LOCATIONS,1,195343ffd4530856ed22689217618bc9fd3800c87565d2b9b87a3c1816c6df63,relocate,10,8,5,2,0,5612149,False,NOT_RUN_ENGINEERING_ONLY,,,,,
cn-cy-100c-01-V2-LOCATIONS__seed1,cn-cy-100c-01-V2-LOCATIONS,1,6b2879d51ac78bed3e7756e82231edc3d3c9749c0d1814ce5590c09f084ce4da,relocate,1,8,0,2,0,6712876,False,NOT_RUN_ENGINEERING_ONLY,,,,,
