move_index,action_id,channel,feasible,violation_count,violation_magnitudes,total_cost_cny,penalized_cost_cny,improves_current_penalized
3,relocate:CV_D_beijing_1#T1:C014->CV_D_beijing_2#T1@0,relocate,False,1,71.0,2061.861760306677,9161.861760306678,False
16,relocate:CV_D_beijing_1#T1:C014->CV_D_beijing_3#T1@0,relocate,False,1,70.0,2042.4146920110784,9042.414692011078,False
17,relocate:CV_D_beijing_1#T1:C014->CV_D_beijing_3#T1@1,relocate,False,1,70.0,2044.469305398078,9044.469305398077,False
23,relocate:CV_D_beijing_1#T1:C014->CV_D_beijing_4#T1@0,relocate,False,1,1.0,2045.5588029404125,2145.5588029404125,False
31,relocate:CV_D_beijing_1#T1:C014->EV_D_beijing_1#T1@0,mixed_fleet,False,1,106.0,2051.153817128498,12651.153817128497,False
42,relocate:CV_D_beijing_1#T1:C008->CV_D_beijing_2#T1@0,relocate,False,1,71.0,2068.4408012645963,9168.440801264596,False
43,relocate:CV_D_beijing_1#T1:C008->CV_D_beijing_2#T1@1,relocate,False,1,71.0,2061.087654171286,9161.087654171286,False
44,relocate:CV_D_beijing_1#T1:C008->CV_D_beijing_2#T1@2,relocate,False,1,71.0,2062.236413509692,9162.236413509692,False
55,relocate:CV_D_beijing_1#T1:C008->CV_D_beijing_3#T1@0,relocate,False,1,70.0,2083.8683575364894,9083.868357536488,False
56,relocate:CV_D_beijing_1#T1:C008->CV_D_beijing_3#T1@1,relocate,False,1,70.0,2064.012660575679,9064.01266057568,False
62,relocate:CV_D_beijing_1#T1:C008->CV_D_beijing_4#T1@0,relocate,False,1,1.0,2083.8061519325993,2183.8061519325993,False
70,relocate:CV_D_beijing_1#T1:C008->EV_D_beijing_1#T1@0,mixed_fleet,False,1,106.0,2057.4367921636845,12657.436792163684,False
81,relocate:CV_D_beijing_1#T1:C035->CV_D_beijing_2#T1@0,relocate,False,1,71.0,2080.3819206648227,9180.381920664822,False
94,relocate:CV_D_beijing_1#T1:C035->CV_D_beijing_3#T1@0,relocate,False,1,70.0,2092.327183881511,9092.32718388151,False
95,relocate:CV_D_beijing_1#T1:C035->CV_D_beijing_3#T1@1,relocate,False,1,70.0,2064.661842421993,9064.661842421992,False
101,relocate:CV_D_beijing_1#T1:C035->CV_D_beijing_4#T1@0,relocate,False,1,1.0,2092.2440820456836,2192.2440820456836,False
109,relocate:CV_D_beijing_1#T1:C035->EV_D_beijing_1#T1@0,mixed_fleet,False,1,106.0,2060.245389329829,12660.24538932983,False
133,relocate:CV_D_beijing_1#T1:C017->CV_D_beijing_3#T1@0,relocate,False,1,209.0,2088.9691276121857,22988.969127612185,False
134,relocate:CV_D_beijing_1#T1:C017->CV_D_beijing_3#T1@1,relocate,False,1,209.0,2065.2561930132533,22965.256193013254,False
140,relocate:CV_D_beijing_1#T1:C017->CV_D_beijing_4#T1@0,relocate,False,1,140.0,2088.8935909919046,16088.893590991906,False
148,relocate:CV_D_beijing_1#T1:C017->EV_D_beijing_1#T1@0,mixed_fleet,False,1,245.0,2057.8441689921,26557.844168992102,False
162,relocate:CV_D_beijing_1#T1:C025->CV_D_beijing_2#T1@3,relocate,False,1,140.0,2055.163052460755,16055.163052460755,False
163,relocate:CV_D_beijing_1#T1:C025->CV_D_beijing_2#T1@4,relocate,False,1,140.0,2065.1619072154276,16065.161907215428,False
173,relocate:CV_D_beijing_1#T1:C025->CV_D_beijing_3#T1@1,relocate,False,1,139.0,2055.9715822906137,15955.971582290615,False
179,relocate:CV_D_beijing_1#T1:C025->CV_D_beijing_4#T1@0,relocate,False,1,70.0,2076.0728891097206,9076.07288910972,False
187,relocate:CV_D_beijing_1#T1:C025->EV_D_beijing_1#T1@0,mixed_fleet,False,1,175.0,2058.3072439662005,19558.3072439662,False
218,relocate:CV_D_beijing_1#T1:C015->CV_D_beijing_4#T1@0,relocate,False,1,140.0,2076.780874838564,16076.780874838565,False
226,relocate:CV_D_beijing_1#T1:C015->EV_D_beijing_1#T1@0,mixed_fleet,False,1,245.0,2058.51282884093,26558.51282884093,False
257,relocate:CV_D_beijing_1#T1:C034->CV_D_beijing_4#T1@0,relocate,False,1,279.0,2071.4189384848232,29971.41893848482,False
265,relocate:CV_D_beijing_1#T1:C034->EV_D_beijing_1#T1@0,mixed_fleet,False,1,384.0,2060.5894512407353,40460.58945124073,False
