check,passed,formal_solomon_search_evaluations,synthetic_probe_iterations
exact_version,True,0,40
exact_python,True,0,40
official_wheel_hash,True,0,40
single_thread_environment,True,0,40
old_model_api_detected,True,0,40
synthetic_solution_feasible,True,0,40
synthetic_route_complete,True,0,40
synthetic_objective_exact,True,0,40
statistics_lengths_match,True,0,40
runtime_deltas_nonnegative,True,0,40
runtime_sum_matches_result,True,0,40
time_to_best_in_runtime,True,0,40
bundle_adapter_solution_feasible,True,0,40
bundle_adapter_route_complete,True,0,40
bundle_adapter_objective_exact,True,0,40
bundle_adapter_time_to_best_valid,True,0,40
