budget,profile,pass_gate,mean_gap_vs_lns,a7_mean_gap_vs_lns,wins_vs_a7,losses_vs_a7,wins_vs_lns,losses_vs_lns,route_count_delta_vs_lns,a7_route_count_delta_vs_lns,cost_fix_delta_vs_lns,a7_cost_fix_delta_vs_lns,gap_gate,wins_gate,route_count_gate,cost_fix_gate,lns_gate,clean_gate
4000,A11_GLOBAL_ORDER_REPACK,True,0.006961686839843399,0.0038323386258464383,17,14,25,16,0.041666666666666664,0.10416666666666667,3.3333333333333335,8.333333333333334,True,True,True,True,True,True
4000,A12_FLEET_CHARGE_COREPAIR,False,0.0038323386258464383,0.0038323386258464383,0,0,24,20,0.10416666666666667,0.10416666666666667,8.333333333333334,8.333333333333334,False,True,False,False,True,True
8000,A11_GLOBAL_ORDER_REPACK,False,-0.0009648932794966394,-0.0010006201218705217,2,4,20,20,0.125,0.125,10.0,10.0,True,False,False,False,True,True
