task_id,instance_id,region,tier,seed,HGS-F_cost,HGS-F_cpu_seconds,HGS-E_cost,HGS-E_cpu_seconds,HGS-M_cost,HGS-M_cpu_seconds,MV-HGS-SP_cost,MV-HGS-SP_cpu_seconds,HGS-F_emissions_kg,HGS-E_emissions_kg,HGS-M_emissions_kg,MV-HGS-SP_emissions_kg,complete_candidate_attempts,wallclock_safety_triggered,all_charging_on_registered_date,all_depot_charging_finishes_before_departure,all_depot_fleet_caps_respected,mip_status,mip_status_class,mip_message,mip_incumbent_available,mip_objective,mip_dual_bound,mip_gap,mip_node_count,mip_time_limit_seconds,mip_optimality_proven,selected_source,witness_sha256,input_manifest_sha256,responsibility_map_sha256,status
D6-E2__cn-cy-100c-01-V2-LOCATIONS__seed1,cn-cy-100c-01-V2-LOCATIONS,cy,100,1,5286.883766731755,31.660655207990203,5176.631401537045,37.67921070799639,5184.871727710179,42.520848042011494,5175.458124198396,113.39684904100432,431.09886442131864,395.7548799326736,395.8377910463045,395.41143549362374,80,False,True,True,True,0,OPTIMAL,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,5175.458124198396,5175.458124198396,0.0,1,5.0,True,time_limited_mip_recombination,98777b7b8f973bb7c5b6e6e4b8aefdae7f936bf48863b4a64086786a44a629d5,e0d6b30dcf6a55005e4a7a851c96e76c84a17507c4584049106a0d8d5a9b8176,42bda529b1ac47cf5b53cf47eb9e57015369ad724df6874e9158ecbf7c03c9ae,PASS
D6-E2__cn-cy-100c-01-V2-LOCATIONS__seed2,cn-cy-100c-01-V2-LOCATIONS,cy,100,2,5285.201519052848,32.01699233399995,5188.430299341431,40.50797595801123,5183.243376901506,42.01394450000953,5183.08173082605,116.04548429200076,430.7372877216446,398.2453339089114,399.47603859794003,396.93984398274955,80,False,True,True,True,0,OPTIMAL,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,5183.08173082605,5183.08173082605,0.0,1,5.0,True,time_limited_mip_recombination,ad5fc7645dea70b0c4cb11ff644c760b1bdbbda618490dc1d078bb3bacf3bfb3,e0d6b30dcf6a55005e4a7a851c96e76c84a17507c4584049106a0d8d5a9b8176,42bda529b1ac47cf5b53cf47eb9e57015369ad724df6874e9158ecbf7c03c9ae,PASS
D6-E2__cn-cy-100c-01-V2-LOCATIONS__seed3,cn-cy-100c-01-V2-LOCATIONS,cy,100,3,5285.201519052848,31.272543375001987,5187.276256650583,40.02366004200303,5178.791295638886,41.38743583399628,5175.070810721165,114.08083212500787,430.7372877216446,397.86943233697457,394.9887415666202,394.4351883258143,80,False,True,True,True,0,OPTIMAL,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,5175.070810721165,5175.070810721165,0.0,1,5.0,True,time_limited_mip_recombination,21310ab46f97797f871f376799e0a72c837164e80386183b88a22f889f3c0749,e0d6b30dcf6a55005e4a7a851c96e76c84a17507c4584049106a0d8d5a9b8176,42bda529b1ac47cf5b53cf47eb9e57015369ad724df6874e9158ecbf7c03c9ae,PASS
D6-E2__cn-cy-100c-01-V2-LOCATIONS__seed4,cn-cy-100c-01-V2-LOCATIONS,cy,100,4,5285.201519052848,31.890916916992865,5193.7220453003665,39.361988874996314,5190.528930849317,43.76754966699809,5180.844325460472,116.44041437499982,430.7372877216446,399.8829899858474,398.6954361059352,395.6101386961011,80,False,True,True,True,0,OPTIMAL,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,5180.844325460473,5180.844325460473,0.0,1,5.0,True,time_limited_mip_recombination,638b3d01999bae6735b7dbd581645b24e90179a5b511bea2be2034611b0678df,e0d6b30dcf6a55005e4a7a851c96e76c84a17507c4584049106a0d8d5a9b8176,42bda529b1ac47cf5b53cf47eb9e57015369ad724df6874e9158ecbf7c03c9ae,PASS
D6-E2__cn-cy-100c-01-V2-LOCATIONS__seed5,cn-cy-100c-01-V2-LOCATIONS,cy,100,5,5293.548263875693,31.622019291011384,5185.542566899997,39.913202374998946,5188.645305714825,41.8560299170058,5183.53195915572,114.95204887499858,433.7677712159016,398.2870463409748,397.7621128258605,395.70932046656765,80,False,True,True,True,0,OPTIMAL,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,5183.53195915572,5183.53195915572,0.0,1,5.0,True,time_limited_mip_recombination,c48eae39584fd58e00ad4617da2ff0a31053e633989eb38dbdd34a0fc5969f75,e0d6b30dcf6a55005e4a7a851c96e76c84a17507c4584049106a0d8d5a9b8176,42bda529b1ac47cf5b53cf47eb9e57015369ad724df6874e9158ecbf7c03c9ae,PASS
D6-E2__cn-cy-100c-02-V2-LOCATIONS__seed1,cn-cy-100c-02-V2-LOCATIONS,cy,100,1,5085.563764331782,28.935947375008254,4954.466273738942,35.17845608299831,5020.169277803994,36.4178670830006,4929.892531543206,101.99183270799404,429.432879577479,444.2241065642598,403.08387488391963,439.471782160113,80,False,True,True,True,0,OPTIMAL,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,4929.892531543205,4929.892531543206,0.0,1,5.0,True,time_limited_mip_recombination,2c3660cf19171cbcc9bdecc867307fcd5c2ded79c799f618666097384d94486b,8a481ba09207e95d5ce60ada686b13ada11b641953624012364a20bc72a2c16c,42bda529b1ac47cf5b53cf47eb9e57015369ad724df6874e9158ecbf7c03c9ae,PASS
D6-E2__cn-cy-100c-02-V2-LOCATIONS__seed2,cn-cy-100c-02-V2-LOCATIONS,cy,100,2,5085.5454230953865,32.42116816599446,4933.74556964383,34.61812979199749,5030.5784737640715,34.123534999991534,4927.830760657252,102.72219408399542,429.45221830234834,440.053652782733,405.76484356674865,438.67834551494155,80,False,True,True,True,0,OPTIMAL,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,4927.8307606572525,4927.8307606572525,0.0,1,5.0,True,time_limited_mip_recombination,cdc50f5c4cba034d736b3726ff83900f4409c9dcecbe3616398950cb23f71d5f,8a481ba09207e95d5ce60ada686b13ada11b641953624012364a20bc72a2c16c,42bda529b1ac47cf5b53cf47eb9e57015369ad724df6874e9158ecbf7c03c9ae,PASS
D6-E2__cn-cy-100c-02-V2-LOCATIONS__seed3,cn-cy-100c-02-V2-LOCATIONS,cy,100,3,4920.525004291545,30.248441333998926,5034.541384423746,38.47564383399731,5036.343681945624,37.30411791699589,4920.525004291545,107.50229716701142,437.3048403393949,409.3968282419819,409.18153947119066,437.3048403393949,80,False,True,True,True,0,OPTIMAL,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,4920.525004291545,4920.525004291545,0.0,1,5.0,True,best_exact_hgs_parent,e012a9149ae1ecb65a39c44e520a4165b8c97ab2d1286786f819af7a9f06c218,8a481ba09207e95d5ce60ada686b13ada11b641953624012364a20bc72a2c16c,42bda529b1ac47cf5b53cf47eb9e57015369ad724df6874e9158ecbf7c03c9ae,PASS
D6-E2__cn-cy-100c-02-V2-LOCATIONS__seed4,cn-cy-100c-02-V2-LOCATIONS,cy,100,4,5084.206254471158,32.199999749995186,4918.511356424707,35.70290908399329,5018.699989643198,35.779206167004304,4916.798708359254,104.93537229200592,429.08805511795555,437.1807921111993,404.51630049252213,436.8975472718069,80,False,True,True,True,0,OPTIMAL,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,4916.798708359253,4916.798708359253,0.0,1,5.0,True,time_limited_mip_recombination,239d1f8d4e74ac81c2be8e9c6f7f676cca608a4c24c982412e1f6ef6008ff332,8a481ba09207e95d5ce60ada686b13ada11b641953624012364a20bc72a2c16c,42bda529b1ac47cf5b53cf47eb9e57015369ad724df6874e9158ecbf7c03c9ae,PASS
D6-E2__cn-cy-100c-02-V2-LOCATIONS__seed5,cn-cy-100c-02-V2-LOCATIONS,cy,100,5,4933.905522969644,30.691637374999118,4910.603856145021,35.360300667001866,5030.81804211394,35.84975016700628,4909.446401649948,103.23573045799276,440.1830874053977,435.41543689574166,406.1509846236207,435.3266318028599,80,False,True,True,True,0,OPTIMAL,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,4909.446401649949,4909.446401649948,0.0,1,5.0,True,time_limited_mip_recombination,95d1c4c481dd5d5eed556ed5bf36067425cedf38588761478383b6412a5d1852,8a481ba09207e95d5ce60ada686b13ada11b641953624012364a20bc72a2c16c,42bda529b1ac47cf5b53cf47eb9e57015369ad724df6874e9158ecbf7c03c9ae,PASS
