budget,profile,mean_gap_vs_lns,mean_route_count,mean_cost_fix,normalized_pair_entropy,top1_pair_share,top2_pair_share,best_improved_rate
4000,A0_MAIN_LOCAL_SEARCH,-0.004385253026182812,10.208333333333334,816.6666666666666,0.5479450509066646,0.5102399430998055,0.7646329728259733,0.011338200531347405
4000,A4_BALANCED_SELECTOR_LOCAL_SEARCH,0.00048527397136235187,10.083333333333334,806.6666666666666,0.8227620351716587,0.24319320523414537,0.4628254343482945,0.009241341798897525
4000,A5_EPS_DECAY_SELECTOR_LOCAL_SEARCH,0.0030773050937767557,10.083333333333334,806.6666666666666,0.8101206441799167,0.2621221629536659,0.47424432590733184,0.009711327267022278
4000,A6_THOMPSON_SELECTOR_LOCAL_SEARCH,0.0011433358929469968,10.166666666666666,813.3333333333334,0.9794336406406877,0.11442661186154385,0.21505258258682272,0.008979045407717691
4000,A7_SOFTMAX_SELECTOR_LOCAL_SEARCH,0.0038323386258464383,10.125,810.0,0.9516053791941392,0.16274375480449937,0.2946498140952899,0.010040423162001181
4000,LNS_REFERENCE,0.0,10.020833333333334,801.6666666666666,UNKNOWN,UNKNOWN,UNKNOWN,0.0
8000,A0_MAIN_LOCAL_SEARCH,-0.01268506034578422,10.208333333333334,816.6666666666666,0.6372583821735889,0.42756147728431004,0.6866716672634278,0.005517208935212651
8000,A4_BALANCED_SELECTOR_LOCAL_SEARCH,-0.005220086718924731,10.041666666666666,803.3333333333334,0.832477154715235,0.23245615181364618,0.44968860012492584,0.00487419863208817
8000,A5_EPS_DECAY_SELECTOR_LOCAL_SEARCH,-0.00271671140701799,10.041666666666666,803.3333333333334,0.8321729693100012,0.22776976311442848,0.447116289280562,0.00501003575236781
8000,A6_THOMPSON_SELECTOR_LOCAL_SEARCH,-0.001683652696976347,10.125,810.0,0.9795135456842613,0.1118352457281429,0.21788235048173535,0.0048944415554550945
8000,A7_SOFTMAX_SELECTOR_LOCAL_SEARCH,-0.0010006201218705217,10.0625,805.0,0.9694669786602854,0.1296257098133906,0.24044936773364065,0.005568752270226905
8000,LNS_REFERENCE,0.0,9.9375,795.0,UNKNOWN,UNKNOWN,UNKNOWN,0.0
16000,A0_MAIN_LOCAL_SEARCH,-0.01691298421205509,10.166666666666666,813.3333333333334,0.7026472219851116,0.3653836602930221,0.5866323369884856,0.0028766353430136056
16000,A6_THOMPSON_SELECTOR_LOCAL_SEARCH,-0.006035769122260031,10.104166666666666,808.3333333333334,0.9761192598643349,0.12271429915629019,0.22831001892335517,0.0026686112766469068
16000,A7_SOFTMAX_SELECTOR_LOCAL_SEARCH,-0.0026802757975461834,10.083333333333334,806.6666666666666,0.9766890277881463,0.11534485575195216,0.21658313457705752,0.0028581696997418892
16000,LNS_REFERENCE,0.0,9.854166666666666,788.3333333333334,UNKNOWN,UNKNOWN,UNKNOWN,0.0
