budget,profile,family,size,rows,mean_gap_vs_lns,loss_rows,win_rows
16000,A0_MAIN_LOCAL_SEARCH,multidepot,100c,3,-0.012567304469366004,3,0
16000,A0_MAIN_LOCAL_SEARCH,multidepot,10c,3,-0.028497121963114064,2,0
16000,A0_MAIN_LOCAL_SEARCH,multidepot,150c,3,-0.01085108473457601,3,0
16000,A0_MAIN_LOCAL_SEARCH,multidepot,15c,3,-0.045337318186257365,3,0
16000,A0_MAIN_LOCAL_SEARCH,multidepot,20c,3,-0.0030998306061392655,1,0
16000,A0_MAIN_LOCAL_SEARCH,multidepot,50c,3,-0.012085852161577577,3,0
16000,A0_MAIN_LOCAL_SEARCH,multidepot,75c,3,-0.01755155183174498,3,0
16000,A0_MAIN_LOCAL_SEARCH,threeshift,100c,3,-0.02193059217494665,2,1
16000,A0_MAIN_LOCAL_SEARCH,threeshift,150c,3,-0.004032802600207958,2,1
16000,A0_MAIN_LOCAL_SEARCH,threeshift,50c,3,-0.02348173835041927,2,1
16000,A0_MAIN_LOCAL_SEARCH,threeshift,75c,3,-0.025945139759987645,3,0
16000,A0_MAIN_LOCAL_SEARCH,vanilla,100c,3,-0.007972629428177882,3,0
16000,A0_MAIN_LOCAL_SEARCH,vanilla,150c,3,-0.0027846827116148475,2,1
16000,A0_MAIN_LOCAL_SEARCH,vanilla,15c,3,-0.042216264032974155,1,1
16000,A0_MAIN_LOCAL_SEARCH,vanilla,25c,3,-0.011925325489747597,2,0
16000,A0_MAIN_LOCAL_SEARCH,vanilla,50c,3,-0.00032850889203017665,2,1
16000,A6_THOMPSON_SELECTOR_LOCAL_SEARCH,multidepot,100c,3,-0.005358042043661179,2,1
16000,A6_THOMPSON_SELECTOR_LOCAL_SEARCH,multidepot,10c,3,-0.0427456829446711,3,0
16000,A6_THOMPSON_SELECTOR_LOCAL_SEARCH,multidepot,150c,3,0.036173289824279815,1,2
16000,A6_THOMPSON_SELECTOR_LOCAL_SEARCH,multidepot,15c,3,-0.01477177149354607,1,0
16000,A6_THOMPSON_SELECTOR_LOCAL_SEARCH,multidepot,20c,3,-0.00870011807170975,2,0
16000,A6_THOMPSON_SELECTOR_LOCAL_SEARCH,multidepot,50c,3,-0.008648896415281668,3,0
16000,A6_THOMPSON_SELECTOR_LOCAL_SEARCH,multidepot,75c,3,-0.006683132040952266,2,1
16000,A6_THOMPSON_SELECTOR_LOCAL_SEARCH,threeshift,100c,3,-0.001493875250141471,2,1
16000,A6_THOMPSON_SELECTOR_LOCAL_SEARCH,threeshift,150c,3,-0.0005037472200068452,2,1
16000,A6_THOMPSON_SELECTOR_LOCAL_SEARCH,threeshift,50c,3,-0.01697755875988894,3,0
16000,A6_THOMPSON_SELECTOR_LOCAL_SEARCH,threeshift,75c,3,0.0010116733168551754,2,1
16000,A6_THOMPSON_SELECTOR_LOCAL_SEARCH,vanilla,100c,3,0.0012459373931014276,1,2
16000,A6_THOMPSON_SELECTOR_LOCAL_SEARCH,vanilla,150c,3,0.023210211785538986,0,3
16000,A6_THOMPSON_SELECTOR_LOCAL_SEARCH,vanilla,15c,3,-0.042216264032974155,1,1
16000,A6_THOMPSON_SELECTOR_LOCAL_SEARCH,vanilla,25c,3,-0.005962662744873799,1,0
16000,A6_THOMPSON_SELECTOR_LOCAL_SEARCH,vanilla,50c,3,-0.004151667258228661,2,1
16000,A7_SOFTMAX_SELECTOR_LOCAL_SEARCH,multidepot,100c,3,-0.007683112824847893,3,0
16000,A7_SOFTMAX_SELECTOR_LOCAL_SEARCH,multidepot,10c,3,-0.014248560981557032,1,0
16000,A7_SOFTMAX_SELECTOR_LOCAL_SEARCH,multidepot,150c,3,0.040794318825518816,0,3
16000,A7_SOFTMAX_SELECTOR_LOCAL_SEARCH,multidepot,15c,3,-0.014794172998658489,1,1
16000,A7_SOFTMAX_SELECTOR_LOCAL_SEARCH,multidepot,20c,3,-0.0030998306061392655,1,0
16000,A7_SOFTMAX_SELECTOR_LOCAL_SEARCH,multidepot,50c,3,-0.02539656991907026,2,1
16000,A7_SOFTMAX_SELECTOR_LOCAL_SEARCH,multidepot,75c,3,-0.0002898997036075246,1,2
16000,A7_SOFTMAX_SELECTOR_LOCAL_SEARCH,threeshift,100c,3,-0.010798699688689793,2,1
16000,A7_SOFTMAX_SELECTOR_LOCAL_SEARCH,threeshift,150c,3,0.012932784358609154,1,2
16000,A7_SOFTMAX_SELECTOR_LOCAL_SEARCH,threeshift,50c,3,-0.0044800894181602725,1,2
16000,A7_SOFTMAX_SELECTOR_LOCAL_SEARCH,threeshift,75c,3,-0.01912295581126251,2,1
16000,A7_SOFTMAX_SELECTOR_LOCAL_SEARCH,vanilla,100c,3,-0.006977142575307211,1,2
16000,A7_SOFTMAX_SELECTOR_LOCAL_SEARCH,vanilla,150c,3,0.009100245832976141,1,2
16000,A7_SOFTMAX_SELECTOR_LOCAL_SEARCH,vanilla,15c,3,0.0015314851129269197,1,1
16000,A7_SOFTMAX_SELECTOR_LOCAL_SEARCH,vanilla,25c,3,-0.00020122193359232724,1,0
16000,A7_SOFTMAX_SELECTOR_LOCAL_SEARCH,vanilla,50c,3,-0.00015099042987738934,2,1
4000,A0_MAIN_LOCAL_SEARCH,multidepot,100c,3,0.0035065033593952495,2,1
4000,A0_MAIN_LOCAL_SEARCH,multidepot,10c,3,-0.027128908328518345,2,1
4000,A0_MAIN_LOCAL_SEARCH,multidepot,150c,3,0.05609657970318859,0,3
4000,A0_MAIN_LOCAL_SEARCH,multidepot,15c,3,-0.03005454483990172,2,0
4000,A0_MAIN_LOCAL_SEARCH,multidepot,20c,3,-0.0032837931608150277,1,1
4000,A0_MAIN_LOCAL_SEARCH,multidepot,50c,3,0.02231709663047704,1,2
4000,A0_MAIN_LOCAL_SEARCH,multidepot,75c,3,-0.020776282071464727,3,0
4000,A0_MAIN_LOCAL_SEARCH,threeshift,100c,3,-0.006182365367388456,2,1
4000,A0_MAIN_LOCAL_SEARCH,threeshift,150c,3,-0.005826893968375009,2,1
4000,A0_MAIN_LOCAL_SEARCH,threeshift,50c,3,-0.02363212603185956,2,1
4000,A0_MAIN_LOCAL_SEARCH,threeshift,75c,3,-0.007667763862151861,1,2
4000,A0_MAIN_LOCAL_SEARCH,vanilla,100c,3,-0.002367482514682728,1,2
4000,A0_MAIN_LOCAL_SEARCH,vanilla,150c,3,0.03925834883936639,1,2
4000,A0_MAIN_LOCAL_SEARCH,vanilla,15c,3,-0.041077712722688536,1,2
4000,A0_MAIN_LOCAL_SEARCH,vanilla,25c,3,-0.011925325489747597,2,0
4000,A0_MAIN_LOCAL_SEARCH,vanilla,50c,3,-0.011419378593758698,2,1
4000,A6_THOMPSON_SELECTOR_LOCAL_SEARCH,multidepot,100c,3,0.017955284542933093,0,3
4000,A6_THOMPSON_SELECTOR_LOCAL_SEARCH,multidepot,10c,3,-0.041318984083850374,3,0
4000,A6_THOMPSON_SELECTOR_LOCAL_SEARCH,multidepot,150c,3,0.051616460023951836,0,3
4000,A6_THOMPSON_SELECTOR_LOCAL_SEARCH,multidepot,15c,3,-0.00015897052276593834,1,1
4000,A6_THOMPSON_SELECTOR_LOCAL_SEARCH,multidepot,20c,3,-0.007999570834268199,1,1
4000,A6_THOMPSON_SELECTOR_LOCAL_SEARCH,multidepot,50c,3,0.006641865976786773,2,1
4000,A6_THOMPSON_SELECTOR_LOCAL_SEARCH,multidepot,75c,3,0.0027253808515785003,1,2
4000,A6_THOMPSON_SELECTOR_LOCAL_SEARCH,threeshift,100c,3,0.010314934651474877,0,3
4000,A6_THOMPSON_SELECTOR_LOCAL_SEARCH,threeshift,150c,3,-0.011292001949095139,2,1
4000,A6_THOMPSON_SELECTOR_LOCAL_SEARCH,threeshift,50c,3,-0.020494146150497702,3,0
4000,A6_THOMPSON_SELECTOR_LOCAL_SEARCH,threeshift,75c,3,0.011039245196098363,1,2
4000,A6_THOMPSON_SELECTOR_LOCAL_SEARCH,vanilla,100c,3,0.006010309548870311,0,3
4000,A6_THOMPSON_SELECTOR_LOCAL_SEARCH,vanilla,150c,3,0.03662031503969063,1,2
4000,A6_THOMPSON_SELECTOR_LOCAL_SEARCH,vanilla,15c,3,-0.04221100170689009,1,2
4000,A6_THOMPSON_SELECTOR_LOCAL_SEARCH,vanilla,25c,3,-0.005962662744873799,1,0
4000,A6_THOMPSON_SELECTOR_LOCAL_SEARCH,vanilla,50c,3,0.004806916448008808,1,2
4000,A7_SOFTMAX_SELECTOR_LOCAL_SEARCH,multidepot,100c,3,-0.017546814023740327,2,1
4000,A7_SOFTMAX_SELECTOR_LOCAL_SEARCH,multidepot,10c,3,-0.012880347346961312,1,1
4000,A7_SOFTMAX_SELECTOR_LOCAL_SEARCH,multidepot,150c,3,0.0499566608527636,0,3
4000,A7_SOFTMAX_SELECTOR_LOCAL_SEARCH,multidepot,15c,3,-0.015441743869121586,2,1
4000,A7_SOFTMAX_SELECTOR_LOCAL_SEARCH,multidepot,20c,3,-0.0023995701637842533,1,1
4000,A7_SOFTMAX_SELECTOR_LOCAL_SEARCH,multidepot,50c,3,-0.009438039168907841,2,1
4000,A7_SOFTMAX_SELECTOR_LOCAL_SEARCH,multidepot,75c,3,0.01272116086724625,0,3
4000,A7_SOFTMAX_SELECTOR_LOCAL_SEARCH,threeshift,100c,3,0.002158889669282157,2,1
4000,A7_SOFTMAX_SELECTOR_LOCAL_SEARCH,threeshift,150c,3,0.03590161840688983,0,3
4000,A7_SOFTMAX_SELECTOR_LOCAL_SEARCH,threeshift,50c,3,0.005567980415618529,1,2
4000,A7_SOFTMAX_SELECTOR_LOCAL_SEARCH,threeshift,75c,3,-0.004173940129086864,2,1
4000,A7_SOFTMAX_SELECTOR_LOCAL_SEARCH,vanilla,100c,3,0.002267525519062246,2,1
4000,A7_SOFTMAX_SELECTOR_LOCAL_SEARCH,vanilla,150c,3,0.031540449995213486,1,2
4000,A7_SOFTMAX_SELECTOR_LOCAL_SEARCH,vanilla,15c,3,0.0038124899594098958,0,2
4000,A7_SOFTMAX_SELECTOR_LOCAL_SEARCH,vanilla,25c,3,-0.02089962025727764,2,0
4000,A7_SOFTMAX_SELECTOR_LOCAL_SEARCH,vanilla,50c,3,0.00017071728693683307,2,1
8000,A0_MAIN_LOCAL_SEARCH,multidepot,100c,3,0.0031393414460519384,1,2
8000,A0_MAIN_LOCAL_SEARCH,multidepot,10c,3,-0.028497121963114064,2,0
8000,A0_MAIN_LOCAL_SEARCH,multidepot,150c,3,0.041092050065384536,0,3
8000,A0_MAIN_LOCAL_SEARCH,multidepot,15c,3,-0.045337318186257365,3,0
8000,A0_MAIN_LOCAL_SEARCH,multidepot,20c,3,-0.0030998306061392655,1,0
8000,A0_MAIN_LOCAL_SEARCH,multidepot,50c,3,0.00509161282621481,1,2
8000,A0_MAIN_LOCAL_SEARCH,multidepot,75c,3,-0.029914354887226314,3,0
8000,A0_MAIN_LOCAL_SEARCH,threeshift,100c,3,-0.01597250136838851,2,1
8000,A0_MAIN_LOCAL_SEARCH,threeshift,150c,3,-0.005459694739387092,2,1
8000,A0_MAIN_LOCAL_SEARCH,threeshift,50c,3,-0.03047671093449607,3,0
8000,A0_MAIN_LOCAL_SEARCH,threeshift,75c,3,-0.020988682428086065,3,0
8000,A0_MAIN_LOCAL_SEARCH,vanilla,100c,3,0.001636056737019656,1,2
8000,A0_MAIN_LOCAL_SEARCH,vanilla,150c,3,-0.0020769914005745725,2,1
8000,A0_MAIN_LOCAL_SEARCH,vanilla,15c,3,-0.042216264032974155,1,1
8000,A0_MAIN_LOCAL_SEARCH,vanilla,25c,3,-0.011925325489747597,2,0
8000,A0_MAIN_LOCAL_SEARCH,vanilla,50c,3,-0.017955230570827378,3,0
8000,A6_THOMPSON_SELECTOR_LOCAL_SEARCH,multidepot,100c,3,0.004885721864366494,1,2
8000,A6_THOMPSON_SELECTOR_LOCAL_SEARCH,multidepot,10c,3,-0.0427456829446711,3,0
8000,A6_THOMPSON_SELECTOR_LOCAL_SEARCH,multidepot,150c,3,0.05636743930009356,0,3
8000,A6_THOMPSON_SELECTOR_LOCAL_SEARCH,multidepot,15c,3,-0.01477177149354607,1,0
8000,A6_THOMPSON_SELECTOR_LOCAL_SEARCH,multidepot,20c,3,-0.00870011807170975,2,0
8000,A6_THOMPSON_SELECTOR_LOCAL_SEARCH,multidepot,50c,3,0.006764630820839726,2,1
8000,A6_THOMPSON_SELECTOR_LOCAL_SEARCH,multidepot,75c,3,-0.008564228149237104,2,1
8000,A6_THOMPSON_SELECTOR_LOCAL_SEARCH,threeshift,100c,3,0.018394788926682722,0,3
8000,A6_THOMPSON_SELECTOR_LOCAL_SEARCH,threeshift,150c,3,-0.028079038813746418,1,2
8000,A6_THOMPSON_SELECTOR_LOCAL_SEARCH,threeshift,50c,3,-0.009807178581645757,3,0
8000,A6_THOMPSON_SELECTOR_LOCAL_SEARCH,threeshift,75c,3,0.02277368930511267,1,2
8000,A6_THOMPSON_SELECTOR_LOCAL_SEARCH,vanilla,100c,3,0.0021934881891211393,1,2
8000,A6_THOMPSON_SELECTOR_LOCAL_SEARCH,vanilla,150c,3,0.02232478464008367,1,2
8000,A6_THOMPSON_SELECTOR_LOCAL_SEARCH,vanilla,15c,3,-0.042216264032974155,1,1
8000,A6_THOMPSON_SELECTOR_LOCAL_SEARCH,vanilla,25c,3,-0.005962662744873799,1,0
8000,A6_THOMPSON_SELECTOR_LOCAL_SEARCH,vanilla,50c,3,0.0002039586344826184,2,1
8000,A7_SOFTMAX_SELECTOR_LOCAL_SEARCH,multidepot,100c,3,-0.016089711344816456,3,0
8000,A7_SOFTMAX_SELECTOR_LOCAL_SEARCH,multidepot,10c,3,-0.014248560981557032,1,0
8000,A7_SOFTMAX_SELECTOR_LOCAL_SEARCH,multidepot,150c,3,0.04732631595177449,0,3
8000,A7_SOFTMAX_SELECTOR_LOCAL_SEARCH,multidepot,15c,3,-0.03005454483990172,2,0
8000,A7_SOFTMAX_SELECTOR_LOCAL_SEARCH,multidepot,20c,3,-0.0030998306061392655,1,0
8000,A7_SOFTMAX_SELECTOR_LOCAL_SEARCH,multidepot,50c,3,-0.00599332299770371,2,1
8000,A7_SOFTMAX_SELECTOR_LOCAL_SEARCH,multidepot,75c,3,0.0011782476888557321,1,2
8000,A7_SOFTMAX_SELECTOR_LOCAL_SEARCH,threeshift,100c,3,-0.007327840761154396,1,2
8000,A7_SOFTMAX_SELECTOR_LOCAL_SEARCH,threeshift,150c,3,-0.0007635922407604514,1,2
8000,A7_SOFTMAX_SELECTOR_LOCAL_SEARCH,threeshift,50c,3,-0.00331147171997081,1,2
8000,A7_SOFTMAX_SELECTOR_LOCAL_SEARCH,threeshift,75c,3,0.019765491640198158,1,2
8000,A7_SOFTMAX_SELECTOR_LOCAL_SEARCH,vanilla,100c,3,0.0043286094021907865,0,3
8000,A7_SOFTMAX_SELECTOR_LOCAL_SEARCH,vanilla,150c,3,0.00025883979698063255,2,1
8000,A7_SOFTMAX_SELECTOR_LOCAL_SEARCH,vanilla,15c,3,0.0015314851129269197,1,1
8000,A7_SOFTMAX_SELECTOR_LOCAL_SEARCH,vanilla,25c,3,-0.00020122193359232724,1,0
8000,A7_SOFTMAX_SELECTOR_LOCAL_SEARCH,vanilla,50c,3,-0.0093088141172589,2,1
