instance_id,seed,label,family,type_mode,objective,raw_cost,feasible,violation_count,route_count,ev_route_count,charging_action_count,full_signature,route_signature,in_archive,is_anchor,is_best,construction_ledger
DEV-INIT-D1-DONOR03-SRC25-N54-DEP2,1,default_regret2,default,common_route_local_completion,1234.3077320573923,1234.3077320573923,True,0,8,7,7,bc91158ba43d3e229df4a70e5ab398fd2b5ed312043fae4b511e979dc058e2bc,df1fbb49c8b62e9564c023c4f16bf42c68ea1edb27783644ec3bb944903e1f69,True,True,True,"{""carbon_schedule_evaluations"": 251, ""insertion_options"": 0, ""joint_route_proxy_evaluations"": 15, ""route_feasibility_checks"": 0, ""route_local_exact_evaluations"": 0, ""selected_cross_depot_customers"": 0}"
DEV-INIT-D1-DONOR03-SRC25-N54-DEP2,1,global_regret2,model_aware_global_regret,common_route_local_completion,1548.3499706690288,1548.3499706690288,True,0,7,4,4,5493514a540a03588df615be8e5bbb79f92546f218f7505d7262eed797722f46,291e60703271abf9f03938fba7d38ffa4a200cdacab74fee67e00d23d6aebcb1,True,False,False,"{""carbon_schedule_evaluations"": 112, ""insertion_options"": 9800, ""joint_route_proxy_evaluations"": 11, ""route_feasibility_checks"": 7586, ""route_local_exact_evaluations"": 3152, ""selected_cross_depot_customers"": 19}"
DEV-INIT-D1-DONOR03-SRC25-N54-DEP2,1,global_regret3,model_aware_global_regret,common_route_local_completion,1431.6911355843922,1431.6911355843922,True,0,7,4,4,0c27368070e8ab2eaab508fccd1877ac8fd2edcd46ddfdc240309edcc2462ee6,f9ca00fb7e0753b234ad9194dd24e933ed9115c682de22406134585168a0120a,True,False,False,"{""carbon_schedule_evaluations"": 150, ""insertion_options"": 11243, ""joint_route_proxy_evaluations"": 11, ""route_feasibility_checks"": 7267, ""route_local_exact_evaluations"": 3307, ""selected_cross_depot_customers"": 14}"
DEV-INIT-D1-DONOR03-SRC25-N54-DEP2,1,global_regret2_rcl2,model_aware_global_regret,common_route_local_completion,1635.1404947105484,1635.1404947105484,True,0,7,4,4,cb7ddf6553612f315531e13259f6f2cf3de42248641463a23ebe36f231275414,32a864d706c64be25ff6ab3999144dc92702abedbe9635e59af8e441dc1d5107,False,False,False,"{""carbon_schedule_evaluations"": 112, ""insertion_options"": 11394, ""joint_route_proxy_evaluations"": 11, ""route_feasibility_checks"": 7654, ""route_local_exact_evaluations"": 3465, ""selected_cross_depot_customers"": 16}"
DEV-INIT-D1-DONOR03-SRC25-N54-DEP2,1,global_regret2_rcl3,model_aware_global_regret,common_route_local_completion,1552.6058686005877,1552.6058686005877,True,0,7,4,4,374c24ea9e4fd5acc9dd3813ef2c9f6d5de7c9a0d151af587080b6662958ee94,f047ee58a14bab024f9e556dc3d6167cd84b2bfdba1a911fd651deca87ded4d0,False,False,False,"{""carbon_schedule_evaluations"": 86, ""insertion_options"": 10331, ""joint_route_proxy_evaluations"": 11, ""route_feasibility_checks"": 7632, ""route_local_exact_evaluations"": 3285, ""selected_cross_depot_customers"": 15}"
DEV-INIT-D1-DONOR03-SRC25-N54-DEP2,1,global_regret3_rcl2,model_aware_global_regret,common_route_local_completion,1396.255247991634,1396.255247991634,True,0,7,4,4,8ea399331be9faf021a8525ed5891b82e10aae408f7ef6254b2d7c99ca9728dd,d7a1bb39b9157ec4175ec07b6d55895839f84eab7ce216107f8bf686610845f3,True,False,False,"{""carbon_schedule_evaluations"": 117, ""insertion_options"": 9241, ""joint_route_proxy_evaluations"": 11, ""route_feasibility_checks"": 7413, ""route_local_exact_evaluations"": 3185, ""selected_cross_depot_customers"": 11}"
DEV-INIT-D1-DONOR03-SRC50-N108-DEP2,1,default_regret2,default,common_route_local_completion,3051.248311936867,3051.248311936867,True,0,16,12,12,b6ee5c94b90bf9c3449ef0e169c2c80b8b3d86be150526c74bde2ee22ef2c44b,80381ba564cb357ee1b057af612223690a10afc0749736e4cd240dde259bf2eb,True,True,True,"{""carbon_schedule_evaluations"": 397, ""insertion_options"": 0, ""joint_route_proxy_evaluations"": 28, ""route_feasibility_checks"": 0, ""route_local_exact_evaluations"": 0, ""selected_cross_depot_customers"": 0}"
DEV-INIT-D1-DONOR03-SRC50-N108-DEP2,1,global_regret2,model_aware_global_regret,common_route_local_completion,4015.957553351341,4015.957553351341,True,0,14,4,4,bb55f12906b4370a2c5478d33e4fcf3aa7d8a596ced585554ca883c2f38f3008,281ced3cb4533ff82dfe3b7095d867cda49e0a60b8d9fb865b714886b28886c6,False,False,False,"{""carbon_schedule_evaluations"": 94, ""insertion_options"": 39386, ""joint_route_proxy_evaluations"": 18, ""route_feasibility_checks"": 29214, ""route_local_exact_evaluations"": 11420, ""selected_cross_depot_customers"": 28}"
DEV-INIT-D1-DONOR03-SRC50-N108-DEP2,1,global_regret3,model_aware_global_regret,common_route_local_completion,3628.32634964242,3628.32634964242,True,0,15,7,7,d73e824910d8a1bf05c5102c08cd0ec19c3a773d136c0373bf60e1e1f191bf33,b224e9debc4ccdb9e74d693087615219b47bd95646f34ef8ac4410eac3953489,True,False,False,"{""carbon_schedule_evaluations"": 200, ""insertion_options"": 58310, ""joint_route_proxy_evaluations"": 22, ""route_feasibility_checks"": 27691, ""route_local_exact_evaluations"": 11605, ""selected_cross_depot_customers"": 33}"
DEV-INIT-D1-DONOR03-SRC50-N108-DEP2,1,global_regret2_rcl2,model_aware_global_regret,common_route_local_completion,4298.076808161384,4298.076808161384,True,0,14,6,6,35d665eaf4b5fcbba8cd861ae30adbe6f6060989c7075c6ddf62d867e7c5b815,b158af8bc7604f5c949f56a64c324f8b47564562e0d7b350a3d7f973ac85eb1b,True,False,False,"{""carbon_schedule_evaluations"": 118, ""insertion_options"": 40333, ""joint_route_proxy_evaluations"": 21, ""route_feasibility_checks"": 29388, ""route_local_exact_evaluations"": 11443, ""selected_cross_depot_customers"": 46}"
