run_id,share,seed,map_seed,m0_budget_per_depot,cooperation_budget,asset_infeasible_any,strict_win,status,actual_evals,elapsed_seconds,independent_cost,total_cost,saving_pct_vs_measurement_start,cross_site_service_count,cross_site_customer_count,cross_site_attempted_candidates,cross_site_legal_candidates,cross_site_accepted_candidates,fairness_rejected_candidates,physical_total,fairness_ok,measurement_caps,asset_status_by_depot
E3b_mismatch_50pct_seed1,0.5,1,20260713,200,4000,True,True,OK,4000,161.89210591703886,17564.956294626252,13287.343315064874,24.353109155586413,218,218,11217,3711,1394,1024,28,True,"{""D0"": {""cv"": 7, ""ev"": 12}, ""D1"": {""cv"": 8, ""ev"": 8}}","{""D0"": ""ASSET_INFEASIBLE"", ""D1"": ""ASSET_INFEASIBLE""}"
E3b_mismatch_50pct_seed2,0.5,2,20260713,200,4000,True,True,OK,4000,145.62245279201306,17352.847207149513,13289.174841069604,23.417899769241576,218,218,6812,2428,915,993,28,True,"{""D0"": {""cv"": 7, ""ev"": 12}, ""D1"": {""cv"": 8, ""ev"": 8}}","{""D0"": ""ASSET_INFEASIBLE"", ""D1"": ""ASSET_INFEASIBLE""}"
E3b_mismatch_50pct_seed3,0.5,3,20260713,200,4000,True,True,OK,4000,157.41859258298064,17530.39867479667,13289.174841069604,24.193538962833994,218,218,7046,2111,819,772,28,True,"{""D0"": {""cv"": 7, ""ev"": 12}, ""D1"": {""cv"": 8, ""ev"": 8}}","{""D0"": ""ASSET_INFEASIBLE"", ""D1"": ""ASSET_INFEASIBLE""}"
E3b_mismatch_50pct_seed4,0.5,4,20260713,200,4000,True,True,OK,4000,171.07782320899423,17530.89187265234,13045.87073897251,25.58353086802348,218,218,6936,2321,822,276,28,True,"{""D0"": {""cv"": 7, ""ev"": 12}, ""D1"": {""cv"": 8, ""ev"": 8}}","{""D0"": ""ASSET_INFEASIBLE"", ""D1"": ""ASSET_INFEASIBLE""}"
E3b_mismatch_50pct_seed5,0.5,5,20260713,200,4000,True,True,OK,4000,200.54019158298615,17541.610475489677,13043.053640038213,25.64506173328356,218,218,7004,1905,746,847,28,True,"{""D0"": {""cv"": 7, ""ev"": 12}, ""D1"": {""cv"": 8, ""ev"": 8}}","{""D0"": ""ASSET_INFEASIBLE"", ""D1"": ""ASSET_INFEASIBLE""}"
E3b_mismatch_50pct_seed6,0.5,6,20260713,200,4000,True,True,OK,4000,166.9485808329773,17564.956294626252,12780.714406682797,27.237425517575158,218,218,6718,2188,698,467,28,True,"{""D0"": {""cv"": 7, ""ev"": 12}, ""D1"": {""cv"": 8, ""ev"": 8}}","{""D0"": ""ASSET_INFEASIBLE"", ""D1"": ""ASSET_INFEASIBLE""}"
E3b_mismatch_50pct_seed7,0.5,7,20260713,200,4000,True,True,OK,4000,203.71906033298,17564.956294626252,13289.174841069604,24.342681996110418,218,218,7041,2052,707,854,28,True,"{""D0"": {""cv"": 7, ""ev"": 12}, ""D1"": {""cv"": 8, ""ev"": 8}}","{""D0"": ""ASSET_INFEASIBLE"", ""D1"": ""ASSET_INFEASIBLE""}"
E3b_mismatch_50pct_seed8,0.5,8,20260713,200,4000,True,True,OK,4000,177.81060754100326,17381.434255556676,13119.366046440977,24.52080850435664,219,219,6604,2531,752,284,28,True,"{""D0"": {""cv"": 7, ""ev"": 12}, ""D1"": {""cv"": 8, ""ev"": 8}}","{""D0"": ""ASSET_INFEASIBLE"", ""D1"": ""ASSET_INFEASIBLE""}"
E3b_mismatch_50pct_seed9,0.5,9,20260713,200,4000,True,True,OK,4000,165.4412628330174,17111.13161505177,13289.174841069604,22.336084251845687,218,218,7077,2157,859,1262,28,True,"{""D0"": {""cv"": 7, ""ev"": 12}, ""D1"": {""cv"": 8, ""ev"": 8}}","{""D0"": ""ASSET_INFEASIBLE"", ""D1"": ""ASSET_INFEASIBLE""}"
E3b_mismatch_50pct_seed10,0.5,10,20260713,200,4000,True,True,OK,4000,178.34234758402454,17492.835199891815,13021.190106806549,25.562723492146777,216,216,7176,1968,805,587,28,True,"{""D0"": {""cv"": 7, ""ev"": 12}, ""D1"": {""cv"": 8, ""ev"": 8}}","{""D0"": ""ASSET_INFEASIBLE"", ""D1"": ""ASSET_INFEASIBLE""}"
