instance_id,seed,capacity_kwh,public_charge_power_kw,curve_id,feasible,total_cost_cny,route_hash,route_count,ev_route_count,public_charging_session_count,depot_charging_session_count,taper_entered_session_count,station_charging_kwh,depot_charging_kwh,complete_candidate_evaluations,violation_count,linear_routes_m17_recheck_feasible,linear_routes_m17_recheck_total_cost_cny,linear_routes_m17_recheck_violation_count
cn-prd-50c-01-V2-LOCATIONS,1,16.0,22.0,L100_control,True,2398.104604918465,d6da009bf6f88267c53edd1e597123e97df22c0af12b643c2026440c76b50407,9,3,1,0,0,10.656578164823578,0.0,14,0,True,2402.9614937827955,0
cn-prd-50c-01-V2-LOCATIONS,1,16.0,22.0,M17_22KW_NORMAL_PWL,True,2398.1472990071265,d6da009bf6f88267c53edd1e597123e97df22c0af12b643c2026440c76b50407,9,3,1,0,0,10.656578164823578,0.0,14,0,True,2402.9614937827955,0
cn-prd-50c-01-V2-LOCATIONS,1,20.0,22.0,L100_control,True,2378.4332891608815,845e81acca022252b4952bca7537c23d03ee185e3a951c062aeb505f3bc5078a,9,3,1,0,0,6.6565781648235784,0.0,14,0,True,2381.4668734299466,0
cn-prd-50c-01-V2-LOCATIONS,1,20.0,22.0,M17_22KW_NORMAL_PWL,True,2378.45998666689,845e81acca022252b4952bca7537c23d03ee185e3a951c062aeb505f3bc5078a,9,3,1,0,0,6.6565781648235784,0.0,14,0,True,2381.4668734299466,0
cn-prd-50c-01-V2-LOCATIONS,1,24.0,22.0,L100_control,True,2357.7245406194365,b23fdc29c337cabd61740bbbd1cdedca5e3f86ecff00d6f605c03245132d3526,9,3,0,0,0,0.0,0.0,14,0,True,2357.7245406194365,0
cn-prd-50c-01-V2-LOCATIONS,1,24.0,22.0,M17_22KW_NORMAL_PWL,True,2357.7245406194365,b23fdc29c337cabd61740bbbd1cdedca5e3f86ecff00d6f605c03245132d3526,9,3,0,0,0,0.0,0.0,14,0,True,2357.7245406194365,0
cn-prd-50c-01-V2-LOCATIONS,1,32.0,22.0,L100_control,True,2337.215021861942,8071b5a28becf6229ebe608e8348b8f686ab7d0d00b296ccfcf48c35580705b4,9,3,0,0,0,0.0,0.0,14,0,True,2337.215021861942,0
cn-prd-50c-01-V2-LOCATIONS,1,32.0,22.0,M17_22KW_NORMAL_PWL,True,2337.215021861942,8071b5a28becf6229ebe608e8348b8f686ab7d0d00b296ccfcf48c35580705b4,9,3,0,0,0,0.0,0.0,14,0,True,2337.215021861942,0
cn-prd-50c-01-V2-LOCATIONS,1,16.0,60.0,L100_control,True,2387.059327323635,e14b74b20721c873bb61495579fcab52b19fae26fb894ac2d528fc42a2834376,9,3,2,0,0,15.18346234652601,0.0,14,0,True,2394.061145527217,0
cn-prd-50c-01-V2-LOCATIONS,1,16.0,60.0,M17_22KW_NORMAL_PWL,True,2387.081655944733,e14b74b20721c873bb61495579fcab52b19fae26fb894ac2d528fc42a2834376,9,3,2,0,0,15.18346234652601,0.0,14,0,True,2394.061145527217,0
cn-prd-50c-01-V2-LOCATIONS,1,20.0,60.0,L100_control,True,2369.28435445379,a4b9821a2f24f69cae946bcdd9bfd77d0d6ca2a7923a443988e3fa4e1cd8bc27,9,3,1,0,1,13.012141724544314,0.0,14,0,True,2371.711593614622,0
cn-prd-50c-01-V2-LOCATIONS,1,20.0,60.0,M17_22KW_NORMAL_PWL,True,2371.711593614622,a4b9821a2f24f69cae946bcdd9bfd77d0d6ca2a7923a443988e3fa4e1cd8bc27,9,3,1,0,1,13.012141724544314,0.0,14,0,True,2371.711593614622,0
cn-prd-50c-01-V2-LOCATIONS,1,24.0,60.0,L100_control,True,2357.7245406194365,b23fdc29c337cabd61740bbbd1cdedca5e3f86ecff00d6f605c03245132d3526,9,3,0,0,0,0.0,0.0,14,0,True,2357.7245406194365,0
cn-prd-50c-01-V2-LOCATIONS,1,24.0,60.0,M17_22KW_NORMAL_PWL,True,2357.7245406194365,b23fdc29c337cabd61740bbbd1cdedca5e3f86ecff00d6f605c03245132d3526,9,3,0,0,0,0.0,0.0,14,0,True,2357.7245406194365,0
cn-prd-50c-01-V2-LOCATIONS,1,32.0,60.0,L100_control,True,2337.215021861942,8071b5a28becf6229ebe608e8348b8f686ab7d0d00b296ccfcf48c35580705b4,9,3,0,0,0,0.0,0.0,14,0,True,2337.215021861942,0
cn-prd-50c-01-V2-LOCATIONS,1,32.0,60.0,M17_22KW_NORMAL_PWL,True,2337.215021861942,8071b5a28becf6229ebe608e8348b8f686ab7d0d00b296ccfcf48c35580705b4,9,3,0,0,0,0.0,0.0,14,0,True,2337.215021861942,0
