category,instance,size,replicate,bundle_dir,customers,depots,stations,num_cv,num_ev,total_vehicle_cap,total_demand_kg,current_q_kg,current_capacity_total_kg,current_capacity_surplus_kg,current_demand_lower_bound_routes,current_capacity_bound_feasible,goeke_q_kg,goeke_capacity_total_kg,goeke_capacity_surplus_kg,goeke_demand_lower_bound_routes,goeke_capacity_bound_feasible,route_vehicle_assumption,source_consistent
vanilla,e2-vanilla-10c-01,10,1,models/data_bundle/generated_instances/e2_benchmark/vanilla/e2-vanilla-10c-01,10,1,2,1,1,2,5671.0,1600.0,3200.0,-2471.0,4,False,3650.0,7300.0,1629.0,2,True,one dispatched route consumes one vehicle slot in current checker,True
vanilla,e2-vanilla-10c-02,10,2,models/data_bundle/generated_instances/e2_benchmark/vanilla/e2-vanilla-10c-02,10,1,2,1,1,2,4458.0,1600.0,3200.0,-1258.0,3,False,3650.0,7300.0,2842.0,2,True,one dispatched route consumes one vehicle slot in current checker,True
vanilla,e2-vanilla-10c-03,10,3,models/data_bundle/generated_instances/e2_benchmark/vanilla/e2-vanilla-10c-03,10,1,2,1,1,2,5541.0,1600.0,3200.0,-2341.0,4,False,3650.0,7300.0,1759.0,2,True,one dispatched route consumes one vehicle slot in current checker,True
vanilla,e2-vanilla-15c-01,15,1,models/data_bundle/generated_instances/e2_benchmark/vanilla/e2-vanilla-15c-01,15,1,2,2,0,2,7219.0,1600.0,3200.0,-4019.0,5,False,3650.0,7300.0,81.0,2,True,one dispatched route consumes one vehicle slot in current checker,True
vanilla,e2-vanilla-15c-02,15,2,models/data_bundle/generated_instances/e2_benchmark/vanilla/e2-vanilla-15c-02,15,1,2,1,1,2,5627.0,1600.0,3200.0,-2427.0,4,False,3650.0,7300.0,1673.0,2,True,one dispatched route consumes one vehicle slot in current checker,True
vanilla,e2-vanilla-15c-03,15,3,models/data_bundle/generated_instances/e2_benchmark/vanilla/e2-vanilla-15c-03,15,1,2,2,1,3,7076.0,1600.0,4800.0,-2276.0,5,False,3650.0,10950.0,3874.0,2,True,one dispatched route consumes one vehicle slot in current checker,True
vanilla,e2-vanilla-20c-01,20,1,models/data_bundle/generated_instances/e2_benchmark/vanilla/e2-vanilla-20c-01,20,1,3,2,1,3,9362.0,1600.0,4800.0,-4562.0,6,False,3650.0,10950.0,1588.0,3,True,one dispatched route consumes one vehicle slot in current checker,True
vanilla,e2-vanilla-20c-02,20,2,models/data_bundle/generated_instances/e2_benchmark/vanilla/e2-vanilla-20c-02,20,1,3,2,1,3,8763.0,1600.0,4800.0,-3963.0,6,False,3650.0,10950.0,2187.0,3,True,one dispatched route consumes one vehicle slot in current checker,True
vanilla,e2-vanilla-20c-03,20,3,models/data_bundle/generated_instances/e2_benchmark/vanilla/e2-vanilla-20c-03,20,1,3,2,1,3,8957.0,1600.0,4800.0,-4157.0,6,False,3650.0,10950.0,1993.0,3,True,one dispatched route consumes one vehicle slot in current checker,True
vanilla,e2-vanilla-25c-01,25,1,models/data_bundle/generated_instances/e2_benchmark/vanilla/e2-vanilla-25c-01,25,1,3,2,1,3,10504.0,1600.0,4800.0,-5704.0,7,False,3650.0,10950.0,446.0,3,True,one dispatched route consumes one vehicle slot in current checker,True
vanilla,e2-vanilla-25c-02,25,2,models/data_bundle/generated_instances/e2_benchmark/vanilla/e2-vanilla-25c-02,25,1,3,2,2,4,12103.0,1600.0,6400.0,-5703.0,8,False,3650.0,14600.0,2497.0,4,True,one dispatched route consumes one vehicle slot in current checker,True
vanilla,e2-vanilla-25c-03,25,3,models/data_bundle/generated_instances/e2_benchmark/vanilla/e2-vanilla-25c-03,25,1,3,2,1,3,10520.0,1600.0,4800.0,-5720.0,7,False,3650.0,10950.0,430.0,3,True,one dispatched route consumes one vehicle slot in current checker,True
vanilla,e2-vanilla-50c-01,50,1,models/data_bundle/generated_instances/e2_benchmark/vanilla/e2-vanilla-50c-01,50,1,6,4,3,7,23126.0,1600.0,11200.0,-11926.0,15,False,3650.0,25550.0,2424.0,7,True,one dispatched route consumes one vehicle slot in current checker,True
vanilla,e2-vanilla-50c-02,50,2,models/data_bundle/generated_instances/e2_benchmark/vanilla/e2-vanilla-50c-02,50,1,6,4,3,7,22375.0,1600.0,11200.0,-11175.0,14,False,3650.0,25550.0,3175.0,7,True,one dispatched route consumes one vehicle slot in current checker,True
vanilla,e2-vanilla-50c-03,50,3,models/data_bundle/generated_instances/e2_benchmark/vanilla/e2-vanilla-50c-03,50,1,6,4,3,7,24090.0,1600.0,11200.0,-12890.0,16,False,3650.0,25550.0,1460.0,7,True,one dispatched route consumes one vehicle slot in current checker,True
vanilla,e2-vanilla-75c-01,75,1,models/data_bundle/generated_instances/e2_benchmark/vanilla/e2-vanilla-75c-01,75,1,8,6,5,11,36542.0,1600.0,17600.0,-18942.0,23,False,3650.0,40150.0,3608.0,11,True,one dispatched route consumes one vehicle slot in current checker,True
vanilla,e2-vanilla-75c-02,75,2,models/data_bundle/generated_instances/e2_benchmark/vanilla/e2-vanilla-75c-02,75,1,8,6,5,11,37125.0,1600.0,17600.0,-19525.0,24,False,3650.0,40150.0,3025.0,11,True,one dispatched route consumes one vehicle slot in current checker,True
vanilla,e2-vanilla-75c-03,75,3,models/data_bundle/generated_instances/e2_benchmark/vanilla/e2-vanilla-75c-03,75,1,8,5,5,10,32700.0,1600.0,16000.0,-16700.0,21,False,3650.0,36500.0,3800.0,9,True,one dispatched route consumes one vehicle slot in current checker,True
vanilla,e2-vanilla-100c-01,100,1,models/data_bundle/generated_instances/e2_benchmark/vanilla/e2-vanilla-100c-01,100,1,11,7,7,14,46949.0,1600.0,22400.0,-24549.0,30,False,3650.0,51100.0,4151.0,13,True,one dispatched route consumes one vehicle slot in current checker,True
vanilla,e2-vanilla-100c-02,100,2,models/data_bundle/generated_instances/e2_benchmark/vanilla/e2-vanilla-100c-02,100,1,11,7,6,13,43824.0,1600.0,20800.0,-23024.0,28,False,3650.0,47450.0,3626.0,13,True,one dispatched route consumes one vehicle slot in current checker,True
vanilla,e2-vanilla-100c-03,100,3,models/data_bundle/generated_instances/e2_benchmark/vanilla/e2-vanilla-100c-03,100,1,11,7,6,13,44210.0,1600.0,20800.0,-23410.0,28,False,3650.0,47450.0,3240.0,13,True,one dispatched route consumes one vehicle slot in current checker,True
vanilla,e2-vanilla-150c-01,150,1,models/data_bundle/generated_instances/e2_benchmark/vanilla/e2-vanilla-150c-01,150,1,16,10,10,20,70647.0,1600.0,32000.0,-38647.0,45,False,3650.0,73000.0,2353.0,20,True,one dispatched route consumes one vehicle slot in current checker,True
vanilla,e2-vanilla-150c-02,150,2,models/data_bundle/generated_instances/e2_benchmark/vanilla/e2-vanilla-150c-02,150,1,16,10,10,20,70279.0,1600.0,32000.0,-38279.0,44,False,3650.0,73000.0,2721.0,20,True,one dispatched route consumes one vehicle slot in current checker,True
vanilla,e2-vanilla-150c-03,150,3,models/data_bundle/generated_instances/e2_benchmark/vanilla/e2-vanilla-150c-03,150,1,16,10,9,19,67429.0,1600.0,30400.0,-37029.0,43,False,3650.0,69350.0,1921.0,19,True,one dispatched route consumes one vehicle slot in current checker,True
vanilla,e2-vanilla-200c-01,200,1,models/data_bundle/generated_instances/e2_benchmark/vanilla/e2-vanilla-200c-01,200,1,21,14,14,28,97152.0,1600.0,44800.0,-52352.0,61,False,3650.0,102200.0,5048.0,27,True,one dispatched route consumes one vehicle slot in current checker,True
