instance_id,n,seed,arm,status,cost,cpu_seconds,emissions_kg,joint_complete_candidate_attempts,mip_status_class,mip_gap,witness_file,witness_key,source_scope
cn-cy-100c-01-V2-LOCATIONS,100,4,HGS-M,PASS,5190.528930849317,41.25429400001303,398.6954361059352,80,LIMIT_WITH_INCUMBENT,0.008019147329460723,baselines/e2_final_campaign_20260720/corrected_china81_rerun_v4_20260724/full_gate/tasks/D6-E2__cn-cy-100c-01-V2-LOCATIONS__seed4/solution_witnesses.json,HGS-M,corrected_full_gate
cn-cy-100c-01-V2-LOCATIONS,100,4,MV-HGS-SP,PASS,5188.29574701191,117.30568912500166,396.77827064761755,80,LIMIT_WITH_INCUMBENT,0.008019147329460723,baselines/e2_final_campaign_20260720/corrected_china81_rerun_v4_20260724/full_gate/tasks/D6-E2__cn-cy-100c-01-V2-LOCATIONS__seed4/solution_witnesses.json,MV-HGS-SP,corrected_full_gate
cn-cy-100c-01-V2-LOCATIONS,100,5,HGS-F,PASS,5293.548263875693,31.05584329200792,433.7677712159016,80,LIMIT_WITH_INCUMBENT,0.008089473220502135,baselines/e2_final_campaign_20260720/corrected_china81_rerun_v4_20260724/full_gate/tasks/D6-E2__cn-cy-100c-01-V2-LOCATIONS__seed5/solution_witnesses.json,HGS-F,corrected_full_gate
cn-cy-100c-01-V2-LOCATIONS,100,5,HGS-E,PASS,5185.542566899997,39.052022250019945,398.2870463409748,80,LIMIT_WITH_INCUMBENT,0.008089473220502135,baselines/e2_final_campaign_20260720/corrected_china81_rerun_v4_20260724/full_gate/tasks/D6-E2__cn-cy-100c-01-V2-LOCATIONS__seed5/solution_witnesses.json,HGS-E,corrected_full_gate
cn-cy-100c-01-V2-LOCATIONS,100,5,HGS-M,PASS,5188.645305714825,39.92519949999405,397.7621128258605,80,LIMIT_WITH_INCUMBENT,0.008089473220502135,baselines/e2_final_campaign_20260720/corrected_china81_rerun_v4_20260724/full_gate/tasks/D6-E2__cn-cy-100c-01-V2-LOCATIONS__seed5/solution_witnesses.json,HGS-M,corrected_full_gate
cn-cy-100c-01-V2-LOCATIONS,100,5,MV-HGS-SP,PASS,5185.542566899997,116.48765808300232,398.2870463409748,80,LIMIT_WITH_INCUMBENT,0.008089473220502135,baselines/e2_final_campaign_20260720/corrected_china81_rerun_v4_20260724/full_gate/tasks/D6-E2__cn-cy-100c-01-V2-LOCATIONS__seed5/solution_witnesses.json,MV-HGS-SP,corrected_full_gate
cn-cy-100c-01-V2-LOCATIONS,100,6,HGS-F,PASS,5285.201519052848,29.38524229201721,430.7372877216446,80,OPTIMAL,8.365136359474615e-05,baselines/e2_final_campaign_20260720/corrected_china81_rerun_v4_20260724/mechanism_case_gate/extra_gate/tasks/D6-E2__cn-cy-100c-01-V2-LOCATIONS__seed6/solution_witnesses.json,HGS-F,corrected_mechanism_case_extra_gate
cn-cy-100c-01-V2-LOCATIONS,100,6,HGS-E,PASS,5185.209597498421,37.93440458297846,396.6144742366625,80,OPTIMAL,8.365136359474615e-05,baselines/e2_final_campaign_20260720/corrected_china81_rerun_v4_20260724/mechanism_case_gate/extra_gate/tasks/D6-E2__cn-cy-100c-01-V2-LOCATIONS__seed6/solution_witnesses.json,HGS-E,corrected_mechanism_case_extra_gate
cn-cy-100c-01-V2-LOCATIONS,100,6,HGS-M,PASS,5190.775646793525,37.33219333301531,397.17172219929256,80,OPTIMAL,8.365136359474615e-05,baselines/e2_final_campaign_20260720/corrected_china81_rerun_v4_20260724/mechanism_case_gate/extra_gate/tasks/D6-E2__cn-cy-100c-01-V2-LOCATIONS__seed6/solution_witnesses.json,HGS-M,corrected_mechanism_case_extra_gate
cn-cy-100c-01-V2-LOCATIONS,100,6,MV-HGS-SP,PASS,5176.614443920776,110.17818058299599,393.79564199785256,80,OPTIMAL,8.365136359474615e-05,baselines/e2_final_campaign_20260720/corrected_china81_rerun_v4_20260724/mechanism_case_gate/extra_gate/tasks/D6-E2__cn-cy-100c-01-V2-LOCATIONS__seed6/solution_witnesses.json,MV-HGS-SP,corrected_mechanism_case_extra_gate
