appearance_second,best_depot_id,best_latest_departure_second,best_slack_at_appearance_seconds,best_vehicle_type,candidate_count,customer_id,demand_kg,depot_type_clocks_json,due_second,event_id,feasible_after_wait_0m,feasible_after_wait_10m,feasible_after_wait_20m,feasible_after_wait_30m,instance_id,margin_after_wait_0m_seconds,margin_after_wait_10m_seconds,margin_after_wait_20m_seconds,margin_after_wait_30m_seconds,ready_second,service_second,stream_seed,stream_sha256
24743.05884935087,D_guangzhou,47720.53436,22977.47551064913,cv,4,C009,208.0,"[{""depot_id"":""D_guangzhou"",""fleet_count"":4,""latest_departure_second"":47720.53436,""preferred_departure_second"":44272.49402,""vehicle_type"":""cv""},{""depot_id"":""D_guangzhou"",""fleet_count"":1,""latest_departure_second"":47720.53436,""preferred_departure_second"":44272.49402,""vehicle_type"":""ev""},{""depot_id"":""D_shenzhen"",""fleet_count"":5,""latest_departure_second"":43900.23436,""preferred_departure_second"":40452.19402,""vehicle_type"":""cv""},{""depot_id"":""D_shenzhen"",""fleet_count"":2,""latest_departure_second"":43900.23436,""preferred_departure_second"":40452.19402,""vehicle_type"":""ev""}]",49162.43436,ADD_001_C009,True,True,True,True,cn-prd-50c-01-V2-LOCATIONS,22977.47551064913,22377.47551064913,21777.47551064913,21177.47551064913,45714.39402,540.0,1,3e08fba3a5fe2c8fdc414fd8a909b6a3e8731e6aff7a587ea670874ed5db739b
32041.50778024544,D_guangzhou,46999.971419999994,14958.463639754555,cv,4,C015,417.0,"[{""depot_id"":""D_guangzhou"",""fleet_count"":4,""latest_departure_second"":46999.971419999994,""preferred_departure_second"":44788.76651999999,""vehicle_type"":""cv""},{""depot_id"":""D_guangzhou"",""fleet_count"":1,""latest_departure_second"":46999.971419999994,""preferred_departure_second"":44788.76651999999,""vehicle_type"":""ev""},{""depot_id"":""D_shenzhen"",""fleet_count"":5,""latest_departure_second"":43187.77142,""preferred_departure_second"":40976.56651999999,""vehicle_type"":""cv""},{""depot_id"":""D_shenzhen"",""fleet_count"":2,""latest_departure_second"":43187.77142,""preferred_departure_second"":40976.56651999999,""vehicle_type"":""ev""}]",48612.77142,ADD_004_C015,True,True,True,True,cn-prd-50c-01-V2-LOCATIONS,14958.463639754555,14358.463639754555,13758.463639754555,13158.463639754555,46401.56651999999,1080.0,1,3e08fba3a5fe2c8fdc414fd8a909b6a3e8731e6aff7a587ea670874ed5db739b
32463.70184515415,D_shenzhen,61923.42826,29459.72641484585,cv,4,C031,278.0,"[{""depot_id"":""D_guangzhou"",""fleet_count"":4,""latest_departure_second"":59148.628260000005,""preferred_departure_second"":56869.41348,""vehicle_type"":""cv""},{""depot_id"":""D_guangzhou"",""fleet_count"":1,""latest_departure_second"":59148.628260000005,""preferred_departure_second"":56869.41348,""vehicle_type"":""ev""},{""depot_id"":""D_shenzhen"",""fleet_count"":5,""latest_departure_second"":61923.42826,""preferred_departure_second"":59644.21348,""vehicle_type"":""cv""},{""depot_id"":""D_shenzhen"",""fleet_count"":2,""latest_departure_second"":61923.42826,""preferred_departure_second"":59644.21348,""vehicle_type"":""ev""}]",63396.32826,ADD_006_C031,True,True,True,True,cn-prd-50c-01-V2-LOCATIONS,29459.72641484585,28859.72641484585,28259.72641484585,27659.72641484585,61117.11348,720.0,1,3e08fba3a5fe2c8fdc414fd8a909b6a3e8731e6aff7a587ea670874ed5db739b
33246.24520414718,D_shenzhen,57561.08362,24314.83841585282,cv,4,C034,208.0,"[{""depot_id"":""D_guangzhou"",""fleet_count"":4,""latest_departure_second"":54515.68362,""preferred_departure_second"":51835.449960000005,""vehicle_type"":""cv""},{""depot_id"":""D_guangzhou"",""fleet_count"":1,""latest_departure_second"":54515.68362,""preferred_departure_second"":51835.449960000005,""vehicle_type"":""ev""},{""depot_id"":""D_shenzhen"",""fleet_count"":5,""latest_departure_second"":57561.08362,""preferred_departure_second"":54880.84996,""vehicle_type"":""cv""},{""depot_id"":""D_shenzhen"",""fleet_count"":2,""latest_departure_second"":57561.08362,""preferred_departure_second"":54880.84996,""vehicle_type"":""ev""}]",58917.88362,ADD_007_C034,True,True,True,True,cn-prd-50c-01-V2-LOCATIONS,24314.83841585282,23714.83841585282,23114.83841585282,22514.83841585282,56237.64996,540.0,1,3e08fba3a5fe2c8fdc414fd8a909b6a3e8731e6aff7a587ea670874ed5db739b
34020.82846822313,D_shenzhen,47336.9414,13316.112931776872,cv,4,C046,139.0,"[{""depot_id"":""D_guangzhou"",""fleet_count"":4,""latest_departure_second"":44321.7414,""preferred_departure_second"":41612.64612,""vehicle_type"":""cv""},{""depot_id"":""D_guangzhou"",""fleet_count"":1,""latest_departure_second"":44321.7414,""preferred_departure_second"":41612.64612,""vehicle_type"":""ev""},{""depot_id"":""D_shenzhen"",""fleet_count"":5,""latest_departure_second"":47336.9414,""preferred_departure_second"":44627.84612,""vehicle_type"":""cv""},{""depot_id"":""D_shenzhen"",""fleet_count"":2,""latest_departure_second"":47336.9414,""preferred_departure_second"":44627.84612,""vehicle_type"":""ev""}]",48704.1414,ADD_010_C046,True,True,True,True,cn-prd-50c-01-V2-LOCATIONS,13316.112931776872,12716.112931776872,12116.112931776872,11516.112931776872,45995.04612,360.0,1,3e08fba3a5fe2c8fdc414fd8a909b6a3e8731e6aff7a587ea670874ed5db739b
36269.465721924236,D_shenzhen,48653.355339999995,12383.889618075758,cv,4,C037,417.0,"[{""depot_id"":""D_guangzhou"",""fleet_count"":4,""latest_departure_second"":45710.65534,""preferred_departure_second"":43766.659660000005,""vehicle_type"":""cv""},{""depot_id"":""D_guangzhou"",""fleet_count"":1,""latest_departure_second"":45710.65534,""preferred_departure_second"":43766.659660000005,""vehicle_type"":""ev""},{""depot_id"":""D_shenzhen"",""fleet_count"":5,""latest_departure_second"":48653.355339999995,""preferred_departure_second"":46709.35966,""vehicle_type"":""cv""},{""depot_id"":""D_shenzhen"",""fleet_count"":2,""latest_departure_second"":48653.355339999995,""preferred_departure_second"":46709.35966,""vehicle_type"":""ev""}]",50150.255339999996,ADD_008_C037,True,True,True,True,cn-prd-50c-01-V2-LOCATIONS,12383.889618075758,11783.889618075758,11183.889618075758,10583.889618075758,48206.25966,1080.0,1,3e08fba3a5fe2c8fdc414fd8a909b6a3e8731e6aff7a587ea670874ed5db739b
43036.14057051672,D_guangzhou,59692.33210000001,16656.191529483287,cv,4,C018,139.0,"[{""depot_id"":""D_guangzhou"",""fleet_count"":4,""latest_departure_second"":59692.33210000001,""preferred_departure_second"":56673.75448,""vehicle_type"":""cv""},{""depot_id"":""D_guangzhou"",""fleet_count"":1,""latest_departure_second"":59692.33210000001,""preferred_departure_second"":56673.75448,""vehicle_type"":""ev""},{""depot_id"":""D_shenzhen"",""fleet_count"":5,""latest_departure_second"":55885.032100000004,""preferred_departure_second"":52866.45448,""vehicle_type"":""cv""},{""depot_id"":""D_shenzhen"",""fleet_count"":2,""latest_departure_second"":55885.032100000004,""preferred_departure_second"":52866.45448,""vehicle_type"":""ev""}]",61387.532100000004,ADD_005_C018,True,True,True,True,cn-prd-50c-01-V2-LOCATIONS,16656.191529483287,16056.191529483287,15456.191529483287,14856.191529483287,58368.95448,360.0,1,3e08fba3a5fe2c8fdc414fd8a909b6a3e8731e6aff7a587ea670874ed5db739b
43500.09209705253,D_guangzhou,48857.765719999996,5357.673622947463,cv,4,C014,278.0,"[{""depot_id"":""D_guangzhou"",""fleet_count"":4,""latest_departure_second"":48857.765719999996,""preferred_departure_second"":46789.71776,""vehicle_type"":""cv""},{""depot_id"":""D_guangzhou"",""fleet_count"":1,""latest_departure_second"":48857.765719999996,""preferred_departure_second"":46789.71776,""vehicle_type"":""ev""},{""depot_id"":""D_shenzhen"",""fleet_count"":5,""latest_departure_second"":45061.86572,""preferred_departure_second"":42993.817760000005,""vehicle_type"":""cv""},{""depot_id"":""D_shenzhen"",""fleet_count"":2,""latest_departure_second"":45061.86572,""preferred_departure_second"":42993.817760000005,""vehicle_type"":""ev""}]",50461.06572,ADD_003_C014,True,True,True,True,cn-prd-50c-01-V2-LOCATIONS,5357.673622947463,4757.673622947463,4157.673622947463,3557.6736229474627,48393.01776,720.0,1,3e08fba3a5fe2c8fdc414fd8a909b6a3e8731e6aff7a587ea670874ed5db739b
47210.324415723066,D_shenzhen,62778.29217999999,15567.967764276924,cv,4,C042,139.0,"[{""depot_id"":""D_guangzhou"",""fleet_count"":4,""latest_departure_second"":60309.69217999999,""preferred_departure_second"":57102.90206,""vehicle_type"":""cv""},{""depot_id"":""D_guangzhou"",""fleet_count"":1,""latest_departure_second"":60309.69217999999,""preferred_departure_second"":57102.90206,""vehicle_type"":""ev""},{""depot_id"":""D_shenzhen"",""fleet_count"":5,""latest_departure_second"":62778.29217999999,""preferred_departure_second"":59571.50206,""vehicle_type"":""cv""},{""depot_id"":""D_shenzhen"",""fleet_count"":2,""latest_departure_second"":62778.29217999999,""preferred_departure_second"":59571.50206,""vehicle_type"":""ev""}]",64400.59217999999,ADD_009_C042,True,True,True,True,cn-prd-50c-01-V2-LOCATIONS,15567.967764276924,14967.967764276924,14367.967764276924,13767.967764276924,61193.80206,360.0,1,3e08fba3a5fe2c8fdc414fd8a909b6a3e8731e6aff7a587ea670874ed5db739b
55552.16544865309,D_guangzhou,58385.144140000004,2832.9786913469143,cv,4,C012,278.0,"[{""depot_id"":""D_guangzhou"",""fleet_count"":4,""latest_departure_second"":58385.144140000004,""preferred_departure_second"":55220.10574,""vehicle_type"":""cv""},{""depot_id"":""D_guangzhou"",""fleet_count"":1,""latest_departure_second"":58385.144140000004,""preferred_departure_second"":55220.10574,""vehicle_type"":""ev""},{""depot_id"":""D_shenzhen"",""fleet_count"":5,""latest_departure_second"":54564.84414,""preferred_departure_second"":51399.805739999996,""vehicle_type"":""cv""},{""depot_id"":""D_shenzhen"",""fleet_count"":2,""latest_departure_second"":54564.84414,""preferred_departure_second"":51399.805739999996,""vehicle_type"":""ev""}]",59994.24414,ADD_002_C012,True,True,True,True,cn-prd-50c-01-V2-LOCATIONS,2832.9786913469143,2232.9786913469143,1632.9786913469143,1032.9786913469143,56829.20574,720.0,1,3e08fba3a5fe2c8fdc414fd8a909b6a3e8731e6aff7a587ea670874ed5db739b
