action_dim,action_dim_name,bundle,entropy,observation_index,probabilities,split,top_index,top_label,top_prob
0,destroy,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,0.016494687646627426,0,"[2.7713704184861854e-05,0.0019896812736988068,0.0001303254975937307,1.8509081201045774e-05,2.567372575867921e-05,0.9978081583976746]",train_first,5,vehicle_type_swap,0.9978081583976746
1,repair,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,0.16075438261032104,0,"[0.9664852619171143,0.028583426028490067,0.004931231960654259]",train_first,0,greedy_insert_repair,0.9664852619171143
2,q_ratio,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,0.084506094455719,0,"[0.0011740608606487513,0.0014037697110325098,0.9883689880371094,0.0034233606420457363,3.697021020343527e-05,0.0006095212302170694,0.0007160078966990113,2.543851951486431e-05,0.0025579645298421383,0.00168389652390033]",train_first,2,0.166667,0.9883689880371094
3,threshold,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,0.08067487180233002,0,"[2.9782855563098565e-05,1.9741628420888446e-05,4.0852351958164945e-05,4.667503162636422e-06,3.8998277887003496e-05,4.02885525545571e-05,0.00010605867282720283,1.4127352187642828e-05,0.0006282459362410009,1.8848877516575158e-05,0.00017014348122756928,3.7948648241581395e-05,1.2084076843166258e-05,3.4864340705098584e-05,0.00011512384662637487,1.5884264939813875e-05,0.000414162379456684,9.388949706590211e-07,0.00010623521666275337,7.767239367240109e-06,2.1861682398593985e-05,4.302503657527268e-05,7.098600235622143e-06,1.608358434168622e-05,0.00022781809093430638,1.2517537470557727e-05,1.225641699420521e-05,0.0005993046797811985,8.458743104711175e-05,3.70235488844628e-06,0.00029887407436035573,3.5680914152180776e-05,2.96885355055565e-05,0.9909722805023193,3.417926109250402e-06,2.2672797058476135e-05,0.0005187818896956742,0.00021353639021981508,5.0833426939789206e-05,6.437512183765648e-06,2.0992138161091134e-05,4.076464392710477e-06,6.308218144113198e-05,0.0010368634248152375,3.749853703993722e-06,1.406175761076156e-05,9.218611012329347e-06,8.423145914093766e-07,1.6843176126712933e-05,2.508202123863157e-05,6.4777514126035385e-06,2.7937501727137715e-05,1.8813328779287986e-06,1.8574730347609147e-05,8.336382597917691e-05,5.554658127948642e-05,7.785487832734361e-05,5.011940447730012e-05,9.665348625276238e-05,1.0157680662814528e-05,1.4474943782261107e-05,6.98527874192223e-05,1.0437739547342062e-05,2.3564265575259924e-05,1.5955636627040803e-05,5.790455361420754e-06,2.8784530513803475e-05,1.4847502825432457e-05,7.896233000792563e-06,3.307163206045516e-05,8.948807590059005e-06,5.231215254752897e-06,3.2839405321283266e-05,3.285575803602114e-05,1.9945555322919972e-05,9.568320820108056e-06,0.00013900086923968047,8.401905688515399e-06,0.0005083216819912195,0.00016001710901036859,1.2873193782070302e-06,1.0824608580151107e-05,3.832392394542694e-06,1.1740145964722615e-05,6.203501015988877e-06,1.7558290892338846e-06,3.2217210446106037e-06,9.31783506530337e-06,1.5137356058403384e-05,2.986463869092404e-06,6.616026803385466e-05,1.7414251487934962e-05,0.0019181508105248213,3.089248275500722e-05,7.340271395150921e-07,4.893831646768376e-05,1.2738375517074019e-05,9.788167517399415e-06,4.508527581492672e-06,1.3885254702472594e-05]",train_first,33,33,0.9909722805023193
0,destroy,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,0.015489050187170506,1,"[2.4500426661688834e-05,0.0018578399904072285,0.0001194721189676784,1.659363624639809e-05,2.2971638827584684e-05,0.9979586601257324]",train_first,5,vehicle_type_swap,0.9979586601257324
1,repair,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,0.15587632358074188,1,"[0.9677392840385437,0.027578672394156456,0.004682044964283705]",train_first,0,greedy_insert_repair,0.9677392840385437
2,q_ratio,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,0.07972446829080582,1,"[0.0010849002283066511,0.0013020322658121586,0.9891195297241211,0.003233193652704358,3.312654735054821e-05,0.0005649988888762891,0.0006596723687835038,2.2384851035894826e-05,0.0024027477484196424,0.0015774557832628489]",train_first,2,0.166667,0.9891195297241211
3,threshold,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,0.07423992455005646,1,"[2.616418532852549e-05,1.751201125443913e-05,3.631363142631017e-05,4.0578779589850456e-06,3.493030453682877e-05,3.589337211451493e-05,9.546605724608526e-05,1.2329936907917727e-05,0.0005780148785561323,1.6688243704265915e-05,0.00015459078713320196,3.36255798174534e-05,1.0644681424309965e-05,3.1231636967277154e-05,0.00010364995250711218,1.4054397979634814e-05,0.0003799262922257185,7.984447734088462e-07,9.492044046055526e-05,6.740570370311616e-06,1.9522221919032745e-05,3.8212852814467624e-05,6.25559141553822e-06,1.4233647561923135e-05,0.0002074263757094741,1.0991046110575553e-05,1.074339343176689e-05,0.0005497788079082966,7.570388697786257e-05,3.1795382255950244e-06,0.00027276945183984935,3.196693796780892e-05,2.6445346520631574e-05,0.9917541742324829,2.9631073630298488e-06,1.9977213014499284e-05,0.0004746117629110813,0.00019381154561415315,4.519365029409528e-05,5.637288268189877e-06,1.8736418496700935e-05,3.5173643482266925e-06,5.643083932227455e-05,0.0009563021594658494,3.2499513054062845e-06,1.242840698978398e-05,8.112137948046438e-06,7.195284865701979e-07,1.4878090951242484e-05,2.2318095943774097e-05,5.6713406593189575e-06,2.4914046662161127e-05,1.618036094441777e-06,1.6438058082712814e-05,7.466758688678965e-05,4.956365955877118e-05,6.936353747732937e-05,4.4752574467565864e-05,8.653788972878829e-05,8.970468115876429e-06,1.2713641808659304e-05,6.303346890490502e-05,9.100139322981704e-06,2.0707069779746234e-05,1.4090001968725119e-05,5.098404926684452e-06,2.5787894628592767e-05,1.3142609532224014e-05,6.9380375862238e-06,2.9500988603103906e-05,7.80002028477611e-06,4.559332410281058e-06,2.952671638922766e-05,2.9215689210104756e-05,1.7732298147166148e-05,8.363310371350963e-06,0.00012650272401515394,7.363931672443869e-06,0.00046992278657853603,0.00014394489699043334,1.1059817097702762e-06,9.482738278165925e-06,3.3003213957272237e-06,1.0384817869635299e-05,5.419760782388039e-06,1.517319105914794e-06,2.778327825581073e-06,8.16790634416975e-06,1.3388169463723898e-05,2.592582404759014e-06,5.914014036534354e-05,1.5325987988035195e-05,0.001783782267011702,2.74821122729918e-05,6.237025900190929e-07,4.391050970298238e-05,1.1253194315941073e-05,8.580816029279958e-06,3.925396867998643e-06,1.224774769070791e-05]",train_first,33,33,0.9917541742324829
0,destroy,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,0.015923883765935898,2,"[2.5850144083960913e-05,0.0019152555614709854,0.00012390472693368793,1.7376793039147742e-05,2.4083610696834512e-05,0.9978935122489929]",train_first,5,vehicle_type_swap,0.9978935122489929
1,repair,models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,0.15792420506477356,2,"[0.9672138690948486,0.02800101414322853,0.004785154480487108]",train_first,0,greedy_insert_repair,0.9672138690948486
