feasible,cost_units,distance_units,route_count,trip_count,completed_clients,total_clients,duplicate_client_visits,completed_demand_units,total_demand_units,completed_pickup_units,total_pickup_units,iterations,solver_runtime_seconds,arm,seed,wall_clock_limit_seconds,observed_wall_seconds,node_operators
True,6296.0,6296.0,30,30,360,360,0,4814,4814,0,0,5557,60.002363499981584,default_hgs,11,60.0,60.053445958008524,"[""Exchange10"", ""Exchange20"", ""Exchange11"", ""Exchange21"", ""Exchange22"", ""SwapTails"", ""RelocateWithDepot""]"
True,6323.0,6323.0,31,31,360,360,0,4814,4814,0,0,3992,60.00460087499232,hgs_exchange3,11,60.0,60.04819320800016,"[""Exchange10"", ""Exchange20"", ""Exchange11"", ""Exchange21"", ""Exchange22"", ""SwapTails"", ""RelocateWithDepot"", ""Exchange30"", ""Exchange31"", ""Exchange32"", ""Exchange33""]"
