check,passed,value
curve_bound_actions,true,"{""action_count"": 2, ""curve_id"": ""NL90_mild"", ""curve_sha256"": ""605f66b161bb16e9383ceec724d10ec09c6033eb9e600f11b64e5af9b8fd1e54"", ""max_duration_error_seconds"": 0.0, ""missing_energy_state_count"": 0, ""missing_metadata_rejected"": true, ""shortened_action_rejected"": true}"
tampering_fails_closed,true,"{""action_count"": 2, ""curve_id"": ""NL90_mild"", ""curve_sha256"": ""605f66b161bb16e9383ceec724d10ec09c6033eb9e600f11b64e5af9b8fd1e54"", ""max_duration_error_seconds"": 0.0, ""missing_energy_state_count"": 0, ""missing_metadata_rejected"": true, ""shortened_action_rejected"": true}"
exact_carbon_retiming_improves,true,"{""aware_emissions_kg"": 0.12105513065196208, ""cut_locked_action_count"": 1, ""cut_release_second"": 5598.09021379412, ""moved_action_count"": 2, ""naive_emissions_kg"": 1.028968610541679, ""relative_reduction"": 0.8823529411764708}"
dynamic_cut_closes,true,"{""aware_emissions_kg"": 0.12105513065196208, ""cut_locked_action_count"": 1, ""cut_release_second"": 5598.09021379412, ""moved_action_count"": 2, ""naive_emissions_kg"": 1.028968610541679, ""relative_reduction"": 0.8823529411764708}"
l100_regression,true,"{""curve_id"": ""L100_control"", ""max_legacy_duration_error_seconds"": 0.0}"
legacy_formula_hits_zero,true,"{""battery_plus_time_power"": 0, ""energy_divided_by_power"": 0, ""gap_times_power"": 0, ""legacy_carbon_helper"": 0}"
target_tests,true,"{""command"": ""/opt/anaconda3/bin/python3 -m pytest -q solver/tests/test_nonlinear_dynamic_multitrip_nl3_20260720.py solver/tests/test_dynamic_multitrip_schedule.py solver/tests/test_nonlinear_multitrip_schedule_20260720.py solver/tests/test_nonlinear_cost_check_nl2_20260720.py"", ""returncode"": 0, ""stderr_tail"": """", ""stdout_tail"": ""......................                                                   [100%]\n22 passed in 0.20s\n""}"
ruff,true,"{""command"": ""/opt/anaconda3/bin/ruff check solver/src/setp_solver/search/dynamic_multitrip_schedule.py solver/tests/test_nonlinear_dynamic_multitrip_nl3_20260720.py baselines/model_verification/verify_china81_nonlinear_dynamic_nl3a_20260720.py"", ""returncode"": 0, ""stderr_tail"": """", ""stdout_tail"": ""All checks passed!\n""}"
