task_id,phase,budget,instance_id,sample_role,seed,arm,complete_candidate_evaluations_S,last_strict_improvement_evaluation_L,last_strict_improvement_fraction_L_over_S,starved_L_over_S_gt_0_5,wallclock_safety_triggered,elapsed_wall_seconds,elapsed_cpu_seconds,common_initial_solution_sha256,status,scientific_endpoints
E5-NONLINEAR-CHARGING-01,PILOT_BLIND,32,cn-prd-50c-01-V2-LOCATIONS,MAIN_EXHIBIT,1,L100_control,32,18,0.5625,1,0,70.64520766597707,65.390165,1a04478eda404b041805710415248d504ae104fd111e8d146eba60feafd5d6ae,PASS,NOT_RUN_UPSTREAM_PILOT_STARVATION_GATE_HALT
E5-NONLINEAR-CHARGING-01,PILOT_BLIND,32,cn-prd-50c-01-V2-LOCATIONS,MAIN_EXHIBIT,1,NL90_mild,32,18,0.5625,1,0,70.57392208400415,65.282978,1a04478eda404b041805710415248d504ae104fd111e8d146eba60feafd5d6ae,PASS,NOT_RUN_UPSTREAM_PILOT_STARVATION_GATE_HALT
E5-NONLINEAR-CHARGING-01,PILOT_BLIND,32,cn-prd-50c-01-V2-LOCATIONS,MAIN_EXHIBIT,2,L100_control,32,17,0.53125,1,0,70.79276933299843,65.225761,1a04478eda404b041805710415248d504ae104fd111e8d146eba60feafd5d6ae,PASS,NOT_RUN_UPSTREAM_PILOT_STARVATION_GATE_HALT
E5-NONLINEAR-CHARGING-01,PILOT_BLIND,32,cn-prd-50c-01-V2-LOCATIONS,MAIN_EXHIBIT,2,NL90_mild,32,17,0.53125,1,0,70.19540862500435,64.99291899999999,1a04478eda404b041805710415248d504ae104fd111e8d146eba60feafd5d6ae,PASS,NOT_RUN_UPSTREAM_PILOT_STARVATION_GATE_HALT
E5-NONLINEAR-CHARGING-01,PILOT_BLIND,32,cn-prd-50c-01-V2-LOCATIONS,MAIN_EXHIBIT,3,L100_control,32,18,0.5625,1,0,68.94965495803626,64.69397299999999,1a04478eda404b041805710415248d504ae104fd111e8d146eba60feafd5d6ae,PASS,NOT_RUN_UPSTREAM_PILOT_STARVATION_GATE_HALT
E5-NONLINEAR-CHARGING-01,PILOT_BLIND,32,cn-prd-50c-01-V2-LOCATIONS,MAIN_EXHIBIT,3,NL90_mild,32,18,0.5625,1,0,73.2554402500391,68.280811,1a04478eda404b041805710415248d504ae104fd111e8d146eba60feafd5d6ae,PASS,NOT_RUN_UPSTREAM_PILOT_STARVATION_GATE_HALT
E5-NONLINEAR-CHARGING-01,PILOT_BLIND,32,cn-prd-50c-01-V2-LOCATIONS,MAIN_EXHIBIT,4,L100_control,32,31,0.96875,1,0,68.85953745798906,64.55453000000001,1a04478eda404b041805710415248d504ae104fd111e8d146eba60feafd5d6ae,PASS,NOT_RUN_UPSTREAM_PILOT_STARVATION_GATE_HALT
E5-NONLINEAR-CHARGING-01,PILOT_BLIND,32,cn-prd-50c-01-V2-LOCATIONS,MAIN_EXHIBIT,4,NL90_mild,32,31,0.96875,1,0,69.33164024999132,64.98334799999999,1a04478eda404b041805710415248d504ae104fd111e8d146eba60feafd5d6ae,PASS,NOT_RUN_UPSTREAM_PILOT_STARVATION_GATE_HALT
E5-NONLINEAR-CHARGING-01,PILOT_BLIND,32,cn-prd-50c-01-V2-LOCATIONS,MAIN_EXHIBIT,5,L100_control,32,16,0.5,0,0,71.15915608400246,64.698184,1a04478eda404b041805710415248d504ae104fd111e8d146eba60feafd5d6ae,PASS,NOT_RUN_UPSTREAM_PILOT_STARVATION_GATE_HALT
E5-NONLINEAR-CHARGING-01,PILOT_BLIND,32,cn-prd-50c-01-V2-LOCATIONS,MAIN_EXHIBIT,5,NL90_mild,32,16,0.5,0,0,71.78802895802073,65.094022,1a04478eda404b041805710415248d504ae104fd111e8d146eba60feafd5d6ae,PASS,NOT_RUN_UPSTREAM_PILOT_STARVATION_GATE_HALT
