arm,stream_seed,stage,trigger_second,trigger_reason,event_ids,event_types,applied_event_ids,ignored_locked_event_ids,event_count,next_trigger_second,available_compute_seconds,committed_route_count,future_route_count,future_cost,running_total_cost,cross_site_customer_count,initial_continuation_feasible,changed_candidate_count,executable_candidate_count,accepted_candidate_count,evaluations,elapsed_seconds,completed_before_next_trigger,customer_accounting_pass
cooperative,1,1,10800.0,delta_t,1;2;3;4;5;6;7,cancel;add;add;demand_change;demand_change;add;demand_change,1;2;3;4;5;6;7,,7,17463.155806373295,6663.1558063732955,9,29,4773.041898363462,6492.139688478639,5,True,8,1,1,8,0.22080462501617149,True,True
independent,1,1,10800.0,delta_t,1;2;3;4;5;6;7,cancel;add;add;demand_change;demand_change;add;demand_change,1;2;3;4;5;6;7,,7,17463.155806373295,6663.1558063732955,9,31,5269.890349328716,6836.773014201639,0,True,8,0,0,8,0.14705033297650516,True,True
