instance_id,sample_role,seed,arm,budget,search_candidate_evaluations_S,last_search_improvement_evaluation_L,last_search_improvement_fraction_L_over_S,search_starved_L_over_S_gt_0_5,search_strict_improvement_flags_without_objectives,terminal_closure_evaluations,total_complete_candidate_evaluations,source_task_sha256,objective_or_between_arm_difference_read,status
cn-prd-100c-02-V2-LOCATIONS,MEDIUM_SCALE_VALIDATION,1,L100_control,32,30,11,0.36666666666666664,False,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2,32,6943a52319dbc58c5014fd6bcfcd83826675948d6f208bcc532152b92835648d,False,PASS_BLIND_RECLASSIFICATION
cn-prd-100c-02-V2-LOCATIONS,MEDIUM_SCALE_VALIDATION,1,NL90_mild,32,30,11,0.36666666666666664,False,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2,32,ea06679205eadfaa1f1e0c71fd3a9844493bb783e6cef08410ea27bcd3b48347,False,PASS_BLIND_RECLASSIFICATION
cn-prd-100c-02-V2-LOCATIONS,MEDIUM_SCALE_VALIDATION,2,L100_control,32,30,28,0.9333333333333333,True,"[1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0]",2,32,4ab61f4ce26c5b5bb2b9c8380e95376f1437bd0862d3857d42d5472489a2a798,False,PASS_BLIND_RECLASSIFICATION
cn-prd-100c-02-V2-LOCATIONS,MEDIUM_SCALE_VALIDATION,2,NL90_mild,32,30,28,0.9333333333333333,True,"[1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0]",2,32,bf6d00358b57a6a28925fd8e76646cb2984401239802a9efa066b44b930eed86,False,PASS_BLIND_RECLASSIFICATION
cn-prd-100c-02-V2-LOCATIONS,MEDIUM_SCALE_VALIDATION,3,L100_control,32,30,11,0.36666666666666664,False,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2,32,cf40c1a4e33f5af4f6eab044ac834697c7818336e82133edea4e933a8a949194,False,PASS_BLIND_RECLASSIFICATION
cn-prd-100c-02-V2-LOCATIONS,MEDIUM_SCALE_VALIDATION,3,NL90_mild,32,30,11,0.36666666666666664,False,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2,32,8efa4e79a7333f769ebdbfbe753eca5254e965a26f2e9b4c4382f8d70f7cdf06,False,PASS_BLIND_RECLASSIFICATION
cn-prd-100c-02-V2-LOCATIONS,MEDIUM_SCALE_VALIDATION,4,L100_control,32,30,12,0.4,False,"[1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2,32,166491d6864622bfe619a0bd2405d08827fe45adbbc6bf602f18d52dea24ba2c,False,PASS_BLIND_RECLASSIFICATION
cn-prd-100c-02-V2-LOCATIONS,MEDIUM_SCALE_VALIDATION,4,NL90_mild,32,30,12,0.4,False,"[1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2,32,2618c92085a32b04966882e487e56a3f829cc029e57ff7c795180fec354869e4,False,PASS_BLIND_RECLASSIFICATION
cn-prd-100c-02-V2-LOCATIONS,MEDIUM_SCALE_VALIDATION,5,L100_control,32,30,21,0.7,True,"[1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2,32,8a1db8d73739a41b2d4df3fb9ea0a53685cf873580b6a7ebbc50de5268b1a41e,False,PASS_BLIND_RECLASSIFICATION
cn-prd-100c-02-V2-LOCATIONS,MEDIUM_SCALE_VALIDATION,5,NL90_mild,32,30,21,0.7,True,"[1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2,32,9458166307ef655c218b442030de7b8d562aea1e26b1f8f1913fa570622a5284,False,PASS_BLIND_RECLASSIFICATION
