stream_seed,cooperative_demand_kg,independent_demand_kg,workload_equal,cooperative_E_total_per_kg,independent_E_total_per_kg,E_total_intensity_change_percent,cooperative_E_cv_direct_per_kg,independent_E_cv_direct_per_kg,E_cv_direct_intensity_change_percent,cooperative_E_ev_indirect_per_kg,independent_E_ev_indirect_per_kg,E_ev_indirect_intensity_change_percent,cooperative_fuel_liters_per_kg,independent_fuel_liters_per_kg,fuel_liters_intensity_change_percent,cooperative_electricity_kwh_per_kg,independent_electricity_kwh_per_kg,electricity_kwh_intensity_change_percent,cooperative_distance_total_per_kg,independent_distance_total_per_kg,distance_total_intensity_change_percent
1,103093.13418683824,102625.13418683824,False,0.03108295471325624,0.025784652347570176,20.54827924094681,0.029464620207623422,0.023518138157568758,25.28466331056453,0.0016183345056328118,0.002266514190001421,-28.59808631368873,0.011461175892370305,0.009148107668980622,25.28466331056453,0.023872752699332592,0.027880361573737314,-14.374307391263537,95.78085298528197,91.07851946827773,5.162944615763147
2,103531.96960336556,102699.27268644967,False,0.027753171732110737,0.021751911094482452,27.589578734305114,0.025913046514261635,0.019552337556933592,32.53170593442638,0.0018401252178491024,0.0021995735375488577,-16.341727774208188,0.010079681391253231,0.00760548679290405,32.53170593442637,0.026195090993149442,0.0281250100913299,-6.861932109227563,86.9705812462411,82.74599861199273,5.10548268812128
3,103464.35987311676,103455.42220935028,False,0.02802609638592025,0.025999593279611793,7.794364644533069,0.026324775525183957,0.024297901863449035,8.341764128959289,0.0017013208607362948,0.0017016914161627548,-0.021775712267244774,0.010239836132122808,0.009451420894286274,8.341764128959273,0.026415672017217458,0.026578415001273382,-0.612312600462168,91.49087405530915,89.58383094988551,2.1287804788014335
4,102443.0165374415,103020.22362873305,False,0.029170853407968256,0.024869044960481694,17.297843380485165,0.027262584535866607,0.022592545984958527,20.670705081300973,0.0019082688721016494,0.0022764989755231684,-16.17528087562152,0.010604625969872107,0.00878806994848279,20.670705081300998,0.026395015202480162,0.029542267223160605,-10.653386880926506,91.9456846045868,91.30815351067154,0.698219238264134
5,104738.12974653649,104784.51926385296,False,0.023782803342398254,0.02303687781901386,3.237962753653757,0.02213190853046153,0.021319793193280753,3.80920832495096,0.0016508948119367223,0.0017170846257331097,-3.854778780523275,0.008608890754880362,0.008292993361371374,3.8092083249509536,0.022440648416865296,0.022693023344305868,-1.1121256238600654,74.66438535927006,77.56881049871767,-3.744320843357041
