stream_seed,arm,served_customer_count,served_demand_kg,total_cost,E_total,E_total_per_kg,E_cv_direct,E_cv_direct_per_kg,E_ev_indirect,E_ev_indirect_per_kg,fuel_liters,fuel_liters_per_kg,electricity_kwh,electricity_kwh_per_kg,distance_total,distance_total_per_kg,emissions_closure_error
1,cooperative,234,103093.13418683824,10005.372757074345,3204.439221177142,0.03108295471325624,3037.6000448287473,0.029464620207623422,166.839176348394,0.0016183345056328118,1181.5685442110873,0.011461175892370305,2461.1168974415,0.023872752699332592,9874348.329341501,95.78085298528197,6.252776074688882e-13
1,independent,233,102625.13418683824,9947.047219405435,2646.153407130363,0.025784652347570176,2413.5520842450946,0.023518138157568758,232.60132288526881,0.002266514190001421,938.8257770847804,0.009148107668980622,2861.2258476823604,0.027880361573737314,9346945.281970562,91.07851946827773,-3.410605131648481e-13
2,cooperative,234,103531.96960336556,9069.56060925144,2873.3405321658734,0.027753171732110737,2682.8287440451336,0.025913046514261635,190.5117881207397,0.0018401252178491024,1043.569267410839,0.010079681391253231,2712.029364460143,0.026195090993149442,9004235.573972868,86.9705812462411,5.684341886080802e-14
2,independent,232,102699.27268644967,8868.870554082532,2233.905448943663,0.021751911094482452,2008.010846417034,0.019552337556933592,225.8946025266289,0.0021995735375488577,781.0779620576446,0.00760548679290405,2888.418080678638,0.0281250100913299,8497953.875165626,82.74599861199273,2.2737367544323206e-13
3,cooperative,234,103464.35987311676,9097.864875505426,2899.70212231151,0.02802609638592025,2723.676048516649,0.026324775525183957,176.02607379486076,0.0017013208607362948,1059.4580906156982,0.010239836132122808,2733.0805958796072,0.026415672017217458,9466044.718364507,91.49087405530915,-1.4210854715202004e-13
3,independent,234,103455.42220935028,9154.578724399353,2689.798900013624,0.025999593279611793,2513.7496960844787,0.024297901863449035,176.049203929145,0.0017016914161627548,977.8007390966615,0.009451420894286274,2749.6811456120668,0.026578415001273382,9267933.054051466,89.58383094988551,2.8421709430404007e-13
4,cooperative,233,102443.0165374415,9114.642733425235,2988.3502180837736,0.029170853407968256,2792.8613984611798,0.027262584535866607,195.4888196225941,0.0019082688721016494,1086.3698736049898,0.010604625969872107,2703.984978893695,0.026395015202480162,9419193.288494065,91.9456846045868,-2.5579538487363607e-13
4,independent,234,103020.22362873305,9473.712257178528,2562.0145732618407,0.024869044960481694,2327.489139712862,0.022592545984958527,234.5254335489785,0.0022764989755231684,905.3489313576455,0.00878806994848279,3043.450975829796,0.029542267223160605,9406586.39379607,91.30815351067154,2.842170943040401e-14
5,cooperative,232,104738.12974653649,8224.79672416924,2490.96634221247,0.023782803342398254,2318.0547072019576,0.02213190853046153,172.91163501051238,0.0016508948119367223,901.6791168584178,0.008608890754880362,2350.3915454820462,0.022440648416865296,7820208.081204627,74.66438535927006,-5.684341886080802e-14
5,independent,232,104784.51926385296,8530.755790843661,2413.908167605485,0.02303687781901386,2233.984280562688,0.021319793193280753,179.92388704279676,0.0017170846257331097,868.9773226296234,0.008292993361371374,2377.877541776483,0.022693023344305868,8128010.517977041,77.56881049871767,-1.1368683772161603e-13
