run_id,phase,algorithm,condition,seed,eval,operator,native_operator,best_cost_before,best_cost,best_signature
B1_LNS_true_repair_probe_1_no_downgrade_seed1,B1,LNS,true_repair_probe_1_no_downgrade,1,34,lns_vehicle_type_mutation,False,5303.620082891119,5234.453126805899,25522404567215e77f5edd7e93fa5e461a9a23fade7579e9d89973deed222e20
B1_LNS_true_repair_probe_1_no_downgrade_seed1,B1,LNS,true_repair_probe_1_no_downgrade,1,36,lns_vehicle_type_mutation,False,5234.453126805899,5205.390723131386,944a87347ca30b34dd68f0a76981fcdfe52b4f45cb92f4911b82ae8c8e57643b
B1_LNS_true_repair_probe_1_no_downgrade_seed1,B1,LNS,true_repair_probe_1_no_downgrade,1,37,lns_vehicle_type_mutation,False,5205.390723131386,5174.345121253789,7cc6d853424cabb63602f8e9157561513fd038792153be3eb53eab56e86f09d2
B2_GA_decode_probe_current_seed1,B2,GA,decode_probe_current,1,2,ga_vehicle_type_initialization,False,5803.553350198798,5762.057442807908,e12e52fc32ec323d0138a4e856fa5bcf21a4e36f8c1e33737557bfd2164f8470
B2_GA_decode_probe_current_seed1,B2,GA,decode_probe_current,1,5,ga_vehicle_type_initialization,False,5762.057442807908,5719.142314532386,9120af6e6745263df01aafbdb9dd6c8ebab459cc98d6f9941fa0ab962c0ef621
B2_GA_decode_probe_current_seed1,B2,GA,decode_probe_current,1,8,ga_vehicle_type_initialization,False,5719.142314532386,5663.503130443267,650c8387bb48dc2ad3109ae00df06b3a08f2c05323c326a90c671a3e99eadeb4
B2_GA_decode_probe_current_seed1,B2,GA,decode_probe_current,1,11,ga_vehicle_type_initialization,False,5663.503130443267,5620.83594947096,7489f8fa781ca5b7ba5ed0f46efab5927df8610cd3b1c8e6dcd4cf4fcbd5f8a0
B2_GA_decode_probe_current_seed1,B2,GA,decode_probe_current,1,14,ga_vehicle_type_initialization,False,5620.83594947096,5591.773545796448,ccd9757e6686ac776fe7c124916e0d43e0d6e42960f9d3618086ac288004fcb4
B2_GA_decode_probe_current_seed1,B2,GA,decode_probe_current,1,17,ga_vehicle_type_initialization,False,5591.773545796448,5553.6675072065045,dda92754fe1076becbe52537573742eae817891c9f4883d7c5a30bfba61c5f4a
B2_GA_decode_probe_current_seed1,B2,GA,decode_probe_current,1,20,ga_vehicle_type_initialization,False,5553.6675072065045,5484.500551121285,7b397b5cc5decffe7b74310ae4db8413895d0550b18af3ec765dfe6c3824470f
B2_GA_decode_probe_current_seed1,B2,GA,decode_probe_current,1,23,ga_vehicle_type_initialization,False,5484.500551121285,5436.746622056777,744f742510e4fe36bafc87b7d3a0d40c7fcf0701d6418773197814d18eac2b44
B2_GA_decode_probe_current_seed1,B2,GA,decode_probe_current,1,26,ga_vehicle_type_initialization,False,5436.746622056777,5413.4255456810515,4055305526225944d31ae119557c8b1276528980f7bfc8dafd06f395fb09533b
B2_GA_decode_probe_current_seed1,B2,GA,decode_probe_current,1,29,ga_vehicle_type_initialization,False,5413.4255456810515,5371.948760051337,8e7745d96c5cc0ed8d3608dcfe19af28118e02dfa4f5037cb74d84fcad40f022
B2_GA_decode_probe_current_seed1,B2,GA,decode_probe_current,1,32,ga_vehicle_type_initialization,False,5371.948760051337,5340.90315817374,49a28db09f7b420d479a494c173e84d2ed28e81cfdb4a3911ba3ed5e35a034ff
B2_GA_decode_probe_current_seed1,B2,GA,decode_probe_current,1,35,ga_vehicle_type_initialization,False,5340.90315817374,5291.554246548154,0a4d01dcdf3571a344d9362078b9091a6804920c2d59e296eea7979dab2dd8ad
B2_GA_decode_probe_current_seed1,B2,GA,decode_probe_current,1,38,ga_vehicle_type_initialization,False,5291.554246548154,5221.057718790401,53420a493fb4e955fa4950bf24b49535fdda953264d33f89f17515d1ea6475be
B2_GA_decode_probe_current_seed1,B2,GA,decode_probe_current,1,41,ga_vehicle_type_initialization,False,5221.057718790401,5174.345121253789,7cc6d853424cabb63602f8e9157561513fd038792153be3eb53eab56e86f09d2
B2_PSO_decode_probe_current_seed1,B2,PSO,decode_probe_current,1,2,pso_initial_particle,False,5803.553350198798,5754.2044385732115,0631dbe1fbeb430ce1fc15a058f11cdd0b5b86348756e0a1617096fdacd94a42
B2_PSO_decode_probe_current_seed1,B2,PSO,decode_probe_current,1,5,pso_initial_particle,False,5754.2044385732115,5711.537257600905,d98fac183e1c7551049133b8c8259e32a81472e4515e140540503aca29949f2d
B2_PSO_decode_probe_current_seed1,B2,PSO,decode_probe_current,1,8,pso_initial_particle,False,5711.537257600905,5673.431219010961,0feed5538d4c417926e30a52943888e279ade6178071901dc53de8f397eb59f9
B2_PSO_decode_probe_current_seed1,B2,PSO,decode_probe_current,1,11,pso_initial_particle,False,5673.431219010961,5631.954433381246,4891a9ad005ca4e13979a096e7ca402a63c7c4befec21508b9adcdd22b80d9cd
B2_PSO_decode_probe_current_seed1,B2,PSO,decode_probe_current,1,14,pso_initial_particle,False,5631.954433381246,5608.633357005522,c823693b4055f90d57a7bbac8c2b85d8c303fa04efabfc98b2542de9e914224d
B2_PSO_decode_probe_current_seed1,B2,PSO,decode_probe_current,1,17,pso_initial_particle,False,5608.633357005522,5552.994172916403,ab84c20cf01bb3487d3b0c5ee70fc4a826f94935c73150194be0f3c083689b90
B2_PSO_decode_probe_current_seed1,B2,PSO,decode_probe_current,1,20,pso_initial_particle,False,5552.994172916403,5482.497645158651,3a717e5a60aea28952e315f943c3e1f4dfcff492089c80bbb66cc5e42df44b1a
B2_PSO_decode_probe_current_seed1,B2,PSO,decode_probe_current,1,23,pso_initial_particle,False,5482.497645158651,5413.330689073431,0676d0c5088707e0f8f2672f064e9c7deb5bcde8279bc710c1025a1955929b2c
B2_PSO_decode_probe_current_seed1,B2,PSO,decode_probe_current,1,26,pso_initial_particle,False,5413.330689073431,5384.268285398918,39c56660070b784ff0288804456206c991997166a31b6d08a5ce765e9b9ae60a
B2_PSO_decode_probe_current_seed1,B2,PSO,decode_probe_current,1,29,pso_initial_particle,False,5384.268285398918,5336.51435633441,5217dc00a15ab5f36aa216a4d346c18e55b9030b07fe997928628dbcc4208a9f
B2_PSO_decode_probe_current_seed1,B2,PSO,decode_probe_current,1,32,pso_initial_particle,False,5336.51435633441,5295.01844894352,6cf56f43de0b2f68330768d09ffccf531e63a8245d131d53d0f9253887bdf6fa
B2_PSO_decode_probe_current_seed1,B2,PSO,decode_probe_current,1,35,pso_initial_particle,False,5295.01844894352,5252.103320667997,0314f564aef36cf7c92ed4a3c8df92a73cea6ccfc9e7b22e04dacf764a2653dd
B2_PSO_decode_probe_current_seed1,B2,PSO,decode_probe_current,1,38,pso_initial_particle,False,5252.103320667997,5205.390723131386,944a87347ca30b34dd68f0a76981fcdfe52b4f45cb92f4911b82ae8c8e57643b
B2_PSO_decode_probe_current_seed1,B2,PSO,decode_probe_current,1,41,pso_initial_particle,False,5205.390723131386,5174.345121253789,7cc6d853424cabb63602f8e9157561513fd038792153be3eb53eab56e86f09d2
