action_id,focus_customer_ids,focus_distance_advantage_km,status,evaluated,complete_model_feasible,violation_count,violations_json,cross_site_service_count,after_cost_cny,cost_change_cny,after_emissions_kg,minimum_participation_margin_cny,penalized_change_cny,improves_initial_penalized,maximum_charge_end_soc,charging_actions_entering_taper_region,wall_seconds,error_type,error
relocate:CV_D_dongguan_1#T1:C008->CV_D_foshan_1#T1@0,C008,,REJECTED_INTERFACE,False,,,[],,,,,,,,,,0.004442374978680164,ValueError,E3_STRICT_MULTITRIP_V2: route CV_D_foshan_1#T1 misses C036's time window
relocate:CV_D_dongguan_1#T1:C008->CV_D_foshan_1#T1@1,C008,,REJECTED_INTERFACE,False,,,[],,,,,,,,,,0.0025497080059722066,ValueError,E3_STRICT_MULTITRIP_V2: route CV_D_foshan_1#T1 misses C023's time window
relocate:CV_D_dongguan_1#T1:C008->CV_D_foshan_1#T1@2,C008,,REJECTED_INTERFACE,False,,,[],,,,,,,,,,0.002747540973359719,ValueError,E3_STRICT_MULTITRIP_V2: route CV_D_foshan_1#T1 misses C022's time window
relocate:CV_D_dongguan_1#T1:C008->CV_D_foshan_1#T1@3,C008,,REJECTED_INTERFACE,False,,,[],,,,,,,,,,0.0015382089768536389,ValueError,E3_STRICT_MULTITRIP_V2: route CV_D_foshan_1#T1 misses C037's time window
relocate:CV_D_dongguan_1#T1:C008->CV_D_foshan_1#T1@4,C008,,REJECTED_INTERFACE,False,,,[],,,,,,,,,,0.0014959999825805426,ValueError,E3_STRICT_MULTITRIP_V2: route CV_D_foshan_1#T1 misses C034's time window
relocate:CV_D_dongguan_1#T1:C008->CV_D_foshan_1#T1@5,C008,,REJECTED_INTERFACE,False,,,[],,,,,,,,,,0.0014933329948689789,ValueError,E3_STRICT_MULTITRIP_V2: route CV_D_foshan_1#T1 misses C025's time window
relocate:CV_D_dongguan_1#T1:C008->CV_D_foshan_1#T1@6,C008,,REJECTED_INTERFACE,False,,,[],,,,,,,,,,0.0015036249824333936,ValueError,E3_STRICT_MULTITRIP_V2: route CV_D_foshan_1#T1 misses C008's time window
relocate:CV_D_dongguan_1#T1:C008->CV_D_foshan_1#T2@0,C008,,REJECTED_INTERFACE,False,,,[],,,,,,,,,,0.0019492499995976686,ValueError,E3_STRICT_MULTITRIP_V2: CV_D_foshan_1 has overlap or incomplete recharge
relocate:CV_D_dongguan_1#T1:C008->CV_D_foshan_1#T2@1,C008,,REJECTED_INTERFACE,False,,,[],,,,,,,,,,0.0016473330033477396,ValueError,E3_STRICT_MULTITRIP_V2: route CV_D_foshan_1#T2 misses C008's time window
relocate:CV_D_dongguan_1#T1:C008->CV_D_foshan_1#T2@2,C008,,REJECTED_INTERFACE,False,,,[],,,,,,,,,,0.0019292499928269535,ValueError,E3_STRICT_MULTITRIP_V2: route CV_D_foshan_1#T2 misses C008's time window
relocate:CV_D_dongguan_1#T1:C008->CV_D_foshan_2#T1@0,C008,,REJECTED_INTERFACE,False,,,[],,,,,,,,,,0.0023414169845636934,ValueError,E3_STRICT_MULTITRIP_V2: route CV_D_foshan_2#T1 misses C027's time window
relocate:CV_D_dongguan_1#T1:C008->CV_D_foshan_2#T1@1,C008,,REJECTED_INTERFACE,False,,,[],,,,,,,,,,0.0015391670167446136,ValueError,E3_STRICT_MULTITRIP_V2: route CV_D_foshan_2#T1 misses C008's time window
relocate:CV_D_dongguan_1#T1:C008->CV_D_foshan_2#T1@2,C008,,REJECTED_INTERFACE,False,,,[],,,,,,,,,,0.0015076670097187161,ValueError,E3_STRICT_MULTITRIP_V2: route CV_D_foshan_2#T1 misses C008's time window
