actual_evals,algorithm,cost,elapsed_seconds,ev_routes,eval_budget,instance,pair_role,routes,run_id,seed,status,violations
1600,LNS,5970.054667816366,117.42923454099218,26,1600,L-main-threeshift-100c-01,development,31,L-main-threeshift-100c-01__seed2__LNS,2,OK,0
1600,proportional_true_lns_middle,5331.156479708252,99.864028416996,26,1600,L-main-threeshift-100c-01,development,31,L-main-threeshift-100c-01__seed2__proportional_true_lns_middle,2,OK,0
1600,staged,6038.350420394927,20.669324249989586,31,1600,L-main-threeshift-100c-01,development,35,L-main-threeshift-100c-01__seed2__staged,2,OK,0
1600,LNS,6250.339500505469,106.71005304199934,22,1600,L-main-threeshift-100c-01,guard,30,L-main-threeshift-100c-01__seed4__LNS,4,OK,0
1600,proportional_true_lns_middle,4770.433417057921,117.54813675000332,30,1600,L-main-threeshift-100c-01,guard,31,L-main-threeshift-100c-01__seed4__proportional_true_lns_middle,4,OK,0
1600,staged,4755.8218423428325,61.295664584002225,29,1600,L-main-threeshift-100c-01,guard,31,L-main-threeshift-100c-01__seed4__staged,4,OK,0
1600,LNS,8894.748475288605,182.7132125000062,40,1600,L-main-threeshift-150c-01,development,50,L-main-threeshift-150c-01__seed3__LNS,3,OK,0
1600,proportional_true_lns_middle,9596.830831561265,154.71651691599982,38,1600,L-main-threeshift-150c-01,development,50,L-main-threeshift-150c-01__seed3__proportional_true_lns_middle,3,OK,0
1600,staged,9871.117982041302,44.72926199999347,31,1600,L-main-threeshift-150c-01,development,46,L-main-threeshift-150c-01__seed3__staged,3,OK,0
1600,LNS,10110.52794427708,166.3264589169994,30,1600,L-main-threeshift-150c-01,guard,45,L-main-threeshift-150c-01__seed4__LNS,4,OK,0
1600,proportional_true_lns_middle,7680.984931390085,182.8846458340122,41,1600,L-main-threeshift-150c-01,guard,49,L-main-threeshift-150c-01__seed4__proportional_true_lns_middle,4,OK,0
1600,staged,7664.010099262553,55.32289524999214,41,1600,L-main-threeshift-150c-01,guard,49,L-main-threeshift-150c-01__seed4__staged,4,OK,0
1600,LNS,1030.2016122091868,14.007389459002297,0,1600,L-main-threeshift-15c-01,development,4,L-main-threeshift-15c-01__seed2__LNS,2,OK,0
1600,proportional_true_lns_middle,1063.7886084402815,13.996757415996399,0,1600,L-main-threeshift-15c-01,development,5,L-main-threeshift-15c-01__seed2__proportional_true_lns_middle,2,OK,0
1600,staged,1057.052148183385,4.827843083010521,0,1600,L-main-threeshift-15c-01,development,4,L-main-threeshift-15c-01__seed2__staged,2,OK,0
1600,LNS,1120.9920695142848,26.47638491599355,6,1600,L-main-threeshift-20c-01,development,6,L-main-threeshift-20c-01__seed3__LNS,3,OK,0
1600,proportional_true_lns_middle,1211.743817555197,21.1261374589958,6,1600,L-main-threeshift-20c-01,development,7,L-main-threeshift-20c-01__seed3__proportional_true_lns_middle,3,OK,0
1600,staged,1202.478509309506,5.919026416988345,7,1600,L-main-threeshift-20c-01,development,7,L-main-threeshift-20c-01__seed3__staged,3,OK,0
1600,LNS,2619.2272945298537,65.25788674999785,15,1600,L-main-threeshift-50c-01,development,17,L-main-threeshift-50c-01__seed5__LNS,5,OK,0
1600,proportional_true_lns_middle,3214.9217302152238,47.097222249998595,12,1600,L-main-threeshift-50c-01,development,16,L-main-threeshift-50c-01__seed5__proportional_true_lns_middle,5,OK,0
1600,staged,2983.0605133613635,8.449313709003036,14,1600,L-main-threeshift-50c-01,development,17,L-main-threeshift-50c-01__seed5__staged,5,OK,0
1600,LNS,4338.746816797046,85.23827933300345,25,1600,L-main-threeshift-75c-01,development,27,L-main-threeshift-75c-01__seed1__LNS,1,OK,0
1600,proportional_true_lns_middle,4374.479217504191,69.97674458300753,26,1600,L-main-threeshift-75c-01,development,28,L-main-threeshift-75c-01__seed1__proportional_true_lns_middle,1,OK,0
1600,staged,4176.614678972302,15.131411416994524,29,1600,L-main-threeshift-75c-01,development,29,L-main-threeshift-75c-01__seed1__staged,1,OK,0
1600,LNS,4262.491163177121,80.94803354200849,21,1600,L-main-threeshift-75c-01,guard,25,L-main-threeshift-75c-01__seed5__LNS,5,OK,0
1600,proportional_true_lns_middle,3868.0832732026283,74.0919620420027,26,1600,L-main-threeshift-75c-01,guard,27,L-main-threeshift-75c-01__seed5__proportional_true_lns_middle,5,OK,0
1600,staged,3755.2360143305314,22.885901542002102,23,1600,L-main-threeshift-75c-01,guard,25,L-main-threeshift-75c-01__seed5__staged,5,OK,0
