stage,trigger_second,trigger_cause,revealed_in_batch,active_customers,committed_customers,future_customers,iterations,runtime_seconds,population_size,initial_feasible_candidates,best_cost,best_emissions_kg,history_preserved,completed_customers,total_active_customers,termination_status,readiness_charging_kwh_cumulative
1,23400.0,fixed_interval,1,41,0,41,0,0.0687138750217855,2,1,1979.290133754428,163.430351202655,True,41,41,MECHANICAL_REGRET2_INSERTION,0
2,25200.0,fixed_interval,1,42,0,42,0,0.06372695899335667,2,1,2246.08539200961,182.30233759817463,True,42,42,MECHANICAL_REGRET2_INSERTION,0
3,27000.0,fixed_interval,1,43,0,43,0,0.0689944580080919,2,1,2281.086229119684,189.3256570464732,True,43,43,MECHANICAL_REGRET2_INSERTION,0
4,30600.0,fixed_interval,2,45,0,45,0,0.20931620802730322,2,1,2295.262892228849,192.42840106345994,True,45,45,MECHANICAL_REGRET2_INSERTION,0
5,41400.0,fixed_interval,2,47,0,47,0,0.20054066699231043,2,1,2335.8756481844216,200.75223751050743,True,47,47,MECHANICAL_REGRET2_INSERTION,0
6,43200.0,fixed_interval,1,48,24,24,0,0.03883233398664743,2,1,2336.097376052311,200.8308091596778,True,48,48,MECHANICAL_REGRET2_INSERTION,0
