task,seed,evaluation_budget,baseline_v7_cost,candidate_cost,candidate_minus_baseline,relative_improvement,strict_win,nonloss,baseline_evaluations,candidate_evaluations,baseline_elapsed_seconds,candidate_elapsed_seconds,baseline_feasible,candidate_feasible,normalizer_calls,normalizer_improvements,joint_updates_inside_search,carbon_updates_inside_search,route_proxy_evaluations,carbon_route_local_evaluations,mechanism_feasibility_checks
DEV-fullsource-donor02-25c,1,100,1399.662240661431,1500.5334989287383,100.87125826730721,-0.07206828571701628,False,False,100,100,2.011447124998085,2.8862446249695495,True,True,102,15,6,15,1456,21606,136
DEV-fullsource-donor02-50c,1,100,2798.611724058522,2950.1762098137233,151.56448575520108,-0.05415702523228324,False,False,100,100,6.527809125022031,7.131841959024314,True,True,102,36,8,34,2297,20072,149
