category,instance,profile,algorithm,display_algorithm,seed,run_id,status,gate_status,eval_budget,actual_evals,raw_best_cost,raw_route_count,raw_feasible,identity_cluster_class,replay_status,replay_violation_count,total_cost,best_cost_abs_diff,route_count,cv_route_count,ev_route_count,cost_fix,cost_km,cost_fuel,cost_elec,cost_occ,cost_transship,cost_carbon,E_total,E_cv_direct,E_ev_indirect,distance_total,distance_cv,distance_ev,fuel_liters,electricity_kwh,delta_vs_lns_total_cost,delta_vs_lns_route_count,delta_vs_lns_cost_fix,delta_vs_lns_cost_km,delta_vs_lns_cost_fuel,delta_vs_lns_cost_elec,delta_vs_lns_cost_occ,delta_vs_lns_cost_carbon,delta_vs_lns_E_total,delta_vs_lns_distance_total,delta_vs_lns_electricity_kwh,gap_vs_lns
multidepot,e2-multidepot-15c-01,A0_CURRENT,t3_main_alns,alns_e2_throughput+LOCAL_SEARCH,1,D_G5_TIER1__formal_goeke80__multidepot__e2-multidepot-15c-01__t3_main_alns__seed1,OK,OK,16000,16000,649.8601526479185,3,True,SECONDARY_ATTRACTOR,OK,0,649.8601526479185,0.0,3,3,0,240.0,221.0853615912497,173.13954708909415,0.0,0.0,0.0,15.63524396757479,310.59284798519644,310.59284798519644,0.0,631672.4616892849,631672.4616892849,0,120.81470036221768,0,28.488831208454485,1.0,80.0,-24.037405633533012,-25.1982528142932,0.0,0.0,-2.2755103437192634,-45.20282764638978,-68678.30181009439,0.0,-0.04584832003906694
multidepot,e2-multidepot-15c-01,A0_CURRENT,t3_main_alns,alns_e2_throughput+LOCAL_SEARCH,2,D_G5_TIER1__formal_goeke80__multidepot__e2-multidepot-15c-01__t3_main_alns__seed2,OK,OK,16000,16000,649.8601526479185,3,True,SECONDARY_ATTRACTOR,OK,0,649.8601526479185,0.0,3,3,0,240.0,221.0853615912497,173.13954708909415,0.0,0.0,0.0,15.63524396757479,310.59284798519644,310.59284798519644,0.0,631672.4616892849,631672.4616892849,0,120.81470036221768,0,27.576687456077707,1.0,80.0,-24.037405633533012,-26.034848396164364,0.0,0.0,-2.351058514224869,-46.70358590037483,-68678.30181009439,0.0,-0.04431531448063821
multidepot,e2-multidepot-15c-01,A0_CURRENT,t3_main_alns,alns_e2_throughput+LOCAL_SEARCH,3,D_G5_TIER1__formal_goeke80__multidepot__e2-multidepot-15c-01__t3_main_alns__seed3,OK,OK,16000,16000,649.8601526479185,3,True,SECONDARY_ATTRACTOR,OK,0,649.8601526479185,0.0,3,3,0,240.0,221.0853615912497,173.13954708909415,0.0,0.0,0.0,15.63524396757479,310.59284798519644,310.59284798519644,0.0,631672.4616892849,631672.4616892849,0,120.81470036221768,0,28.488831208454485,1.0,80.0,-24.037405633533012,-25.1982528142932,0.0,0.0,-2.2755103437192634,-45.20282764638978,-68678.30181009439,0.0,-0.04584832003906694
multidepot,e2-multidepot-20c-01,LNS_REFERENCE,LNS,LNS,1,D_G5_TIER1__formal_goeke80__multidepot__e2-multidepot-20c-01__LNS__seed1,OK,OK,16000,16000,700.4933751651098,3,True,,OK,0,700.4933751651098,0.0,3,2,1,240.0,256.2597294840396,173.98869661797863,14.29810340901287,0.0,0.0,15.946845654078611,316.78279010883216,312.1161266062604,4.6666635025717085,732170.6556686846,609679.177660608,122491.47800807664,121.40722672387037,77.1619180194974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
multidepot,e2-multidepot-20c-01,LNS_REFERENCE,LNS,LNS,2,D_G5_TIER1__formal_goeke80__multidepot__e2-multidepot-20c-01__LNS__seed2,OK,OK,16000,16000,705.750850756463,3,True,SECONDARY_ATTRACTOR,OK,0,705.750850756463,0.0,3,3,0,240.0,249.6258482782549,198.2244813210952,0.0,0.0,0.0,17.900521157113015,355.5923948572311,355.5923948572311,0.0,713216.7093664426,713216.7093664426,0,138.31866675116544,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
multidepot,e2-multidepot-20c-01,LNS_REFERENCE,LNS,LNS,3,D_G5_TIER1__formal_goeke80__multidepot__e2-multidepot-20c-01__LNS__seed3,OK,OK,16000,16000,705.750850756463,3,True,SECONDARY_ATTRACTOR,OK,0,705.750850756463,0.0,3,3,0,240.0,249.6258482782549,198.2244813210952,0.0,0.0,0.0,17.900521157113015,355.5923948572311,355.5923948572311,0.0,713216.7093664426,713216.7093664426,0,138.31866675116544,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
multidepot,e2-multidepot-20c-01,A1_RELAXED_ROUTE_COMPRESSION,alns_component_RELAXED_ROUTE_COMPRESSION,alns_e2_throughput+RELAXED_ROUTE_COMPRESSION,1,ROUTE_COMPRESSION_PROBE__formal_goeke80__multidepot__e2-multidepot-20c-01__alns_component_RELAXED_ROUTE_COMPRESSION__RELAXED_ROUTE_COMPRESSION__seed1,OK,OK,16000,16000,727.4079495694979,3,True,,OK,0,727.4079495694979,0.0,3,3,0,240.0,261.46026190086013,207.23360407286765,0.0,0.0,0.0,18.714083595770123,371.7537464396131,371.7537464396131,0.0,747029.3197167432,747029.3197167432,0,144.6051246060063,0,26.914574404388077,0.0,0.0,5.200532416820522,33.24490745488902,-14.29810340901287,0.0,2.767237941691512,54.97095633078095,14858.664048058563,-77.1619180194974,-0.038422311128987016
multidepot,e2-multidepot-20c-01,A1_RELAXED_ROUTE_COMPRESSION,alns_component_RELAXED_ROUTE_COMPRESSION,alns_e2_throughput+RELAXED_ROUTE_COMPRESSION,2,ROUTE_COMPRESSION_PROBE__formal_goeke80__multidepot__e2-multidepot-20c-01__alns_component_RELAXED_ROUTE_COMPRESSION__RELAXED_ROUTE_COMPRESSION__seed2,OK,OK,16000,16000,725.8712528447718,3,True,,OK,0,725.8712528447718,0.0,3,3,0,240.0,259.509688250654,207.61320170360597,0.0,0.0,0.0,18.7483628905118,372.43470183773934,372.43470183773934,0.0,741456.2521447258,741456.2521447258,0,144.87000328211985,0,20.120402088308765,0.0,0.0,9.883839972399102,9.388720382510769,0.0,0.0,0.8478417333987842,16.842306980508226,28239.542778283125,0.0,-0.028509214075679256
multidepot,e2-multidepot-20c-01,A1_RELAXED_ROUTE_COMPRESSION,alns_component_RELAXED_ROUTE_COMPRESSION,alns_e2_throughput+RELAXED_ROUTE_COMPRESSION,3,ROUTE_COMPRESSION_PROBE__formal_goeke80__multidepot__e2-multidepot-20c-01__alns_component_RELAXED_ROUTE_COMPRESSION__RELAXED_ROUTE_COMPRESSION__seed3,OK,OK,16000,16000,705.750850756463,3,True,,OK,0,705.750850756463,0.0,3,3,0,240.0,249.6258482782549,198.2244813210952,0.0,0.0,0.0,17.900521157113015,355.5923948572311,355.5923948572311,0.0,713216.7093664426,713216.7093664426,0,138.31866675116544,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
multidepot,e2-multidepot-20c-01,A2_RELAXED_ROUTE_COMPRESSION_LOCAL_SEARCH,alns_component_stack,alns_e2_throughput+RELAXED_ROUTE_COMPRESSION+LOCAL_SEARCH,1,ROUTE_COMPRESSION_PROBE__formal_goeke80__multidepot__e2-multidepot-20c-01__alns_component_stack__RELAXED_ROUTE_COMPRESSION-LOCAL_SEARCH__seed1,OK,OK,16000,16000,707.0076075763136,3,True,,OK,0,707.0076075763136,0.0,3,3,0,240.0,250.27142160943333,198.7850436283009,0.0,0.0,0.0,17.951142338579302,356.59798050415776,356.59798050415776,0.0,715061.204598381,715061.204598381,0,138.70982040911375,0,6.514232411203807,0.0,0.0,-5.988307874606278,24.79634701032228,-14.29810340901287,0.0,2.004296684500691,39.8151903953256,-17109.45107030368,-77.1619180194974,-0.009299491818417797
multidepot,e2-multidepot-20c-01,A2_RELAXED_ROUTE_COMPRESSION_LOCAL_SEARCH,alns_component_stack,alns_e2_throughput+RELAXED_ROUTE_COMPRESSION+LOCAL_SEARCH,2,ROUTE_COMPRESSION_PROBE__formal_goeke80__multidepot__e2-multidepot-20c-01__alns_component_stack__RELAXED_ROUTE_COMPRESSION-LOCAL_SEARCH__seed2,OK,OK,16000,16000,707.2366001999801,3,True,,OK,0,707.2366001999801,0.0,3,3,0,240.0,250.5909694153628,198.70198866552863,0.0,0.0,0.0,17.943642119088754,356.44898925484216,356.44898925484216,0.0,715974.1983296081,715974.1983296081,0,138.65186565175398,0,1.4857494435170793,0.0,0.0,0.9651211371079,0.4775073444334339,0.0,0.0,0.043120961975738226,0.8565943976110475,2757.488963165437,0.0,-0.0021052039001080484
