category,instance,a0_display_algorithm,lns_mean_best_cost,a0_mean_best_cost,gap_vs_lns,gap_pct_vs_lns,reason,a0_mean_delta_vs_lns_total_cost,a0_mean_delta_vs_lns_route_count,a0_mean_delta_vs_lns_cost_fix,a0_mean_delta_vs_lns_cost_km,a0_mean_delta_vs_lns_cost_fuel,a0_mean_delta_vs_lns_cost_elec,a0_mean_delta_vs_lns_cost_carbon,a0_mean_delta_vs_lns_E_total,a0_mean_delta_vs_lns_distance_total,a0_mean_delta_vs_lns_electricity_kwh
multidepot,e2-multidepot-100c-01,alns_e2_throughput+LOCAL_SEARCH,2475.004622325828,2506.1061743218056,-0.01256626016591049,-1.256626016591049,A0 loses to LNS in current Tier1 material,31.10155199597739,0.0,0.0,-4.569524063420128,46.886748366919015,-18.01578965790928,3.845888205689169,76.39825597316583,-13055.783038343148,-117.4629688839171
multidepot,e2-multidepot-10c-01,alns_e2_throughput+LOCAL_SEARCH,371.9993673208387,382.6002786615819,-0.028497121963114068,-2.849712196311407,A0 loses to LNS in current Tier1 material,10.60091134074321,0.0,0.0,4.20941873105546,9.08958610120284,-2.9640675798260716,0.7791980333135591,15.478705469081433,12026.910660158455,-12.480200237667868
multidepot,e2-multidepot-150c-01,alns_e2_throughput+LOCAL_SEARCH,3484.5202168739524,3521.923323711702,-0.010734076575771643,-1.0734076575771643,A0 loses to LNS in current Tier1 material,37.40310683774957,1.3333333333333333,106.66666666666667,-14.404974394941405,-22.435317930686136,-15.91082097331443,-2.00548019133551,-39.8387006622072,-41157.06969983255,13.514960048325293
multidepot,e2-multidepot-15c-01,alns_e2_throughput+LOCAL_SEARCH,621.6753693569229,649.8601526479185,-0.045336818346447705,-4.533681834644771,A0 loses to LNS in current Tier1 material,28.184783290995558,1.0,80.0,-24.037405633533012,-25.477118008250255,0.0,-2.300693067221132,-45.70308039771813,-68678.30181009439,0.0
multidepot,e2-multidepot-20c-01,alns_e2_throughput+LOCAL_SEARCH,703.9983588926787,706.1697696964133,-0.003084397536309632,-0.3084397536309632,A0 loses to LNS in current Tier1 material,2.1714108037346023,0.0,0.0,-1.9961026248687592,8.265449003440759,-4.766034469670957,0.6680988948335637,13.2717301317752,-5703.150356767893,-25.72063933983247
multidepot,e2-multidepot-50c-01,alns_e2_throughput+LOCAL_SEARCH,1203.2249492205851,1218.0148805862648,-0.012291908819926105,-1.2291908819926105,A0 loses to LNS in current Tier1 material,14.7899313656798,0.0,0.0,4.181274514709723,13.953625745678465,-4.518867756215279,1.1738988615067225,23.31940527426944,11946.498613456264,-24.386766088587574
multidepot,e2-multidepot-75c-01,alns_e2_throughput+LOCAL_SEARCH,2010.6464476622687,2045.8486369636573,-0.0175078962004073,-1.75078962004073,A0 loses to LNS in current Tier1 material,35.20218930138867,0.0,0.0,2.9736158259180834,64.1254802676895,-32.868169118196114,5.358324771564658,106.44268517212276,8496.045216908833,-147.32451187138295
threeshift,e2-threeshift-100c-01,alns_e2_throughput+LOCAL_SEARCH,2687.0157578586277,2745.3297058863445,-0.021702123576003575,-2.1702123576003576,A0 loses to LNS in current Tier1 material,58.313948027716684,0.6666666666666666,53.333333333333336,8.815079038622002,-14.628342440841758,10.291048467756307,-0.9510576543130375,-18.89268284292878,25185.940110348474,45.57735537244189
threeshift,e2-threeshift-150c-01,alns_e2_throughput+LOCAL_SEARCH,3895.1719318922487,3910.8642129914824,-0.004028649151723193,-0.40286491517231926,A0 loses to LNS in current Tier1 material,15.692281099233696,0.3333333333333333,26.666666666666668,-2.3760032640093414,12.789136769985475,-15.565261868533204,0.5669479853666223,11.262375553568214,-6788.580754312221,-40.231002698539974
threeshift,e2-threeshift-50c-01,alns_e2_throughput+LOCAL_SEARCH,1345.1558380780812,1376.5313600562195,-0.023324823109690185,-2.3324823109690187,A0 loses to LNS in current Tier1 material,31.375521978138295,0.3333333333333333,26.666666666666668,4.546370491965661,-1.874602714773232,2.3483539339673682,-0.31126639968820297,-6.18328167835125,12989.629977044728,12.67325382605164
threeshift,e2-threeshift-75c-01,alns_e2_throughput+LOCAL_SEARCH,1897.6307622604531,1946.959506142054,-0.02599491158271511,-2.599491158271511,A0 loses to LNS in current Tier1 material,49.32874388160068,0.3333333333333333,26.666666666666668,8.481030211957659,13.6799294678241,-1.403260489807541,1.002721685158041,19.91898460782757,24231.514891307568,-13.749719630610324
vanilla,e2-vanilla-100c-01,alns_e2_throughput+LOCAL_SEARCH,2862.6088060443926,2885.4070227187867,-0.007964139782654098,-0.7964139782654098,A0 loses to LNS in current Tier1 material,22.798216674394098,0.0,0.0,5.391472907697903,10.21086573473004,2.153521062683557,0.884648743077553,17.573475229987178,15404.208307708303,-16.860624714846086
vanilla,e2-vanilla-150c-01,alns_e2_throughput+LOCAL_SEARCH,3502.6459731291147,3510.998937536108,-0.0023847584000991516,-0.23847584000991515,A0 loses to LNS in current Tier1 material,8.352964406993124,0.6666666666666666,53.333333333333336,-17.477375356975283,-49.11700973574447,20.409668134546155,-4.242493089493299,-84.27677968798768,-49935.35816278666,72.83026451772248
vanilla,e2-vanilla-15c-01,alns_e2_throughput+LOCAL_SEARCH,643.916335225442,671.0131126090754,-0.04208120822738018,-4.208120822738018,A0 loses to LNS in current Tier1 material,27.096777383633366,0.3333333333333333,26.666666666666668,1.7069734833181087,-1.1711067978067433,0.0,-0.10575596854467643,-2.100833701721816,4877.067095194594,0.0
vanilla,e2-vanilla-25c-01,alns_e2_throughput+LOCAL_SEARCH,640.1754851140676,647.8097861446099,-0.011925325489747654,-1.1925325489747653,A0 loses to LNS in current Tier1 material,7.634301030542322,0.0,0.0,4.438255063210552,2.9313339358623884,0.0,0.2647120314693628,5.258482945358803,12680.728752030138,0.0
vanilla,e2-vanilla-50c-01,alns_e2_throughput+LOCAL_SEARCH,1392.47435399395,1392.884744094468,-0.0002947200423052289,-0.029472004230522892,A0 loses to LNS in current Tier1 material,0.41039010051804325,0.0,0.0,8.630995743062234,-31.774209582929057,22.18041472750873,-2.59972877697732,-51.643400416712744,24659.987837320736,92.48350043814713
