profile,rows,ok_rows,instance_count,wins_vs_lns,losses_vs_lns,ties_vs_lns,mean_gap_vs_lns,median_gap_vs_lns,mean_total_delta_vs_lns,mean_cost_fix_delta_vs_lns,mean_route_count,mean_route_count_delta_vs_lns,mean_route_count_delta_vs_a0,infeasible_rows,under_eval_rows,identity_halt_rows,route_count_not_higher_than_a0,anchor_parity_ok,eligible_for_support,root_cause_route_fixed_supported
A0_CURRENT,48,48,16,0,16,0,-0.016857446185637868,-0.012429084492918394,23.77856434493994,24.999999999999964,10.166666666666666,0.31250000000000033,0.0,0,0,0,True,False,False,True
A1_RELAXED_ROUTE_COMPRESSION,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,0,0,0,False,False,False,True
A2_RELAXED_ROUTE_COMPRESSION_LOCAL_SEARCH,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,0,0,0,False,False,False,True
