status,channel,error_type,error,count
REJECTED_CHARGING,depot_collaboration,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_shenzhen_1#T1 misses C002's time window,341
REJECTED_CHARGING,depot_collaboration,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_shenzhen_1#T1 misses C003's time window,143
REJECTED_CHARGING,depot_collaboration,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_shenzhen_1#T1 misses C007's time window,23
REJECTED_CHARGING,depot_collaboration,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_shenzhen_1#T1 misses C008's time window,341
REJECTED_CHARGING,depot_collaboration,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_shenzhen_1#T1 misses C009's time window,317
REJECTED_CHARGING,depot_collaboration,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_shenzhen_1#T1 misses C011's time window,249
REJECTED_CHARGING,depot_collaboration,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_shenzhen_1#T1 misses C014's time window,249
REJECTED_CHARGING,depot_collaboration,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_shenzhen_1#T1 misses C015's time window,341
REJECTED_CHARGING,depot_collaboration,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_shenzhen_1#T1 misses C016's time window,341
REJECTED_CHARGING,depot_collaboration,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_shenzhen_1#T1 misses C020's time window,341
REJECTED_CHARGING,depot_collaboration,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_shenzhen_1#T1 misses C021's time window,249
REJECTED_CHARGING,depot_collaboration,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_shenzhen_1#T1 misses C022's time window,341
REJECTED_CHARGING,depot_collaboration,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_shenzhen_1#T1 misses C023's time window,157
REJECTED_CHARGING,depot_collaboration,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_shenzhen_1#T1 misses C028's time window,733
REJECTED_CHARGING,depot_collaboration,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_shenzhen_1#T1 misses C030's time window,506
REJECTED_CHARGING,depot_collaboration,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_shenzhen_1#T1 misses C035's time window,517
REJECTED_CHARGING,depot_collaboration,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_shenzhen_1#T1 misses C036's time window,576
REJECTED_CHARGING,depot_collaboration,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_shenzhen_1#T1 misses C041's time window,716
REJECTED_CHARGING,depot_collaboration,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_shenzhen_1#T1 misses C043's time window,705
REJECTED_CHARGING,depot_collaboration,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_shenzhen_1#T1 misses C046's time window,641
REJECTED_CHARGING,depot_collaboration,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_shenzhen_1#T1 misses C047's time window,591
REJECTED_CHARGING,depot_collaboration,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_shenzhen_1#T2 misses C001's time window,261
REJECTED_CHARGING,depot_collaboration,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_shenzhen_1#T2 misses C002's time window,261
REJECTED_CHARGING,depot_collaboration,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_shenzhen_1#T2 misses C003's time window,261
REJECTED_CHARGING,depot_collaboration,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_shenzhen_1#T2 misses C004's time window,261
REJECTED_CHARGING,depot_collaboration,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_shenzhen_1#T2 misses C005's time window,261
REJECTED_CHARGING,depot_collaboration,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_shenzhen_1#T2 misses C006's time window,261
REJECTED_CHARGING,depot_collaboration,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_shenzhen_1#T2 misses C007's time window,261
REJECTED_CHARGING,depot_collaboration,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_shenzhen_1#T2 misses C008's time window,261
REJECTED_CHARGING,depot_collaboration,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_shenzhen_1#T2 misses C009's time window,261
REJECTED_CHARGING,depot_collaboration,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_shenzhen_1#T2 misses C010's time window,261
REJECTED_CHARGING,depot_collaboration,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_shenzhen_1#T2 misses C011's time window,261
REJECTED_CHARGING,depot_collaboration,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_shenzhen_1#T2 misses C012's time window,261
REJECTED_CHARGING,depot_collaboration,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_shenzhen_1#T2 misses C013's time window,261
REJECTED_CHARGING,depot_collaboration,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_shenzhen_1#T2 misses C014's time window,261
REJECTED_CHARGING,depot_collaboration,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_shenzhen_1#T2 misses C015's time window,261
REJECTED_CHARGING,depot_collaboration,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_shenzhen_1#T2 misses C016's time window,261
REJECTED_CHARGING,depot_collaboration,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_shenzhen_1#T2 misses C017's time window,261
REJECTED_CHARGING,depot_collaboration,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_shenzhen_1#T2 misses C018's time window,261
REJECTED_CHARGING,depot_collaboration,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_shenzhen_1#T2 misses C019's time window,261
REJECTED_CHARGING,depot_collaboration,ValueError,E3_STRICT_MULTITRIP_V2: route EV_D_shenzhen_1#T2 misses C020's time window,261
