instance,family,size,replicate,customers,depots,stations,station_at_depot_count,station_per_customer,depot_per_customer,bbox_diag_km,nearest_depot_p50_km,nearest_depot_p75_km,nearest_depot_p90_km,nearest_depot_max_km,nearest_station_p50_km,nearest_station_p75_km,nearest_station_p90_km,nearest_station_max_km,nearest_customer_p50_km,nearest_customer_p90_km,pairwise_p50_km,pairwise_p90_km,pairwise_max_km,depot_min_separation_km,station_min_separation_km,roundtrip_depot_empty_kwh_p75,roundtrip_depot_empty_kwh_p90,roundtrip_depot_empty_kwh_max,oneway_depot_empty_kwh_p90,customer_demand_mean,customer_demand_p90,time_window_width_mean_h,time_window_width_p25_h,service_time_mean_min,manifest_num_cv,manifest_num_ev,station_strategy,depot_strategy
e2-multidepot-100c-01,multidepot,100,1,100,2,11,1,0.11,0.02,265.2690537368918,41.08380150998228,65.31088210103168,85.52469625644268,101.11805599544377,17.683636204331705,30.83521463678035,38.37325466111732,67.35011648235955,7.470743139936593,15.78932518648793,80.2634955653873,143.56160389931176,200.5363384526757,69.72141723857165,14.366642462043808,79.05982817718126,103.52896138319294,122.40496339099506,51.76448069159647,469.49,768.4000000000001,5.568877777777778,5.4307638888888885,15.649666666666667,7,7,hybrid_support,scored_candidates
e2-multidepot-100c-02,multidepot,100,2,100,2,11,1,0.11,0.02,269.7826668418729,46.68529818619003,67.69966031232163,84.85569717263733,103.21861665758169,25.252152133884934,37.91679117425425,64.52211553960167,101.50334541110111,8.332628839834353,17.511946394428158,80.83965743138991,143.77966186539004,204.34319794722825,52.33520721892574,8.436395170480104,81.95148097473232,102.71912769369348,124.9477244084848,51.35956384684674,438.24,718.0,5.493841666666667,5.356527777777778,14.608,7,6,hybrid_support,scored_candidates
e2-multidepot-100c-03,multidepot,100,3,100,2,11,1,0.11,0.02,233.8049112332023,41.14714286133087,59.51404116924147,78.76155873742596,93.46643414833477,14.023813440883506,22.193100214418486,37.30063782834875,85.8673154087456,6.0413770229094625,15.478037980298462,58.19617015063206,113.87199424151432,176.87343232367036,67.008427866715,6.928202654729437,72.04266299284292,95.34207930487443,113.14255735621808,47.671039652437216,442.1,742.3000000000001,5.513386111111111,5.403333333333333,14.736666666666668,7,6,hybrid_support,scored_candidates
e2-multidepot-10c-01,multidepot,10,1,10,2,2,1,0.2,0.2,128.24969216308708,26.213021547408623,37.761592026869124,50.923674900166276,63.24456557753358,50.56321775733605,83.31282061814461,88.96050058223176,94.39929680223524,18.992282017066128,30.137164646490415,57.06559102083147,89.41615368275968,109.57362996258041,82.25013614991839,25.627283563928504,45.71098844941081,61.64389238427062,76.55852021666837,30.82194619213531,567.1,768.1,5.595,5.423125,18.903333333333332,1,1,hybrid_support,scored_candidates
e2-multidepot-10c-02,multidepot,10,2,10,2,2,1,0.2,0.2,188.85609566723681,36.47289563458853,53.160922833105474,83.83512134203156,85.26379865651366,58.92553302149152,78.14002852770386,82.93063983895772,85.26379865651366,27.593967053753854,43.95910409776909,79.57724020077661,125.30220123778354,168.71572004727625,83.11749230951328,54.592284618356096,64.3521154472253,101.48370494002955,103.21314082222854,50.74185247001478,445.8,688.0,5.537027777777777,5.408541666666666,14.860000000000001,1,1,hybrid_support,scored_candidates
e2-multidepot-10c-03,multidepot,10,3,10,2,2,1,0.2,0.2,175.86846661983867,41.80689933749986,56.991006976993376,63.67399676985122,81.19442485233638,49.193639835045325,76.40585271030005,94.0719048536204,98.86646993494661,28.375860609021895,30.60585043679943,76.47840028957523,129.3755243401448,144.66101529144888,44.25561964490293,52.56274718883422,68.9884912636092,77.07835328562055,98.28710118844603,38.539176642810276,554.1,807.8,5.527055555555556,5.455416666666666,18.470000000000002,1,1,hybrid_support,scored_candidates
e2-multidepot-150c-01,multidepot,150,1,150,2,16,1,0.10666666666666667,0.013333333333333334,239.23258743020295,46.72405179461255,62.051265085883735,78.85397994535512,91.4366227716198,12.370325736578009,24.110202783408656,38.95660174028026,78.66910777368457,5.372099074325959,11.41721461998503,65.3116129254974,117.81949156879008,185.259190338733,11.848703715178923,6.052747088074968,75.114011601892,95.45395659980215,110.68543943784535,47.72697829990108,470.98,764.2,5.547711111111111,5.376736111111111,15.699333333333334,10,10,hybrid_support,scored_candidates
e2-multidepot-150c-02,multidepot,150,2,150,2,16,1,0.10666666666666667,0.013333333333333334,268.411597030866,48.38376677935953,70.62146596298253,89.97208832508966,100.54457979785933,17.277061715579222,22.672619480875184,33.61212025814033,65.53249285664707,6.799579197340082,14.70938089627545,79.03716891968803,139.758431332037,198.50736407748835,40.5996535283343,17.316697342651686,85.48837169305139,108.91259794531854,121.71076162574265,54.45629897265927,468.52666666666664,751.1999999999999,5.521414814814815,5.3566666666666665,15.617555555555555,10,10,hybrid_support,scored_candidates
e2-multidepot-150c-03,multidepot,150,3,150,2,16,1,0.10666666666666667,0.013333333333333334,222.4741926265148,29.410316274227455,39.95484616410088,63.49141766878278,95.935539026513,11.948759068876898,19.058265705243954,26.78133708826575,57.91248996804144,4.597415196213142,10.903201671972552,55.45637114856507,104.84290081825141,177.65148349749657,63.49687458345015,1.2560984677962201,48.36595634542237,76.85733847315966,116.13144682058389,38.42866923657983,449.52666666666664,750.5999999999999,5.548120370370371,5.412083333333333,14.984222222222222,10,9,hybrid_support,scored_candidates
e2-multidepot-15c-01,multidepot,15,1,15,2,2,1,0.13333333333333333,0.13333333333333333,222.78006673397354,45.10219868767042,53.476965531534425,93.83761654959419,98.41020007210737,42.751401828142434,85.30166708404806,95.32484992530728,98.41020007210737,12.392621623308765,55.56064831570632,82.07770826416879,149.61166008972563,199.91516319039857,75.3261093503668,48.73665282364496,64.73468999882596,113.59187936691406,119.12706211113841,56.79593968345703,481.26666666666665,770.1999999999999,5.543722222222223,5.343194444444444,16.04222222222222,2,0,hybrid_support,scored_candidates
