example_type,battery_kwh,category,size,instance,winner_ev_route_share,winner_ev_customer_share,winner_ev_demand_share,winner_ev_distance_share,winner_composition,winner_variant,nearest_depot_p90_km,nearest_station_p90_km,nearest_customer_p50_km,pairwise_p90_km,roundtrip_depot_empty_kwh_p90,station_per_customer
near_balanced,81.0,vanilla,100,e2-vanilla-100c-01,0.4375,0.36,0.41532301007476197,0.298487988769793,balanced_mixed,free_mixed,92.42449494606201,38.37325466111732,7.470743139936593,143.56160389931176,111.88127391228413,0.11
near_balanced,81.0,threeshift,100,e2-threeshift-100c-01,0.696969696969697,0.66,0.6661710372172659,0.5225201285063067,balanced_mixed,free_mixed,81.49162193243188,39.34456198600218,9.105883149668697,139.18777743328872,98.64686282894513,0.11
near_balanced,81.0,multidepot,100,e2-multidepot-100c-01,0.7272727272727273,0.72,0.7266182453300389,0.5425003068887134,balanced_mixed,free_mixed,85.52469625644268,38.37325466111732,7.470743139936593,143.56160389931176,103.52896138319294,0.11
near_balanced,81.0,multidepot,75,e2-multidepot-75c-01,0.7407407407407407,0.7066666666666667,0.7275737507525587,0.6035261425878692,balanced_mixed,free_mixed,82.09123525358142,51.65108370180643,8.677359321187524,143.1304790165299,99.37270398462725,0.10666666666666667
cv_side,81.0,multidepot,200,e2-multidepot-200c-01,0.0,0.0,0.0,0.0,all_cv,cv_shell,75.72058221609886,26.3031745733443,4.914709041795423,122.96230471960166,91.66093041310091,0.105
cv_side,81.0,threeshift,200,e2-threeshift-200c-01,0.0,0.0,0.0,0.0,all_cv,cv_shell,78.27376175814945,29.10187496950281,5.025004784847583,123.35775788278775,94.75159355232721,0.105
cv_side,81.0,threeshift,75,e2-threeshift-75c-01,0.0,0.0,0.0,0.0,all_cv,cv_shell,70.45108813987137,51.60579327397696,7.07974093795105,132.87063356311134,85.28212671538391,0.10666666666666667
ev_side,81.0,threeshift,150,e2-threeshift-150c-01,0.7692307692307693,0.7133333333333334,0.7522088975945211,0.571221072791294,balanced_mixed,free_mixed,92.56399402521063,46.857860973687295,6.512278449427009,129.93707516416168,112.05013969503844,0.10666666666666667
ev_side,81.0,vanilla,150,e2-vanilla-150c-01,0.7547169811320755,0.68,0.7303636389372514,0.570930779087938,balanced_mixed,free_mixed,82.0787797982094,38.95660174028026,5.372099074325959,117.81949156879008,99.35762646416049,0.10666666666666667
ev_side,81.0,multidepot,150,e2-multidepot-150c-01,0.75,0.6866666666666666,0.7333644740753323,0.5835558645778726,balanced_mixed,free_mixed,78.85397994535512,38.95660174028026,5.372099074325959,117.81949156879008,95.45395659980215,0.10666666666666667
near_balanced,89.0,vanilla,75,e2-vanilla-75c-01,0.5,0.41333333333333333,0.4674347326364184,0.36187435571023086,balanced_mixed,free_mixed,96.61614814115248,51.65108370180643,8.677359321187524,143.1304790165299,116.95533463113254,0.10666666666666667
near_balanced,89.0,vanilla,100,e2-vanilla-100c-01,0.4375,0.35,0.4186457645530256,0.3221231809427173,balanced_mixed,free_mixed,92.42449494606201,38.37325466111732,7.470743139936593,143.56160389931176,111.88127391228413,0.11
near_balanced,89.0,vanilla,200,e2-vanilla-200c-01,0.7183098591549296,0.675,0.6923583662714098,0.5824498375725402,balanced_mixed,free_mixed,89.46161653803227,26.3031745733443,4.914709041795423,122.96230471960166,108.29466398889726,0.105
near_balanced,89.0,threeshift,100,e2-threeshift-100c-01,0.26666666666666666,0.26,0.2597098314859872,0.20771024065424548,balanced_mixed,free_mixed,81.49162193243188,39.34456198600218,9.105883149668697,139.18777743328872,98.64686282894513,0.11
cv_side,89.0,multidepot,150,e2-multidepot-150c-01,0.0,0.0,0.0,0.0,all_cv,cv_shell,78.85397994535512,38.95660174028026,5.372099074325959,117.81949156879008,95.45395659980215,0.10666666666666667
cv_side,89.0,multidepot,200,e2-multidepot-200c-01,0.0,0.0,0.0,0.0,all_cv,cv_shell,75.72058221609886,26.3031745733443,4.914709041795423,122.96230471960166,91.66093041310091,0.105
cv_side,89.0,threeshift,200,e2-threeshift-200c-01,0.0,0.0,0.0,0.0,all_cv,cv_shell,78.27376175814945,29.10187496950281,5.025004784847583,123.35775788278775,94.75159355232721,0.105
ev_side,89.0,vanilla,150,e2-vanilla-150c-01,0.8461538461538461,0.7933333333333333,0.831302107662038,0.7236497783849514,ev_heavy_mixed,free_mixed,82.0787797982094,38.95660174028026,5.372099074325959,117.81949156879008,99.35762646416049,0.10666666666666667
ev_side,89.0,multidepot,75,e2-multidepot-75c-01,0.8148148148148148,0.76,0.7961523726123365,0.691954311109949,ev_heavy_mixed,free_mixed,82.09123525358142,51.65108370180643,8.677359321187524,143.1304790165299,99.37270398462725,0.10666666666666667
ev_side,89.0,multidepot,100,e2-multidepot-100c-01,0.7941176470588235,0.74,0.7717523269931202,0.6053890923732432,balanced_mixed,free_mixed,85.52469625644268,38.37325466111732,7.470743139936593,143.56160389931176,103.52896138319294,0.11
near_balanced,100.0,vanilla,75,e2-vanilla-75c-01,0.5925925925925926,0.5333333333333333,0.559547917464835,0.45504264669902367,balanced_mixed,free_mixed,96.61614814115248,51.65108370180643,8.677359321187524,143.1304790165299,116.95533463113254,0.10666666666666667
near_balanced,100.0,vanilla,100,e2-vanilla-100c-01,0.6470588235294118,0.58,0.6131972991970011,0.5215701234895974,balanced_mixed,free_mixed,92.42449494606201,38.37325466111732,7.470743139936593,143.56160389931176,111.88127391228413,0.11
near_balanced,100.0,multidepot,100,e2-multidepot-100c-01,0.7575757575757576,0.72,0.7469594666553068,0.5675084465550854,balanced_mixed,free_mixed,85.52469625644268,38.37325466111732,7.470743139936593,143.56160389931176,103.52896138319294,0.11
near_balanced,100.0,multidepot,75,e2-multidepot-75c-01,0.7857142857142857,0.7066666666666667,0.7516282633681791,0.6386020094027594,balanced_mixed,free_mixed,82.09123525358142,51.65108370180643,8.677359321187524,143.1304790165299,99.37270398462725,0.10666666666666667
cv_side,100.0,multidepot,200,e2-multidepot-200c-01,0.0,0.0,0.0,0.0,all_cv,cv_shell,75.72058221609886,26.3031745733443,4.914709041795423,122.96230471960166,91.66093041310091,0.105
cv_side,100.0,threeshift,100,e2-threeshift-100c-01,0.0,0.0,0.0,0.0,all_cv,cv_shell,81.49162193243188,39.34456198600218,9.105883149668697,139.18777743328872,98.64686282894513,0.11
cv_side,100.0,threeshift,75,e2-threeshift-75c-01,0.0,0.0,0.0,0.0,all_cv,cv_shell,70.45108813987137,51.60579327397696,7.07974093795105,132.87063356311134,85.28212671538391,0.10666666666666667
ev_side,100.0,threeshift,200,e2-threeshift-200c-01,0.9104477611940298,0.87,0.8994872691891419,0.8280045690944647,ev_heavy_mixed,free_mixed,78.27376175814945,29.10187496950281,5.025004784847583,123.35775788278775,94.75159355232721,0.105
ev_side,100.0,multidepot,150,e2-multidepot-150c-01,0.9019607843137255,0.86,0.896372103557122,0.8270426388847699,ev_heavy_mixed,free_mixed,78.85397994535512,38.95660174028026,5.372099074325959,117.81949156879008,95.45395659980215,0.10666666666666667
ev_side,100.0,vanilla,150,e2-vanilla-150c-01,0.8627450980392157,0.8533333333333334,0.8607017990855945,0.7590575348177492,ev_heavy_mixed,free_mixed,82.0787797982094,38.95660174028026,5.372099074325959,117.81949156879008,99.35762646416049,0.10666666666666667
near_balanced,113.0,vanilla,200,e2-vanilla-200c-01,0.5774647887323944,0.5,0.5308176877470355,0.5385999119020916,balanced_mixed,free_mixed,89.46161653803227,26.3031745733443,4.914709041795423,122.96230471960166,108.29466398889726,0.105
near_balanced,113.0,vanilla,100,e2-vanilla-100c-01,0.6060606060606061,0.53,0.5807578436175425,0.5053668938885907,balanced_mixed,free_mixed,92.42449494606201,38.37325466111732,7.470743139936593,143.56160389931176,111.88127391228413,0.11
near_balanced,113.0,vanilla,75,e2-vanilla-75c-01,0.6538461538461539,0.6,0.6321493076459964,0.5606510483204922,balanced_mixed,free_mixed,96.61614814115248,51.65108370180643,8.677359321187524,143.1304790165299,116.95533463113254,0.10666666666666667
near_balanced,113.0,multidepot,100,e2-multidepot-100c-01,0.8787878787878788,0.84,0.8736927304095934,0.7610208628186008,ev_heavy_mixed,free_mixed,85.52469625644268,38.37325466111732,7.470743139936593,143.56160389931176,103.52896138319294,0.11
cv_side,113.0,threeshift,75,e2-threeshift-75c-01,0.0,0.0,0.0,0.0,all_cv,cv_shell,70.45108813987137,51.60579327397696,7.07974093795105,132.87063356311134,85.28212671538391,0.10666666666666667
cv_side,113.0,vanilla,200,e2-vanilla-200c-01,0.5774647887323944,0.5,0.5308176877470355,0.5385999119020916,balanced_mixed,free_mixed,89.46161653803227,26.3031745733443,4.914709041795423,122.96230471960166,108.29466398889726,0.105
cv_side,113.0,vanilla,100,e2-vanilla-100c-01,0.6060606060606061,0.53,0.5807578436175425,0.5053668938885907,balanced_mixed,free_mixed,92.42449494606201,38.37325466111732,7.470743139936593,143.56160389931176,111.88127391228413,0.11
ev_side,113.0,multidepot,150,e2-multidepot-150c-01,1.0,1.0,1.0,1.0,all_ev,free_mixed,78.85397994535512,38.95660174028026,5.372099074325959,117.81949156879008,95.45395659980215,0.10666666666666667
ev_side,113.0,vanilla,150,e2-vanilla-150c-01,1.0,1.0,1.0,1.0,all_ev,free_mixed,82.0787797982094,38.95660174028026,5.372099074325959,117.81949156879008,99.35762646416049,0.10666666666666667
ev_side,113.0,threeshift,200,e2-threeshift-200c-01,0.9714285714285714,0.945,0.9663390582807666,0.9424920572429369,ev_heavy_mixed,free_mixed,78.27376175814945,29.10187496950281,5.025004784847583,123.35775788278775,94.75159355232721,0.105
near_balanced,123.9,threeshift,200,e2-threeshift-200c-01,0.7323943661971831,0.675,0.6972483082069727,0.7773181267880135,balanced_mixed,free_mixed,78.27376175814945,29.10187496950281,5.025004784847583,123.35775788278775,94.75159355232721,0.105
near_balanced,123.9,vanilla,150,e2-vanilla-150c-01,0.7924528301886793,0.7,0.7605135391453282,0.7861218907091476,balanced_mixed,free_mixed,82.0787797982094,38.95660174028026,5.372099074325959,117.81949156879008,99.35762646416049,0.10666666666666667
near_balanced,123.9,vanilla,75,e2-vanilla-75c-01,0.8148148148148148,0.8,0.7979858792622189,0.75083347609508,ev_heavy_mixed,free_mixed,96.61614814115248,51.65108370180643,8.677359321187524,143.1304790165299,116.95533463113254,0.10666666666666667
near_balanced,123.9,multidepot,150,e2-multidepot-150c-01,0.8363636363636363,0.7933333333333333,0.8110040058318116,0.8397774095702115,ev_heavy_mixed,free_mixed,78.85397994535512,38.95660174028026,5.372099074325959,117.81949156879008,95.45395659980215,0.10666666666666667
cv_side,123.9,threeshift,200,e2-threeshift-200c-01,0.7323943661971831,0.675,0.6972483082069727,0.7773181267880135,balanced_mixed,free_mixed,78.27376175814945,29.10187496950281,5.025004784847583,123.35775788278775,94.75159355232721,0.105
cv_side,123.9,vanilla,150,e2-vanilla-150c-01,0.7924528301886793,0.7,0.7605135391453282,0.7861218907091476,balanced_mixed,free_mixed,82.0787797982094,38.95660174028026,5.372099074325959,117.81949156879008,99.35762646416049,0.10666666666666667
cv_side,123.9,vanilla,75,e2-vanilla-75c-01,0.8148148148148148,0.8,0.7979858792622189,0.75083347609508,ev_heavy_mixed,free_mixed,96.61614814115248,51.65108370180643,8.677359321187524,143.1304790165299,116.95533463113254,0.10666666666666667
ev_side,123.9,multidepot,75,e2-multidepot-75c-01,1.0,1.0,1.0,1.0,all_ev,free_mixed,82.09123525358142,51.65108370180643,8.677359321187524,143.1304790165299,99.37270398462725,0.10666666666666667
ev_side,123.9,multidepot,200,e2-multidepot-200c-01,0.9864864864864865,0.975,0.9840147397891963,0.9713650539235051,ev_heavy_mixed,free_mixed,75.72058221609886,26.3031745733443,4.914709041795423,122.96230471960166,91.66093041310091,0.105
ev_side,123.9,vanilla,200,e2-vanilla-200c-01,0.9863013698630136,0.98,0.9835824275362319,0.9782398603966271,ev_heavy_mixed,free_mixed,89.46161653803227,26.3031745733443,4.914709041795423,122.96230471960166,108.29466398889726,0.105
near_balanced,280.0,vanilla,200,e2-vanilla-200c-01,0.6805555555555556,0.595,0.6456789361001317,0.6588136525303839,balanced_mixed,free_mixed,89.46161653803227,26.3031745733443,4.914709041795423,122.96230471960166,108.29466398889726,0.105
near_balanced,280.0,multidepot,200,e2-multidepot-200c-01,0.7972972972972973,0.77,0.7700922266139657,0.7307208684890634,balanced_mixed,free_mixed,75.72058221609886,26.3031745733443,4.914709041795423,122.96230471960166,91.66093041310091,0.105
near_balanced,280.0,vanilla,75,e2-vanilla-75c-01,0.8461538461538461,0.8,0.836106398117235,0.7947675594379814,ev_heavy_mixed,free_mixed,96.61614814115248,51.65108370180643,8.677359321187524,143.1304790165299,116.95533463113254,0.10666666666666667
near_balanced,280.0,vanilla,100,e2-vanilla-100c-01,0.875,0.86,0.8666851264137682,0.818938703832407,ev_heavy_mixed,free_mixed,92.42449494606201,38.37325466111732,7.470743139936593,143.56160389931176,111.88127391228413,0.11
cv_side,280.0,multidepot,150,e2-multidepot-150c-01,0.0,0.0,0.0,0.0,all_cv,cv_shell,78.85397994535512,38.95660174028026,5.372099074325959,117.81949156879008,95.45395659980215,0.10666666666666667
cv_side,280.0,vanilla,200,e2-vanilla-200c-01,0.6805555555555556,0.595,0.6456789361001317,0.6588136525303839,balanced_mixed,free_mixed,89.46161653803227,26.3031745733443,4.914709041795423,122.96230471960166,108.29466398889726,0.105
cv_side,280.0,multidepot,200,e2-multidepot-200c-01,0.7972972972972973,0.77,0.7700922266139657,0.7307208684890634,balanced_mixed,free_mixed,75.72058221609886,26.3031745733443,4.914709041795423,122.96230471960166,91.66093041310091,0.105
ev_side,280.0,threeshift,200,e2-threeshift-200c-01,1.0,1.0,1.0,1.0,all_ev,free_mixed,78.27376175814945,29.10187496950281,5.025004784847583,123.35775788278775,94.75159355232721,0.105
ev_side,280.0,vanilla,150,e2-vanilla-150c-01,0.9814814814814815,0.98,0.9777060597052953,0.9659144677512043,ev_heavy_mixed,free_mixed,82.0787797982094,38.95660174028026,5.372099074325959,117.81949156879008,99.35762646416049,0.10666666666666667
ev_side,280.0,multidepot,100,e2-multidepot-100c-01,0.9714285714285714,0.96,0.9698396131972992,0.9212737098118179,ev_heavy_mixed,free_mixed,85.52469625644268,38.37325466111732,7.470743139936593,143.56160389931176,103.52896138319294,0.11
