battery_kwh,rows_75_200,pass_count_75_200,pass_rate_75_200,mean_ev_route_share,min_ev_route_share,max_ev_route_share,all_cv_count,all_ev_count,ev_heavy_count,balanced_count,cv_heavy_count,rows_ev_routes_over_manifest_ev,rows_cv_routes_over_manifest_cv
60.0,12,6,0.5,0.23515722855278173,0.0,0.6956521739130435,6,0,0,6,0,6,12
81.0,12,7,0.5833333333333334,0.4063692429455008,0.0,0.7692307692307693,5,0,0,7,0,7,12
82.6,12,6,0.5,0.31582058328381857,0.0,0.7777777777777778,6,0,0,6,0,6,12
89.0,12,6,0.5,0.4305020310258849,0.0,0.8461538461538461,4,0,2,6,0,8,9
100.0,12,4,0.3333333333333333,0.5248412585799183,0.0,0.9104477611940298,4,0,4,4,0,8,7
113.0,12,3,0.25,0.777902521978744,0.0,1.0,1,2,6,3,0,11,4
123.9,12,2,0.16666666666666666,0.8929686786878221,0.7323943661971831,1.0,0,1,9,2,0,12,2
140.0,12,2,0.16666666666666666,0.82965379396197,0.0,1.0,1,1,8,2,0,11,3
141.0,12,2,0.16666666666666666,0.8295026086692753,0.0,1.0,1,1,8,2,0,11,3
150.0,12,2,0.16666666666666666,0.7387263847621552,0.0,0.9814814814814815,2,0,8,2,0,10,4
176.0,12,2,0.16666666666666666,0.8295386762456655,0.0,1.0,1,1,8,2,0,11,3
180.0,12,2,0.16666666666666666,0.8295386762456655,0.0,1.0,1,1,8,2,0,11,3
194.0,12,2,0.16666666666666666,0.7427331206901099,0.0,0.9814814814814815,2,0,8,2,0,10,4
200.0,12,2,0.16666666666666666,0.7427331206901099,0.0,0.9814814814814815,2,0,8,2,0,10,4
210.0,12,2,0.16666666666666666,0.7427331206901099,0.0,0.9814814814814815,2,0,8,2,0,10,4
240.0,12,2,0.16666666666666666,0.8241601359406546,0.0,1.0,1,1,8,2,0,11,3
280.0,12,2,0.16666666666666666,0.8241601359406546,0.0,1.0,1,1,8,2,0,11,3
282.0,12,2,0.16666666666666666,0.8241601359406546,0.0,1.0,1,1,8,2,0,11,3
291.0,12,2,0.16666666666666666,0.8241601359406546,0.0,1.0,1,1,8,2,0,11,3
