battery_kwh,family,size,winner_rows,mean_ev_route_share,pass_rate,route_share_regime,mean_nearest_depot_p90_km,mean_nearest_station_p90_km,mean_pairwise_p90_km,mean_station_per_customer
60.0,multidepot,75,1,0.46153846153846156,1.0,practical_mixed,82.09123525358142,51.65108370180643,143.1304790165299,0.10666666666666667
60.0,multidepot,100,1,0.5151515151515151,1.0,practical_mixed,85.52469625644268,38.37325466111732,143.56160389931176,0.11
60.0,multidepot,150,1,0.0,0.0,all_cv,78.85397994535512,38.95660174028026,117.81949156879008,0.10666666666666667
60.0,multidepot,200,1,0.6956521739130435,1.0,practical_mixed,75.72058221609886,26.3031745733443,122.96230471960166,0.105
60.0,threeshift,75,1,0.0,0.0,all_cv,70.45108813987137,51.60579327397696,132.87063356311134,0.10666666666666667
60.0,threeshift,100,1,0.3548387096774194,1.0,practical_mixed,81.49162193243188,39.34456198600218,139.18777743328872,0.11
60.0,threeshift,150,1,0.28,1.0,practical_mixed,92.56399402521063,46.857860973687295,129.93707516416168,0.10666666666666667
60.0,threeshift,200,1,0.5147058823529411,1.0,practical_mixed,78.27376175814945,29.10187496950281,123.35775788278775,0.105
60.0,vanilla,75,1,0.0,0.0,all_cv,96.61614814115248,51.65108370180643,143.1304790165299,0.10666666666666667
60.0,vanilla,100,1,0.0,0.0,all_cv,92.42449494606201,38.37325466111732,143.56160389931176,0.11
60.0,vanilla,150,1,0.0,0.0,all_cv,82.0787797982094,38.95660174028026,117.81949156879008,0.10666666666666667
60.0,vanilla,200,1,0.0,0.0,all_cv,89.46161653803227,26.3031745733443,122.96230471960166,0.105
81.0,multidepot,75,1,0.7407407407407407,1.0,practical_mixed,82.09123525358142,51.65108370180643,143.1304790165299,0.10666666666666667
81.0,multidepot,100,1,0.7272727272727273,1.0,practical_mixed,85.52469625644268,38.37325466111732,143.56160389931176,0.11
81.0,multidepot,150,1,0.75,1.0,practical_mixed,78.85397994535512,38.95660174028026,117.81949156879008,0.10666666666666667
81.0,multidepot,200,1,0.0,0.0,all_cv,75.72058221609886,26.3031745733443,122.96230471960166,0.105
81.0,threeshift,75,1,0.0,0.0,all_cv,70.45108813987137,51.60579327397696,132.87063356311134,0.10666666666666667
81.0,threeshift,100,1,0.696969696969697,1.0,practical_mixed,81.49162193243188,39.34456198600218,139.18777743328872,0.11
81.0,threeshift,150,1,0.7692307692307693,1.0,practical_mixed,92.56399402521063,46.857860973687295,129.93707516416168,0.10666666666666667
81.0,threeshift,200,1,0.0,0.0,all_cv,78.27376175814945,29.10187496950281,123.35775788278775,0.105
81.0,vanilla,75,1,0.0,0.0,all_cv,96.61614814115248,51.65108370180643,143.1304790165299,0.10666666666666667
81.0,vanilla,100,1,0.4375,1.0,practical_mixed,92.42449494606201,38.37325466111732,143.56160389931176,0.11
81.0,vanilla,150,1,0.7547169811320755,1.0,practical_mixed,82.0787797982094,38.95660174028026,117.81949156879008,0.10666666666666667
81.0,vanilla,200,1,0.0,0.0,all_cv,89.46161653803227,26.3031745733443,122.96230471960166,0.105
82.6,multidepot,75,1,0.7037037037037037,1.0,practical_mixed,82.09123525358142,51.65108370180643,143.1304790165299,0.10666666666666667
82.6,multidepot,100,1,0.7058823529411765,1.0,practical_mixed,85.52469625644268,38.37325466111732,143.56160389931176,0.11
82.6,multidepot,150,1,0.0,0.0,all_cv,78.85397994535512,38.95660174028026,117.81949156879008,0.10666666666666667
82.6,multidepot,200,1,0.0,0.0,all_cv,75.72058221609886,26.3031745733443,122.96230471960166,0.105
82.6,threeshift,75,1,0.0,0.0,all_cv,70.45108813987137,51.60579327397696,132.87063356311134,0.10666666666666667
82.6,threeshift,100,1,0.4375,1.0,practical_mixed,81.49162193243188,39.34456198600218,139.18777743328872,0.11
82.6,threeshift,150,1,0.7407407407407407,1.0,practical_mixed,92.56399402521063,46.857860973687295,129.93707516416168,0.10666666666666667
82.6,threeshift,200,1,0.0,0.0,all_cv,78.27376175814945,29.10187496950281,123.35775788278775,0.105
82.6,vanilla,75,1,0.0,0.0,all_cv,96.61614814115248,51.65108370180643,143.1304790165299,0.10666666666666667
82.6,vanilla,100,1,0.42424242424242425,1.0,practical_mixed,92.42449494606201,38.37325466111732,143.56160389931176,0.11
82.6,vanilla,150,1,0.7777777777777778,1.0,practical_mixed,82.0787797982094,38.95660174028026,117.81949156879008,0.10666666666666667
82.6,vanilla,200,1,0.0,0.0,all_cv,89.46161653803227,26.3031745733443,122.96230471960166,0.105
89.0,multidepot,75,1,0.8148148148148148,0.0,ev_heavy,82.09123525358142,51.65108370180643,143.1304790165299,0.10666666666666667
89.0,multidepot,100,1,0.7941176470588235,1.0,practical_mixed,85.52469625644268,38.37325466111732,143.56160389931176,0.11
89.0,multidepot,150,1,0.0,0.0,all_cv,78.85397994535512,38.95660174028026,117.81949156879008,0.10666666666666667
89.0,multidepot,200,1,0.0,0.0,all_cv,75.72058221609886,26.3031745733443,122.96230471960166,0.105
89.0,threeshift,75,1,0.0,0.0,all_cv,70.45108813987137,51.60579327397696,132.87063356311134,0.10666666666666667
89.0,threeshift,100,1,0.26666666666666666,1.0,practical_mixed,81.49162193243188,39.34456198600218,139.18777743328872,0.11
89.0,threeshift,150,1,0.7884615384615384,1.0,practical_mixed,92.56399402521063,46.857860973687295,129.93707516416168,0.10666666666666667
89.0,threeshift,200,1,0.0,0.0,all_cv,78.27376175814945,29.10187496950281,123.35775788278775,0.105
89.0,vanilla,75,1,0.5,1.0,practical_mixed,96.61614814115248,51.65108370180643,143.1304790165299,0.10666666666666667
89.0,vanilla,100,1,0.4375,1.0,practical_mixed,92.42449494606201,38.37325466111732,143.56160389931176,0.11
89.0,vanilla,150,1,0.8461538461538461,0.0,ev_heavy,82.0787797982094,38.95660174028026,117.81949156879008,0.10666666666666667
89.0,vanilla,200,1,0.7183098591549296,1.0,practical_mixed,89.46161653803227,26.3031745733443,122.96230471960166,0.105
100.0,multidepot,75,1,0.7857142857142857,1.0,practical_mixed,82.09123525358142,51.65108370180643,143.1304790165299,0.10666666666666667
100.0,multidepot,100,1,0.7575757575757576,1.0,practical_mixed,85.52469625644268,38.37325466111732,143.56160389931176,0.11
100.0,multidepot,150,1,0.9019607843137255,0.0,ev_heavy,78.85397994535512,38.95660174028026,117.81949156879008,0.10666666666666667
100.0,multidepot,200,1,0.0,0.0,all_cv,75.72058221609886,26.3031745733443,122.96230471960166,0.105
100.0,threeshift,75,1,0.0,0.0,all_cv,70.45108813987137,51.60579327397696,132.87063356311134,0.10666666666666667
100.0,threeshift,100,1,0.0,0.0,all_cv,81.49162193243188,39.34456198600218,139.18777743328872,0.11
100.0,threeshift,150,1,0.84,0.0,ev_heavy,92.56399402521063,46.857860973687295,129.93707516416168,0.10666666666666667
